timePeriod,count
202010020000,23
202010030000,16
202010040000,11
202010050000,24
202010060000,46
202010070000,302
202010080000,115
202010090000,32
202010100000,21
202010110000,28
202010120000,55
202010130000,78
202010140000,37
202010150000,26
202010160000,24
202010170000,19
202010180000,23
202010190000,24
202010200000,41
202010210000,40
202010220000,25
202010230000,32
202010240000,40
202010250000,14
202010260000,30
202010270000,22
202010280000,13
202010290000,20
202010300000,14
202010310000,14
202008310000,7
202009010000,16
202009020000,27
202009030000,112
202009040000,25
202009050000,17
202009060000,13
202009070000,50
202009080000,20
202009090000,32
202009100000,13
202009110000,28
202009120000,17
202009130000,13
202009140000,19
202009150000,13
202009160000,14
202009170000,13
202009180000,20
202009190000,21
202009200000,16
202009210000,10
202009220000,18
202009230000,8
202009240000,20
202009250000,21
202009260000,24
202009270000,54
202009280000,22
202009290000,33
202009300000,91
202007310000,20
202008010000,13
202008020000,9
202008030000,14
202008040000,9
202008050000,21
202008060000,30
202008070000,17
202008080000,24
202008090000,24
202008100000,37
202008110000,27
202008120000,17
202008130000,12
202008140000,13
202008150000,17
202008160000,13
202008170000,24
202008180000,32
202008190000,13
202008200000,15
202008210000,34
202008220000,12
202008230000,11
202008240000,14
202008250000,34
202008260000,17
202008270000,24
202008280000,23
202008290000,15
202008300000,20
202006300000,22
202007010000,12
202007020000,21
202007030000,15
202007040000,9
202007050000,8
202007060000,10
202007070000,20
202007080000,175
202007090000,81
202007100000,14
202007110000,13
202007120000,21
202007130000,17
202007140000,20
202007150000,9
202007160000,10
202007170000,13
202007180000,10
202007190000,10
202007200000,8
202007210000,26
202007220000,17
202007230000,7
202007240000,19
202007250000,14
202007260000,20
202007270000,16
202007280000,267
202007290000,18
202007300000,13
202005300000,14
202005310000,15
202006010000,17
202006020000,15
202006030000,14
202006040000,13
202006050000,10
202006060000,10
202006070000,10
202006080000,10
202006090000,8
202006100000,10
202006110000,29
202006120000,16
202006130000,7
202006140000,8
202006150000,6
202006160000,10
202006170000,10
202006180000,11
202006190000,22
202006200000,14
202006210000,10
202006220000,6
202006230000,30
202006240000,6
202006250000,22
202006260000,8
202006270000,12
202006280000,14
202006290000,19
202004290000,1
202004300000,17
202005010000,19
202005020000,9
202005030000,12
202005040000,11
202005050000,11
202005060000,15
202005070000,19
202005080000,15
202005090000,7
202005100000,14
202005110000,11
202005120000,11
202005130000,26
202005140000,10
202005150000,25
202005160000,22
202005170000,17
202005180000,16
202005190000,23
202005200000,18
202005210000,16
202005220000,16
202005230000,6
202005240000,17
202005250000,11
202005260000,11
202005270000,16
202005280000,29
202005290000,26
202003290000,13
202003300000,15
202003310000,22
202004010000,14
202004020000,9
202004030000,10
202004040000,8
202004050000,16
202004060000,23
202004070000,15
202004080000,14
202004090000,15
202004100000,7
202004110000,13
202004120000,17
202004130000,17
202004140000,16
202004150000,19
202004160000,13
202004170000,19
202004180000,8
202004190000,20
202004200000,16
202004210000,11
202004220000,27
202004230000,19
202004240000,20
202004250000,14
202004260000,11
202004270000,7
202004280000,10
202002270000,21
202002280000,26
202002290000,26
202003010000,13
202003020000,16
202003030000,27
202003040000,21
202003050000,30
202003060000,20
202003070000,21
202003080000,9
202003090000,11
202003100000,19
202003110000,18
202003120000,20
202003130000,21
202003140000,10
202003150000,16
202003160000,16
202003170000,62
202003180000,12
202003190000,20
202003200000,9
202003210000,21
202003220000,11
202003230000,22
202003240000,22
202003250000,21
202003260000,17
202003270000,44
202003280000,17
202001270000,9
202001280000,16
202001290000,22
202001300000,19
202001310000,24
202002010000,19
202002020000,21
202002030000,62
202002040000,40
202002050000,21
202002060000,43
202002070000,60
202002080000,45
202002090000,18
202002100000,20
202002110000,26
202002120000,33
202002130000,28
202002140000,38
202002150000,21
202002160000,20
202002170000,27
202002180000,14
202002190000,18
202002200000,16
202002210000,16
202002220000,23
202002230000,12
202002240000,16
202002250000,24
202002260000,17
201912270000,17
201912280000,11
201912290000,15
201912300000,23
201912310000,18
202001010000,19
202001020000,17
202001030000,21
202001040000,17
202001050000,25
202001060000,20
202001070000,11
202001080000,26
202001090000,31
202001100000,26
202001110000,21
202001120000,13
202001130000,14
202001140000,12
202001150000,27
202001160000,19
202001170000,20
202001180000,61
202001190000,34
202001200000,56
202001210000,36
202001220000,38
202001230000,39
202001240000,22
202001250000,20
202001260000,19
201911260000,19
201911270000,25
201911280000,14
201911290000,14
201911300000,18
201912010000,19
201912020000,27
201912030000,19
201912040000,28
201912050000,20
201912060000,17
201912070000,30
201912080000,16
201912090000,31
201912100000,44
201912110000,29
201912120000,20
201912130000,18
201912140000,15
201912150000,26
201912160000,19
201912170000,15
201912180000,16
201912190000,14
201912200000,44
201912210000,15
201912220000,13
201912230000,13
201912240000,22
201912250000,21
201912260000,17
201910260000,48
201910270000,36
201910280000,24
201910290000,30
201910300000,35
201910310000,17
201911010000,16
201911020000,12
201911030000,38
201911040000,13
201911050000,19
201911060000,15
201911070000,49
201911080000,28
201911090000,10
201911100000,14
201911110000,12
201911120000,21
201911130000,19
201911140000,17
201911150000,18
201911160000,11
201911170000,61
201911180000,55
201911190000,32
201911200000,11
201911210000,26
201911220000,28
201911230000,21
201911240000,17
201911250000,18
201909250000,39
201909260000,39
201909270000,23
