text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"PRN Tadalafil...in hospital...

Now I've seen everything.",en,Canada,,,,BrujoFaolan,Mon Oct 26 20:33:28 +0000 2020,0,4,0,0,FALSE
La Cour fédérale invalide le brevet sur la posologie du tadalafil concluant que le choix des doses est une tâche courante: https://t.co/leNas7Zqsb https://t.co/tyJIrHBZTb,fr,Canada & US,,,,Osler_Law,Tue Sep 29 18:30:11 +0000 2020,0,0,0,0,FALSE
What's the latest research in #Urology? Check out | Efficacy of Tamsulosin plus Tadalafil versus Tamsulosin as Medical Expulsive Therapy for Lower Ureteric Stones: A Randomized Controlled Trial | by Advances in Urology https://t.co/Z9YjWuY7BO #Tamsulosin #LowerUretericStones https://t.co/mMHG0w3wvE,en,"Vancouver, Canada",,,,QxMD,Thu Sep 24 18:15:07 +0000 2020,0,0,0,0,FALSE
Federal Court Invalidates Tadalafil Dosage Patent Finding Dose Selection To Be Routine https://t.co/kCouuWWAJZ By @Osler_Law,en,Canada,,,,mig30m6,Tue Sep 15 07:41:43 +0000 2020,0,0,0,1,FALSE
Federal Court Invalidates Tadalafil Dosage Patent Finding Dose Selection To Be Routine https://t.co/kCouuWWAJZ By @Osler_Law,en,Canada,,,,LawNewsCanada,Tue Sep 15 07:39:36 +0000 2020,0,0,1,0,FALSE
Federal Court invalidates tadalafil dosage patent finding dose selection to be routine https://t.co/ndRfET7slr #patents #litigation #intellectualproperty https://t.co/RFTBBbJEix,en,Canada & US,,,,Osler_Law,Fri Sep 11 16:48:40 +0000 2020,0,0,0,0,FALSE
"The @GoodmansIP Team, including Andrew Brodkin, Ben Hackett, Jordan Scopa (@jdscopa) and Jaclyn Tilak, successfully represented @Apotex in two patent infringement trials relating to Eli Lilly’s ED medication, CIALIS® (tadalafil). #IP #patents #pharma https://t.co/oCdP2nSliZ",en,"Toronto, ON",,,,jdscopa,Thu Sep 10 18:35:37 +0000 2020,0,0,0,1,FALSE
"The @GoodmansIP Team, including Andrew Brodkin, Ben Hackett, Jordan Scopa (@jdscopa) and Jaclyn Tilak, successfully represented @Apotex in two patent infringement trials relating to Eli Lilly’s ED medication, CIALIS® (tadalafil). #IP #patents #pharma https://t.co/oCdP2nSliZ",en,"Toronto, Ontario",,,,GoodmansIP,Thu Sep 10 18:30:52 +0000 2020,0,1,2,0,FALSE
"The Goodmans LLP IP Team, including Andrew Brodkin, Ben Hackett, @jdscopa and Jaclyn Tilak, successfully represented Apotex Inc. in two patent infringement trials relating to Eli Lilly’s blockbuster ED medication, CIALIS® (tadalafil). #IP #patents #pharma https://t.co/ym5kM7frYv",en,"Toronto, ON",,,,jdscopa,Thu Sep 10 18:28:22 +0000 2020,0,0,0,0,FALSE
How and Where to Buy Generic Cialis (Tadalafil) https://t.co/MmBF4Azifg @InvigorM #blogengage https://t.co/stSZhDoCKl,en,Canada,,,,bbrian017,Mon Aug 24 08:10:32 +0000 2020,0,0,0,1,FALSE
