timePeriod,count
201807030000,307
201807040000,256
201807050000,222
201807060000,239
201807070000,374
201807080000,169
201807090000,288
201807100000,286
201807110000,304
201807120000,386
201807130000,326
201807140000,263
201807150000,222
201807160000,227
201807170000,269
201807180000,294
201807190000,353
201807200000,296
201807210000,261
201807220000,230
201807230000,317
201807240000,277
201807250000,311
201807260000,350
201807270000,328
201807280000,415
201807290000,677
201807300000,526
201807310000,341
