text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"Erectile dysfunction affects so many men and not just men over 50. It affecting men in their 20’s as well!!

And while it might be common, it doesn’t have to be that way. There are many… https://t.co/69i08mhnmr",en,"Ajax, Ontario",,,,ss_wellness,Thu Jan 03 21:58:32 +0000 2019,0,0,0,False,0,False,
@simonmaginn @piersmorgan Haha he flew right by small dick syndrome and is now drowning in erectile dysfunction 😂 Meat causes ED 😂😂 It’s just too good.,en,"Winnipeg, Manitoba",,,,dogsaremyjam,Thu Jan 03 18:57:55 +0000 2019,0,0,0,False,0,False,
@LeeLionbird @piersmorgan I’d say he flew right past the small dick issue and into full fledged erectile dysfunction. Meat causes ED 😂🙈,en,"Winnipeg, Manitoba",,,,dogsaremyjam,Thu Jan 03 18:56:51 +0000 2019,0,0,0,False,0,False,
"@rubinsafaya @CircumCrippled @DrChaya @tvMHu5620xx9KGx @nytopinion It's three countries, but it doesn't have a market in any of them. It may have something to do with the fact that circumcised men are 453% more likely to develop erectile dysfunction.",en,Canada,,,,ReyosB,Thu Jan 03 15:49:17 +0000 2019,1,0,0,False,0,False,
"""Creative Medical Technology is on course to reap the rewards of its investment in @CaverStem this year. The company has made impressive strides as it moves to position the erectile dysfunction treatment in physicians and patient’s hands."" Biotech $CELZ 🚀
https://t.co/W0fOhTDyWQ https://t.co/oh2xtMu9B1",en,Kingston Ontario,,,,OTCBUL,Thu Jan 03 15:25:48 +0000 2019,0,0,0,False,1,False,
"Male virginity is like a carrot. If you take a bite of it, it gets smaller and it’ll never return to size again. This why many men suffer from erectile dysfunction.",en,vancouver ,,,,bottegavanesa,Thu Jan 03 14:55:07 +0000 2019,0,0,0,False,1,False,
"Male virginity is like a carrot. If you take a bite of it, it gets smaller and it’ll never return to size again. This why many men suffer from erectile dysfunction.",en,Canada,,,,timevisual01,Thu Jan 03 13:52:15 +0000 2019,0,0,0,False,1,False,
Somehow missed tagging this amazing woman who was the last guest of the podcast for 2018 - out with a bang! Thanks @VictoriaCullenQ  for your brilliant mind and a peak into how we can help men with erectile dysfunction recover sexually https://t.co/QTQ7EgUD3s,en,Canada,,,,proskoyoga,Thu Jan 03 05:41:11 +0000 2019,0,0,0,False,1,True,
"Male virginity is like a carrot. If you take a bite of it, it gets smaller and it’ll never return to size again. This why many men suffer from erectile dysfunction.",en,"Edmonton, Alberta",,,,Nicholeanda,Thu Jan 03 05:11:59 +0000 2019,0,0,0,False,1,False,
"Feeling forced by the new distracted driving laws to re-enable Siri, I ask ‘her’ to check my Yahoo Mail and I KID YOU NOT, she turns it into Yahoo Male and sends me erectile dysfunction ads. I may just have to pay the $1000 fine.",en,,,,,KathrynLandon,Wed Jan 02 21:23:50 +0000 2019,0,0,0,False,0,False,
Adamis seeks FDA approval for erectile dysfunction tablet https://t.co/hWzG12SLwc,en,"Cambridge, Ontario",,,,mbohl07,Wed Jan 02 18:05:35 +0000 2019,0,0,0,False,0,False,
Can masturbation cause erectile dysfunction? https://t.co/YLgHUJ7hfH https://t.co/yyjvLb27M9,en,Canada,,,,GmhsGroup,Wed Jan 02 16:50:45 +0000 2019,0,0,0,False,0,False,
I Have Erectile Dysfunction #FlirtBadlyIn4Words,en,London Ontario,,,,pattiffin,Wed Jan 02 04:04:24 +0000 2019,0,0,0,False,0,False,
think i got erectile dysfunction now thats wild,en,"Cobourg, Ontario",,,,GBucketzz,Wed Jan 02 02:18:09 +0000 2019,0,0,0,False,1,False,
I have erectile dysfunction and a boner,en,"Calgary, Alberta",,,,matthew__1_,Tue Jan 01 21:37:35 +0000 2019,0,0,0,False,1,False,
"@Maccabeus24 @Vagitator2 @IvyShoots @TroyKidder @tylerginn1 @LisaWinslow @periwinklewidow @skanz0 @DeborahGeyer Neither is erectile dysfunction then.  If Gawd takes it down, let no man intervene. https://t.co/5jtQKueGhw",en,Edmonton,,,,blueskies366,Mon Dec 31 19:04:29 +0000 2018,0,1,0,False,0,False,
Diabetes and erectile dysfunction may be genetically linked https://t.co/TKrywLfY4J https://t.co/GQEmNBLNuD,en,Canada,,,,GmhsGroup,Mon Dec 31 15:44:43 +0000 2018,0,0,0,False,0,False,
Diabetes and erectile dysfunction may be genetically linked https://t.co/PZhgW8WQnN,en,"Alliston, Ontario, Canada 🇨🇦",,,,Sir_FredBanting,Mon Dec 31 15:10:57 +0000 2018,0,0,0,False,0,False,
@BlindPress @hey_read_books @EyezOnAz @TehNekoGamer Bahahahahaha!!!! We have science. Go get erectile dysfunction elsewhere!!,en,The garden,,,,drunkvegans,Mon Dec 31 00:28:30 +0000 2018,0,0,0,False,0,False,
"Male strippers are 'more likely to be flops in the bedroom'
More than four in ten aged in their 20s were also found to suffer from erectile dysfunction, academics from the University of Miami discovered.
https://t.co/oYWa31QmZN
#news #things #dailymail #feed https://t.co/hivIUtmsYs",en,"Toronto, Ontario",,,,TestUserJaneDoe,Sat Dec 29 13:28:07 +0000 2018,0,0,0,False,0,False,
Type 2 Diabetes May Be Linked to Erectile Dysfunction https://t.co/XvZF5O1JRx https://t.co/eOzGDFxTaZ,en,"Toronto, Ontario",,,,rogerpharmd,Sat Dec 29 11:39:32 +0000 2018,0,0,0,False,0,False,
New on Twitch! [PC-Eng]I have ED(erectile dysfunction) https://t.co/ApPcip6boS,en,"Surrey, British Columbia",,,,RootBeerTuna,Sat Dec 29 10:16:21 +0000 2018,0,0,0,False,0,False,
New on Twitch! [PC-Eng]I have ED(erectile dysfunction) https://t.co/pkdcrZ1PO7,en,"Surrey, British Columbia",,,,RootBeerTuna,Fri Dec 28 19:37:11 +0000 2018,0,0,0,False,0,False,
Erectile dysfunction and Vitamin D - why the sunshine vitamin is important for men's sexual health @latestly #MyHeathIsHot https://t.co/FCK006oyjn https://t.co/cTnbvpCNoH,en,"British Columbia, Canada",,,,MyHealthIsSexy,Fri Dec 28 15:01:26 +0000 2018,0,0,0,False,0,False,
Are you getting enough of this in your diet? https://t.co/RXCaiH1oyW,en,Winnipeg Manitoba,,,,lovenestwpg,Fri Dec 28 13:52:22 +0000 2018,0,0,0,False,1,False,
I went to the hospital at 12am yesterday at 7am and found out I might have acid reflux Sleep apnea and Erectile dysfunction,en,"Ontario, Canada",,,,ImotoLight,Fri Dec 28 13:16:00 +0000 2018,0,0,0,False,0,False,
"What idiot named it ""Erectile Dysfunction"" and not ""ballzhiemer's""?",en,Toronto ,,,,Thatguyshadow91,Fri Dec 28 00:07:26 +0000 2018,0,0,0,False,0,False,
"In the last 10 years, Medicare has spent more than $240 million dollars on penis pumps for seniors with erectile dysfunction. #The6ix #TheSix",en,"Toronto, Ontario",,,,6iqinix,Thu Dec 27 04:05:24 +0000 2018,0,0,0,False,0,False,
