text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
@LozzaBritney @realdealfakery @traceitback @dkreative1 @davidakin @PressSec He loves firearms. Clearly he has erectile dysfunction too.,en,Planet Earth,,,,meredithheron,Sat Jun 01 18:29:17 +0000 2019,0,0,0,0,FALSE
Should you drink alcohol and take medication for erectile dysfunction at the same time?  Here's why you may want to reconsider that extra glass of wine: https://t.co/GZLRGyhJdx https://t.co/BtPAzZedJ6,en,"Winnipeg, Manitoba",,,,jasoncanadadrug,Sat Jun 01 17:20:06 +0000 2019,0,0,0,0,FALSE
@rkn429 Erectile Dysfunction,en,"Barrie, Ontario",,,,guy_jeune,Sat Jun 01 02:38:35 +0000 2019,0,0,0,0,FALSE
Recommended read on @Medium: “How Tech Helped Create a New Erectile Dysfunction Crisis” https://t.co/ta5w4H6DJl,en,"Calgary, Alberta",,,,nihilistbear,Fri May 31 19:58:43 +0000 2019,0,0,0,1,FALSE
"Some potential side effects of #ProstateCancer treatments can be infertility, erectile dysfunction and a decreased libido. Find out more about how you can manage them: https://t.co/07nSs0Hail https://t.co/mzbAnJKvhO",en,Canada,,,,ProstateCancerC,Fri May 31 18:45:13 +0000 2019,0,0,0,0,FALSE
"Welcome to Erectile Dysfunction Clinic! Visit us online for more information. 
Read More: https://t.co/L4HjVk26JY
#TorontoSexualHealthTreatment #TorontoErectileDysfunction #TorontoErectileDysfunctionProblem #TorontoErectileDysfunctionTreatment
#TorontoErectileDysfunctionClinic https://t.co/GZDV2nryGJ",en,"Toronto, Ontario",,,,TorontoEDClinic,Fri May 31 17:15:53 +0000 2019,0,0,0,0,FALSE
Drugs with biggest price hikes don’t treat depression or diabetes — they’re for erectile dysfunction https://t.co/ZWX1bHE0sr https://t.co/oWJWq1oKXK,en,"Toronto, Ontario",,,,staylibusiness,Fri May 31 16:13:06 +0000 2019,0,0,0,0,FALSE
Also i'm making the unintentional erectile dysfunction joke before anyone else does.,en,Most likely nowhere in reality,,,,ZetaZBA,Fri May 31 15:52:06 +0000 2019,0,0,0,0,FALSE
Ad for erectile dysfunction meds in middle of 19th century novel. https://t.co/NbnReD2flK,en,Mi’kma’ki,,,,LeoMcKayJr,Fri May 31 14:31:38 +0000 2019,0,0,0,0,TRUE
@bummji I have early on set erectile dysfunction 🙈,en,,,,,rosovah,Fri May 31 07:39:19 +0000 2019,0,0,0,0,FALSE
Should you drink alcohol and take medication for erectile dysfunction at the same time?  Here's why you may want to reconsider that extra glass of wine: https://t.co/GZLRGyhJdx https://t.co/BtPAzZedJ6,en,"Winnipeg, Manitoba",,,,jasoncanadadrug,Thu May 30 16:00:42 +0000 2019,0,0,0,0,FALSE
"Sexual health professionals aren’t necessarily excited about the way telemedicine startups are expanding the notion of what is, and isn’t, erectile dysfunction https://t.co/PES3Bi2G4U",en,"Burnaby, British Columbia",,,,infil00p,Thu May 30 14:39:45 +0000 2019,0,0,0,1,FALSE
