text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
(Overdose on erectile dysfunction medication leaves man with red-tinted vision) #news #trendingnews #todaynews has been published on Review Journal - https://t.co/KG5zeKN1C8 https://t.co/HK734WfaFJ,en,"Toronto, Ontario",,,,canadanewsmedia,Wed Oct 03 21:28:29 +0000 2018,0,0,0,False,0,False,
#SeeingRed: Man who OD'd on erectile dysfunction med has vision problems https://t.co/gsacahuoQt https://t.co/DiNXUaoPWJ,en,Canada,,,,Canoe,Wed Oct 03 21:08:33 +0000 2018,1,0,0,False,0,False,
According to #MyWebMDDiagnosis it's the opposite of erectile dysfunction 😏 https://t.co/0DVoRztnpg,en,Toronto ON,,,,Darth_Pingu,Wed Oct 03 20:34:00 +0000 2018,0,0,0,False,0,False,
"Ron Livinston experiences retina damage from a Viagra overdose. That's a hard diagnosis to swallow.
https://t.co/v5gRtETXCC https://t.co/gxVa0DqJyZ",en,"Vancouver, British Columbia",,,,CanadianRy,Wed Oct 03 18:52:39 +0000 2018,0,0,0,False,0,False,
A Man Overdosed on an Erectile Dysfunction Drug &amp; Now He Permanently Sees Red - The strange case is the subject of research claiming to link an erectile dysfunction drug to vision damage. https://t.co/FavSs4Qp7C https://t.co/YDcTbtEK9A,en,"Toronto, Ontario",,,,rogerpharmd,Wed Oct 03 15:30:07 +0000 2018,0,0,0,False,0,False,
(Man Took So Many Erectile Dysfunction Drugs His Vision Was Permanently Tinted Red) #news #trendingnews #todaynews has been published on Review Journal - https://t.co/k6NyAwolW0 https://t.co/E5t6sFeGt7,en,"Toronto, Ontario",,,,canadanewsmedia,Wed Oct 03 11:12:10 +0000 2018,0,0,0,False,0,False,
A Man Overdosed on an Erectile Dysfunction Drug and Now He Permanently Sees Red https://t.co/aHVeVuNlhV via @motherboard,en,Montreal,,,,al4nsmithee,Wed Oct 03 10:25:23 +0000 2018,0,0,0,False,0,False,
"(Man Chugs Erectile Dysfunction Drug, Ends Up With Permanently Red-Tinted Vision) #news #trendingnews #todaynews has been published on Review Journal - https://t.co/wZnBadPva5 https://t.co/e9nPxDV6C0",en,"Toronto, Ontario",,,,canadanewsmedia,Wed Oct 03 06:07:08 +0000 2018,0,0,0,False,0,False,
This guy chugged erectile dysfunction pills and has permanently red tinted vision which is such a nightmarish thing to happen,en,"Toronto, Ontario",,,,PatchfaceTF,Wed Oct 03 05:49:55 +0000 2018,0,3,0,False,0,False,
"Hearing ""tampon tax is unpopular with women"" on .@BreakfastNews. Viagra to treat erectile dysfunction is exempt from GST. Condoms are exempt from GST. Sanitary products are essential for women but have been treated as some kind of 'luxury' item. This is main objection. #auspol",en,Ontario Canada & Sydney Austra,,,,NeilMacLawrence,Wed Oct 03 01:03:40 +0000 2018,0,0,0,False,1,False,
