text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@patersonjeff Nutsack name plus your erectile dysfunction reads will always be remembered,en,Vancouver,,,,liewfrombc,Wed Nov 06 22:25:33 +0000 2019,0,0,0,False,0,False,
"The Shocking Truth About Erectile Dysfunction😯
The Secrets You Need to Know

📝 @SkyeSherman 

https://t.co/Xy7te9DhIJ

#MensHealth #Movember #WednesdayWisdom #CanadianPharmacy #SexualHealth #ErectileDysfunction https://t.co/B3pvjCbs3K",en,"Surrey, BC, Canada",,,,CANPharmaWorld,Wed Nov 06 20:42:43 +0000 2019,0,0,0,False,0,False,
"We don’t call it erectile dysfunction, we call it Ballzheimers",en,"Laval, Québec",,,,iForbiddenn,Wed Nov 06 18:48:02 +0000 2019,0,1,3,False,0,False,
"Did you know that more than half of men will experience erection difficulties at some point in their lives?

Everything you need to know about Erectile Dysfunction (ED) is in a new @AskMen article, with quotes from co-director of WCCST, @DrJasonWinters 

 https://t.co/lQuFdmsE5e https://t.co/pDCzzskFAe",en,"Vancouver, British Columbia",,,,WCCSexTherapy,Wed Nov 06 17:32:19 +0000 2019,0,0,0,False,0,False,
"fingers and gradually spreads upward. Left untreated, you could lose all sense of feeling in the affected limbs. Damage to the nerves related to digestion can cause problems with nausea, vomiting, diarrhea or constipation. For men, it may lead to erectile dysfunction.",en,Canada,,,,ereditsh,Wed Nov 06 16:52:27 +0000 2019,0,0,0,False,0,False,
"Did you know your daily intake of caffeine can really improve #ErectileDysfunction?

Who knew coffee might be good for you after all!

https://t.co/zaox7jmP5c

📝 @CarrieABorzillo 

#MensHealth #Coffee #CoffeeBean #NaturalRemedies #KingsBlog #CanadianPharmacy #Throwback https://t.co/2jTI2eFgSc",en,"Surrey, BC",,,,CANPharmacyKing,Wed Nov 06 15:22:58 +0000 2019,0,0,0,False,0,False,
We're going LIVE in just a few minutes!! Come learn how we can CURE erectile dysfunction!! @Coloplast_MD #MensHealth  https://t.co/h2f8crUgME,en,"Winnipeg, Manitoba",,,,PremalPatelMD,Wed Nov 06 00:20:30 +0000 2019,0,0,0,False,1,False,
Alot of niggas doing no nut November have a erectile dysfunction or prostate cancer....so are they really winning?,en,"Toronto, Ontario",Canada,CA,"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]",MF_Ninja,Tue Nov 05 20:05:49 +0000 2019,0,1,0,False,0,False,
"A candid conversation about male health issues from infertility to erectile dysfunction with @PremalPatelMD 

https://t.co/6R9m0WwGTV https://t.co/mbU179tMVm",en,"Winnipeg, Manitoba",,,,PremalPatelMD,Tue Nov 05 17:33:16 +0000 2019,0,0,0,False,1,False,
listening to basketball podcasts is just one erectile dysfunction ad after another,en,"Auckland, New Zealand",,,,_emmajbrown,Tue Nov 05 17:31:52 +0000 2019,0,4,0,False,0,False,
"A candid conversation about male health issues from infertility to erectile dysfunction with @PremalPatelMD 

https://t.co/6R9m0WwGTV https://t.co/mbU179tMVm",en,"Winnipeg, MB",,,,CTVMorningWPG,Tue Nov 05 17:30:00 +0000 2019,1,0,9,False,0,False,
"Join me and @Coloplast_MD 6:30 PM TOMORROW night for my first MEN’S HEALTH WEBINAR!! Together we can CURE #ED! #MensHealth 
https://t.co/h2f8crUgME",en,"Winnipeg, Manitoba",,,,PremalPatelMD,Tue Nov 05 16:10:57 +0000 2019,0,0,0,False,1,False,
"I got to this page from a link on @LinkedIn.. jeez someone went to great lengths to do this. (PSA: it's not real @CBCNews if you haven't realized yourself)

https://t.co/zM4xhLUuz7",en,"Toronto, Ontario",,,,forkedandhoofed,Tue Nov 05 03:31:36 +0000 2019,0,0,0,False,0,False,
