text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@ChristosVK @drserefoglu Bad for curve reduction but seems to help for pain and erectile dysfunction,en,"Montréal, Québec",Canada,CA,"[[[-74.307899, 46.11457], [-74.307899, 46.217388], [-74.19881, 46.217388], [-74.19881, 46.11457]]]",drsteinba,Sat Oct 31 15:23:53 +0000 2020,0,0,0,False,0,False,
"#Todaynews #healthyfoods #healthbenefits, #Ginger Combined with Other Herbal Medicines for The Treatment of Erectile Dysfunction
https://t.co/vrMuH9kAp1 https://t.co/Jz3bKRZPVi",en,Canada,,,,_Woman_health,Sat Oct 31 12:12:29 +0000 2020,1,1,0,False,0,False,
@jediqueenie I'll try but erectile dysfunction isn't fun :(,en,Canada,,,,SaucyShikari,Fri Oct 30 21:59:56 +0000 2020,0,0,0,False,0,False,
"Erectile Dysfunction May Affect 1 In 4 Men Under 40 Seeking Treatment, Study Suggests https://t.co/vJVnBrVXSV via @HuffPostLife 

Doesn't mention Alcoholics, which this addiction is escalating, much to profit of liquor stores owned by MONOPOLIZED, private FOR PROFIT shareholders.",en,Canada,,,,StephanieBrys11,Fri Oct 30 20:29:53 +0000 2020,0,0,0,False,1,False,
"Imagine if COVID19 only killed white men and long term effects were erectile dysfunction.   

There would have been a mandatory body bubble wrap and two month national stay at home order.",en,Canada,,,,sleddogwatchdog,Fri Oct 30 16:12:28 +0000 2020,0,0,0,False,1,False,
@BrokenRagnell Erectile dysfunction😍,en,"British Columbia, Canada",,,,Magvel7738,Fri Oct 30 04:10:23 +0000 2020,0,0,0,False,0,False,
"Everytime I listen to ""I want love"" by Elton John I always think about erectile dysfunction",en,"Toronto, Ontario",,,,sabrinahempel,Fri Oct 30 02:41:29 +0000 2020,0,0,0,False,1,False,
"Erectile Dysfunction May Affect 1 In 4 Men Under 40 Seeking Treatment, Study Suggests https://t.co/vJVnBrVXSV via @HuffPostLife 

Doesn't mention Alcoholics, which this addiction is escalating, much to profit of liquor stores owned by MONOPOLIZED, private FOR PROFIT shareholders.",en,Canada,,,,StephanieBrys11,Thu Oct 29 18:52:30 +0000 2020,0,0,1,False,0,False,
"What if ""Satisfaction"" by the @RollingStones is just about a guy with erectile dysfunction?",en,"Toronto, Ontario",,,,RyGuyComedy,Thu Oct 29 17:55:56 +0000 2020,0,0,0,False,0,False,
“Many men are too embarrassed to talk about erectile dysfunction....” https://t.co/ySfQNWeaVq,en,"Winnipeg, Manitoba",,,,petemeechan,Thu Oct 29 07:20:46 +0000 2020,0,0,0,False,1,False,
@CDCJ30362 We would honestly have better luck getting a bunch of militant women together and instruct them to start fighting back against antifa. I feel a conscious tug amongst “conservative women” hoping for the day that their men stop living with social erectile dysfunction.,en,Canada ,,,,G_Rhodenizer,Thu Oct 29 07:13:23 +0000 2020,0,1,0,False,0,False,
@RexChapman The only medical condition that clown has is erectile dysfunction.,en,Canada,,,,hashcast,Thu Oct 29 04:42:52 +0000 2020,0,0,0,False,0,False,
"If anyone is looking for an old fat bald guy with a small penis, erectile dysfunction &amp; premature ejaculation issues, hit me up",en,Toronto,,,,shewitsch,Wed Oct 28 19:50:50 +0000 2020,0,0,0,False,1,False,
@Skellysona Erectile dysfunction,en,"Calgary, Alberta",,,,MeckaStrip,Wed Oct 28 17:28:54 +0000 2020,0,1,0,False,0,False,
"@laphroaigautist @FightTheNewDrug Watching porn isn't worth the risk of finally meeting a special girl who wants to hook up with you only to discover you suffer from porn-addict erectile dysfunction, leaving her so disappointed &amp; unsatisfied she friend-zones you from that night on.",en,Canada,,,,OrphanRed6,Wed Oct 28 17:27:41 +0000 2020,0,1,0,False,0,False,
Ensuring Penis Health: Can a Concussion Cause Erectile Dysfunction? https://t.co/p0Gb5E6Rzb,en,United States - Canada,,,,A_Draz_A,Tue Oct 27 18:13:04 +0000 2020,0,0,0,False,0,False,
"Smoking can damage your blood vessels, causing defective erection

It can also damage your sperm in such a way that fertilization becomes difficult

See, if you have erectile dysfunction, stop #smoking for your own good

Save a life on your timeline; RETWEET this❗ 🙏 https://t.co/6ln5PtcDPa",en,"Canada🇨🇦, UK 🇬🇧, 🇳🇿",,,,Whitepresident1,Tue Oct 27 17:37:47 +0000 2020,0,0,0,False,1,False,
