timePeriod,count
202010020000,14
202010030000,20
202010040000,14
202010050000,24
202010060000,39
202010070000,52
202010080000,60
202010090000,26
202010100000,35
202010110000,80
202010120000,32
202010130000,25
202010140000,21
202010150000,31
202010160000,23
202010170000,18
202010180000,20
202010190000,96
202010200000,136
202010210000,101
202010220000,98
202010230000,34
202010240000,28
202010250000,63
202010260000,26
202010270000,26
202010280000,48
202010290000,21
202010300000,20
202010310000,36
