text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@grahamamcisaac @j_mcelroy Why are you offended by the use of a very clinical word like erection? There is nothing rude or offensive about the joke. You’re looking for excuses to be offended.,en,"North Vancouver, BC",,,,cameronmaltby,Sat Oct 31 23:59:29 +0000 2020,0,0,0,False,0,False,
@50cent Just admit you have an erection and go.,en,Montreal,,,,pyroblaze,Sat Oct 31 23:39:39 +0000 2020,0,0,0,False,1,False,
@CraigCameronWV How is using such a clinical word like ‘erection’ crude? Especially given the context? You don’t owe anyone a apology.,en,"North Vancouver, BC",,,,cameronmaltby,Sat Oct 31 23:23:29 +0000 2020,0,0,0,False,0,False,
"meanwhile in west vancouver, dozens of concerned citizens have written was definitely aren't form letters demanding a councillor resign for making an erection joke about chip wilson

in case you were wondering how things were going there https://t.co/ISs0xMuu7n",en,Greater Vancouver,,,,elvispocomo,Sat Oct 31 23:14:03 +0000 2020,0,0,0,False,1,False,
@j_mcelroy Chip Wilson is a joke........ erection or otherwise.,en,"Vancouver, BC, Canada",,,,BobbieBees,Sat Oct 31 23:11:41 +0000 2020,0,0,0,False,0,False,
"Gotta hand it to them for their fair &amp; balanced, hard-hitting news stories.  The BIG ERECTION battle begins w #CBC News leading the charge.   🤣😅🤣 #cdnpoli #bcpoli #leftists #DoubleStandards #vanpoli #DefundCBC @BCreports @RebelNewsOnline @theprovince @nationalpost #westvan https://t.co/Vr3EZOhfWM",en,B.C.,,,,thx1979,Sat Oct 31 22:56:28 +0000 2020,0,0,0,False,1,True,
"In case you are just tuning in, this is what it is about. #cdnpoli #bcpoli #CraigCameronWV #ethics #DoubleStandards #vanpoli @steeletalk @theprovince @NorthShoreNews #DistrictofWestVancouver #erection https://t.co/DjLXgU5teY https://t.co/4JMTG6OcPu",en,B.C.,,,,thx1979,Sat Oct 31 22:51:11 +0000 2020,0,0,0,False,1,True,
"In males, 80% to 95% of REM sleep is typically accompanied by partial to full penile erection.",en,"Nova Scotia, Canada",,,,smurph_18_,Sat Oct 31 22:49:03 +0000 2020,0,0,0,False,1,False,
@j_mcelroy Those threats are giving me an erection.,en,Lekwungen Territory/Victoria,,,,WesternHemlox,Sat Oct 31 20:50:08 +0000 2020,0,0,0,False,0,False,
"UPDATE: one of the people involved in the campaign against a west vancouver councillor's erection joke on twitter is now threatening me

in case you were wondering how things were going there https://t.co/rLuS0uXNCf",en,Surrey British Columbia. ,,,,FEEZYDoesIT,Sat Oct 31 20:48:38 +0000 2020,0,0,0,False,1,False,
"@outoftheprairie You don’t get jokes. So I’ll help you out. You see, saying that Chip Wilson should spend more time playing with his erection is what’s called a callback—to Chip Wilson’s blog post, “Are Erections Important?” That was Wilson’s pro-boner response to #MeToo and equally out of touch.",en,"Vancouver, British Columbia",,,,fakedavidmount,Sat Oct 31 20:31:17 +0000 2020,0,0,0,False,0,False,
"UPDATE: one of the people involved in the campaign against a west vancouver councillor's erection joke on twitter is now threatening me

in case you were wondering how things were going there https://t.co/rLuS0uXNCf",en,"VANCOUVER, BC",,,,JamesRobertsCBC,Sat Oct 31 19:58:22 +0000 2020,0,0,0,False,1,False,
"meanwhile in west vancouver, dozens of concerned citizens have written was definitely aren't form letters demanding a councillor resign for making an erection joke about chip wilson

in case you were wondering how things were going there https://t.co/ISs0xMuu7n",en,"Mississauga, Ontario",,,,ladykitchenless,Sat Oct 31 19:44:51 +0000 2020,0,0,0,False,1,False,
