timePeriod,count
202010310000,36
202010300000,20
202010290000,21
202010280000,48
202010270000,26
202010260000,26
202010250000,63
202010240000,28
202010230000,34
202010220000,98
202010210000,101
202010200000,136
202010190000,96
202010180000,20
202010170000,18
202010160000,23
202010150000,31
202010140000,21
202010130000,25
202010120000,32
202010110000,80
202010100000,35
202010090000,26
202010080000,60
202010070000,52
202010060000,39
202010050000,24
202010040000,14
202010030000,20
202010020000,14
202010010000,23
202009300000,24
202009290000,36
202009280000,60
202009270000,32
202009260000,20
202009250000,44
202009240000,31
202009230000,27
202009220000,24
202009210000,22
202009200000,22
202009190000,21
202009180000,22
202009170000,23
202009160000,27
202009150000,15
202009140000,31
202009130000,70
202009120000,28
202009110000,26
202009100000,29
202009090000,48
202009080000,23
202009070000,30
202009060000,23
202009050000,20
202009040000,23
202009030000,78
202009020000,37
202008310000,45
202008300000,52
202008290000,19
202008280000,20
202008270000,17
202008260000,17
202008250000,29
202008240000,19
202008230000,16
202008220000,14
202008210000,15
202008200000,31
202008190000,19
202008180000,28
202008170000,37
202008160000,13
202008150000,32
202008140000,36
202008130000,39
202008120000,27
202008110000,20
202008100000,31
202008090000,11
202008080000,16
202008070000,23
202008060000,28
202008050000,23
202008040000,18
202008030000,16
202008020000,29
202008010000,24
202007310000,32
202007300000,41
202007290000,27
202007280000,17
202007270000,13
202007260000,35
202007250000,20
202007240000,22
202007230000,33
202007220000,49
202007210000,30
202007200000,20
202007190000,15
202007180000,21
202007170000,21
202007160000,19
202007150000,20
202007140000,28
202007130000,21
202007120000,22
202007110000,25
202007100000,31
202007090000,20
202007080000,28
202007070000,26
202007060000,16
202007050000,14
202007040000,22
202007030000,29
202007020000,19
202006300000,14
202006290000,34
202006280000,39
202006270000,28
202006260000,24
202006250000,28
202006240000,19
202006230000,22
202006220000,32
202006210000,21
202006200000,20
202006190000,21
202006180000,17
202006170000,40
202006160000,18
202006150000,23
202006140000,14
202006130000,26
202006120000,25
202006110000,33
202006100000,27
202006090000,25
202006080000,21
202006070000,18
202006060000,24
202006050000,26
202006040000,18
202006030000,24
202006020000,25
202006010000,24
202005310000,9
202005300000,28
202005290000,24
202005280000,16
202005270000,25
202005260000,29
202005250000,35
202005240000,22
202005230000,10
202005220000,24
202005210000,16
202005200000,24
202005190000,24
202005180000,15
202005170000,28
