text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"#Pray Almighty Father, Let the fountain of our problems dry up in Jesus Name. Let every imagination of the enemies be rendered impotent in Jesus Name. Let the sentence of evil judgments against us be reversed by Your mercies in Jesus Name. #Amen 🙏",en,Canada/United Kingdom,,,,adinx,Sat Oct 31 23:20:49 +0000 2020,0,0,0,False,1,False,
#ProudBoys -  A bunch of impotent boys with Nazi starter packs. https://t.co/40C0r7Rkxe,en,🇨🇦Atlantic Canada🇨🇦,,,,peburns,Sat Oct 31 21:57:00 +0000 2020,0,0,0,False,1,True,
"@JoeBiden You mean you left him a play”along”book describing 47years of impotent leadership, lack of accomplishment, racist “reform” that even your OWN RUNNING MATE has called you out on, and expected him to follow the status quo? That would not be leadership. That’s selling out. https://t.co/eyoyxP2keW",en,North🖕🏼,,,,G0Crazytimes,Sat Oct 31 21:46:32 +0000 2020,0,0,0,False,0,False,
"I fear our choice may be going out with a bang (Trump) or a whimper (Impotent Dems). Do we have what it takes to save the American Experiment?

Also, Happy Halloween! I'm not stressed!",en,"Vancouver, BC",,,,tarasdactyls,Sat Oct 31 20:52:12 +0000 2020,0,0,0,False,0,False,
"@CanadaAwaken @stockchaser99 #wexit #FreeTheWest @jkenney when this movement started again you were vehemently against the idea, has your feeling changed? The Trudeau/Singh alliance makes all us voters impotent in how this countries run, Alberta is being used as a pawn. We need to move away from Ottawa now!",en,alberta canada,,,,stockchaser99,Sat Oct 31 20:45:30 +0000 2020,0,0,0,False,1,False,
"@CanadaAwaken @stockchaser99 #wexit #FreeTheWest @jkenney when this movement started again you were vehemently against the idea, has your feeling changed? The Trudeau/Singh alliance makes all us voters impotent in how this countries run, Alberta is being used as a pawn. We need to move away from Ottawa now!",en,"Alberta, canada",,,,Canuck4466,Sat Oct 31 20:44:31 +0000 2020,0,0,1,False,0,False,
For insurance coverage providers unlike farmers tradesmen from the organized crime community like impotent hells angels. Possibly even have beautiful artists murals on my buildings internationally even at bases and old military shipyards anew.,en,"Victoria, British Columbia",,,,Snow666_2,Sat Oct 31 20:32:12 +0000 2020,0,0,0,False,0,False,
"@kinsellawarren Warren Kinsella, an impotent old man who still makes “your mom” jokes in his frail age. You’re only getting weaker and less important, buddy!",en,Canada,,,,canadianensign,Sat Oct 31 20:07:56 +0000 2020,0,0,0,False,0,False,
"@ElevatedMonkey Impotent unethical @JustinTrudeau and #CCPChina operative @CPHO_Canada Tam and all #lieberals are 💯% guilty of👇🏻this in all aspects

#TrudeauWorstPMEver 

#TrudeauMustGo🔜#JailJustin https://t.co/WgydXIBz0s",en,"British Columbia, Canada",,,,_IslandGL,Sat Oct 31 19:33:24 +0000 2020,0,0,0,False,1,False,
"@ElevatedMonkey Impotent unethical @JustinTrudeau and #CCPChina operative @CPHO_Canada Tam and all #lieberals are 💯% guilty of👇🏻this in all aspects

#TrudeauWorstPMEver 

#TrudeauMustGo🔜#JailJustin https://t.co/WgydXIBz0s",en,Canada,,,,capiecanuck,Sat Oct 31 18:36:44 +0000 2020,0,0,1,False,0,False,
@TomTSEC #JihadiJustin won’t comment will you impotent unethical @JustinTrudeau ? https://t.co/0ydgrsMKyx,en,Canada,,,,capiecanuck,Sat Oct 31 18:06:52 +0000 2020,0,1,0,False,0,False,
@justcuriousden @justinhendrix @sarahcpr People who are impotent and/or who have Stockholm's syndrome.,en,Canada,,,,PritchardJeff,Sat Oct 31 18:00:08 +0000 2020,0,0,0,False,0,False,
"@Lumberist #Canada, we have a problem, and it’s impotent unethical @JustinTrudeau https://t.co/dvF3bFT053",en,Canada,,,,capiecanuck,Sat Oct 31 17:41:57 +0000 2020,0,0,0,False,0,False,
Impotent unethical @JustinTrudeau https://t.co/NyZ0XOnpgP,en,Canada,,,,capiecanuck,Sat Oct 31 16:50:38 +0000 2020,0,0,0,False,0,True,
"@DonMartinCTV Impotent unethical @JustinTrudeau is a compulsive liar - end of story 

#TrudeauWorstPMEver 

#TrudeauMustGo🔜#JailJustin https://t.co/Mowuj1MZ1n",en,Canada,,,,capiecanuck,Sat Oct 31 16:46:37 +0000 2020,0,0,0,False,0,False,
"More lip service from our impotent leadership in Canada. @JustinTrudeau and @FP_Champagne  quickly lost our respect and now have delusions that Erdogan and Aliyev give a crap about anything they say.

#RecognizeArtsakh #SanctionTurkey https://t.co/T5s53Onsf2",en,"Québec, Canada",,,,a_yeps,Sat Oct 31 15:21:48 +0000 2020,0,0,0,False,0,True,
Roger Hilderley testified as the sole witness in his defense during the retired Stratford educator's sexual assault trial stemming from allegations dating back to 2002 @BeaconGalen https://t.co/wHsQjDa9fN,en,"Stratford, Ontario, Canada",,,,thebeaconherald,Sat Oct 31 15:01:37 +0000 2020,0,0,1,False,0,False,
Roger Hilderley testified as the sole witness in his defense during the retired Stratford educator's sexual assault trial stemming from allegations dating back to 2002 @thebeaconherald https://t.co/o3cKSeQNGI,en,"Stratford, Ontario",,,,BeaconGalen,Sat Oct 31 15:01:24 +0000 2020,0,0,0,False,0,False,
"Current #lieberal or, ...... simply,
Impotent unethical @JustinTrudeau https://t.co/aoxwj2r7ma",en,Canada,,,,capiecanuck,Sat Oct 31 13:02:28 +0000 2020,0,0,0,False,0,True,
"@GrantTanaka @AmishPornStar1 I think your on to something, the dog is impotent ,so daily he kicks the man in the balls. The man had him neutered. Most vicious circle",en,Arnprior Ontario Canada,,,,Kimscheel3,Sat Oct 31 13:00:25 +0000 2020,0,0,0,False,0,False,
