text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@MoeedNj They have no importance in their own society so they turn to other society for impotence. Shame on you Jonathan. You just a pig,en,"Brisbane City, Australia",,,,Muhriz_muhammad,Fri Jul 13 23:39:08 +0000 2018,0,0,0,False,0,False,
"@MaameAfibaBessa Wow! You're so honest I'm beginning to admire you. Ghanaians are dying because of hypocrisy and unbridled partisanship. We are now being told to not only accept incompetence but add to that impotence, corruption and hardship because NPP is in power.",en,"Accra, Ghana",,,,VictorOdoi,Fri Jul 13 22:59:20 +0000 2018,0,0,0,False,0,False,
"@K3kscookie i’m crying from impotence, fuck",en,"Buenos Aires, Argentina",,,,sweetkihy,Fri Jul 13 22:54:53 +0000 2018,0,0,0,False,0,False,
@janetedavis I waste FAR too much time railing against things over which I have no control. But maybe that's the point: it's an attempt to deny our own impotence by sharing with others similarly dispossessed.,en,Halfway to Paradise,,,,gnarlybole,Fri Jul 13 22:48:27 +0000 2018,0,0,0,False,0,False,
@HarrietSpy2 Great! Great initiative. Open energising discussion beats the crap out of angsting &amp; kvetching &amp; handwringing that feeds collective feelings of impotence.,en,,,,,TomBoyOptional,Fri Jul 13 22:45:57 +0000 2018,0,0,0,False,0,False,
@thefaceberg A reminder of my own impotence in my more advanced age.,en,,,,,CrownedCaribou,Fri Jul 13 22:40:24 +0000 2018,0,0,0,False,0,False,
"The most common negative side effects of beta-blockers are cold hands and feet, tiredness and sleep disturbance (i.e., nightmares). Less common side effects of beta blocker use include impotence, dizziness, wheezing, digestive tract problems, skin rashes and dry eyes.",en,"Cardiff, Wales C21H30O2",,,,c_cannabiscafe,Fri Jul 13 22:30:03 +0000 2018,0,1,0,False,0,False,
51+ Premature ejaculation pills &amp; treatment for Impotence  https://t.co/GAgMMYc36K https://t.co/GAgMMYc36K,en,India,,,,lifeinvedas11,Fri Jul 13 22:16:00 +0000 2018,0,0,0,False,0,False,
51+ Premature ejaculation pills &amp; treatment for Impotence  https://t.co/GAgMMYc36K,en,India,,,,lifeinvedas11,Fri Jul 13 22:15:47 +0000 2018,0,0,0,False,0,False,
"If you need to see everything wrong with the D.C. swamp, including the impotence of those who say they’d like to drain it, it was all on display at the Strzok hearing. https://t.co/rlReJ2rkfx",en,"Houston, TX USA",,,,DoktorPaulie,Fri Jul 13 21:55:56 +0000 2018,0,0,0,False,1,False,
"If you need to see everything wrong with the D.C. swamp, including the impotence of those who say they’d like to drain it, it was all on display at the Strzok hearing. https://t.co/rlReJ2rkfx",en,"Montana, USA",,,,AquilaMT,Fri Jul 13 21:51:34 +0000 2018,0,0,0,False,1,False,
"@JeffFlake YOU DON'T SEEM TO REALIZE YOU HAVE BECOME A PARODY OF FECKLESS, USELESS IMPOTENCE WITH THESE STOOOOOPID TWEETS. STOP TWEETING AND DO SOMETHING. Or just shut up completely.",en,"L.A., CA",,,,EllisWeiner,Fri Jul 13 21:39:33 +0000 2018,0,0,0,False,0,False,
@nytimesworld An expresssion of self regard and also impotence.,en,,United States,US,"[[[-74.026675, 40.683935], [-74.026675, 40.877483], [-73.910408, 40.877483], [-73.910408, 40.683935]]]",RWordplay,Fri Jul 13 21:30:15 +0000 2018,0,0,0,False,0,False,
