timePeriod,count
202010310000,35
202010300000,20
202010290000,28
202010280000,27
202010270000,35
202010260000,24
202010250000,47
202010240000,28
202010230000,32
202010220000,42
202010210000,26
202010200000,28
202010190000,56
202010180000,28
202010170000,18
202010160000,48
202010150000,46
202010140000,27
202010130000,14
202010120000,29
202010110000,52
202010100000,25
202010090000,29
202010080000,81
202010070000,46
202010060000,34
202010050000,30
202010040000,19
202010030000,37
202010020000,25
202009300000,73
202009290000,26
202009280000,65
202009270000,37
202009260000,21
202009250000,28
202009240000,39
202009230000,20
202009220000,48
202009210000,31
202009200000,16
202009190000,44
202009180000,35
202009170000,73
202009160000,23
202009150000,41
202009140000,24
202009130000,38
202009120000,22
202009110000,20
202009100000,53
202009090000,23
202009080000,36
202009070000,15
202009060000,15
202009050000,21
202009040000,30
202009030000,39
202009020000,40
202009010000,103
202008310000,65
202008300000,63
202008290000,48
202008280000,47
202008270000,71
202008260000,26
202008250000,26
202008240000,22
202008230000,18
202008220000,36
202008210000,49
202008200000,83
202008190000,22
202008180000,19
202008170000,13
202008160000,12
202008150000,28
202008140000,40
202008130000,55
202008120000,72
202008110000,64
202008100000,26
202008090000,40
202008080000,41
202008070000,27
202008060000,63
202008050000,63
202008040000,39
202008030000,24
202008020000,36
202008010000,31
202007310000,51
202007300000,52
202007290000,27
202007280000,30
202007270000,56
202007260000,41
202007250000,40
202007240000,48
202007230000,93
202007220000,136
202007210000,41
202007200000,31
202007190000,57
202007180000,41
202007170000,25
202007160000,78
202007150000,41
202007140000,30
202007130000,35
202007120000,61
202007110000,48
202007100000,43
202007090000,30
202007080000,66
202007070000,24
202007060000,51
202007050000,31
202007040000,36
202007030000,45
202007020000,28
202007010000,38
202006300000,26
202006290000,28
202006280000,25
202006270000,32
202006260000,35
202006250000,41
202006240000,49
202006230000,41
202006220000,46
202006210000,49
202006200000,96
202006190000,32
202006180000,30
202006170000,29
202006160000,33
202006150000,87
202006140000,158
202006130000,173
202006120000,47
202006110000,48
202006100000,104
202006090000,36
202006080000,65
202006070000,69
202006060000,56
202006050000,66
202006040000,114
202006030000,72
202006020000,100
202006010000,269
202005310000,86
202005300000,106
202005290000,86
202005280000,85
202005270000,72
202005260000,34
202005250000,30
202005240000,25
202005230000,40
202005220000,31
202005210000,30
202005200000,127
202005190000,111
202005180000,38
202005170000,26
202005160000,26
202005150000,38
202005140000,39
202005130000,24
202005120000,53
202005110000,47
202005100000,25
202005090000,30
202005080000,19
202005070000,81
202005060000,112
202005050000,37
202005040000,36
202005030000,35
202005020000,54
202005010000,169
202004300000,53
202004290000,18
202004280000,30
202004270000,52
202004260000,30
202004250000,34
202004240000,16
202004230000,35
202004220000,49
202004210000,46
202004200000,46
202004190000,48
202004180000,27
202004170000,162
202004160000,27
202004150000,32
202004140000,44
202004130000,36
202004120000,27
202004110000,16
202004100000,28
202004090000,69
202004080000,64
202004070000,49
202004060000,35
202004050000,52
202004040000,36
202004030000,27
202004020000,23
202004010000,31
202003310000,24
202003300000,52
202003290000,120
202003280000,68
202003270000,102
202003260000,58
202003250000,22
202003240000,47
202003230000,34
202003220000,25
202003210000,54
202003200000,30
202003190000,71
202003180000,21
202003170000,37
202003160000,44
202003150000,82
202003140000,131
202003130000,53
202003120000,42
202003110000,76
202003100000,68
202003090000,20
202003080000,23
202003070000,34
202003060000,28
202003050000,45
202003040000,21
202003030000,35
202003020000,52
202003010000,90
202002290000,32
202002280000,29
202002270000,29
202002260000,33
202002250000,37
202002240000,68
202002230000,26
202002220000,51
202002210000,67
202002200000,283
202002190000,169
202002180000,46
202002170000,28
202002160000,26
202002150000,45
202002140000,262
202002130000,65
202002120000,55
202002110000,24
202002100000,24
202002090000,29
202002080000,30
202002070000,21
202002060000,27
202002050000,89
202002040000,15
202002030000,48
202002020000,39
202002010000,34
202001310000,37
202001300000,51
202001290000,24
202001280000,24
202001270000,17
202001260000,36
202001250000,52
202001240000,29
202001230000,58
202001220000,64
202001210000,27
202001200000,41
202001190000,11
202001180000,22
202001170000,24
202001160000,16
202001150000,29
202001140000,39
202001130000,58
202001120000,25
202001110000,27
202001100000,20
202001090000,56
202001080000,65
202001070000,27
202001060000,28
202001050000,32
202001040000,31
202001030000,72
202001020000,26
202001010000,59
201912310000,139
201912300000,14
201912290000,32
201912280000,20
201912270000,34
201912260000,36
201912250000,12
201912240000,26
201912230000,19
201912220000,18
201912210000,35
201912200000,64
201912190000,41
201912180000,81
201912170000,70
201912160000,71
201912150000,21
201912140000,19
201912130000,25
201912120000,43
201912110000,45
201912100000,25
201912090000,47
201912080000,14
201912070000,12
201912060000,12
201912050000,25
201912040000,17
201912030000,22
201912020000,14
201912010000,20
201911300000,26
201911290000,15
201911280000,18
201911270000,27
201911260000,17
201911250000,25
201911240000,13
201911230000,18
201911220000,17
201911210000,34
201911200000,27
201911190000,36
201911180000,17
201911170000,18
201911160000,10
201911150000,38
201911140000,33
201911130000,25
201911120000,22
201911110000,26
201911100000,26
201911090000,12
201911080000,48
201911070000,32
201911060000,15
201911050000,20
201911040000,28
201911030000,19
201911020000,16
201911010000,30
201910310000,32
201910300000,39
201910290000,27
201910280000,22
201910270000,23
201910260000,20
201910250000,27
201910240000,26
201910230000,20
201910220000,20
201910210000,20
201910200000,23
201910190000,10
201910180000,48
201910170000,33
201910160000,28
201910150000,21
201910140000,34
201910130000,60
201910120000,76
201910110000,26
201910100000,17
201910090000,26
201910080000,26
201910070000,23
201910060000,16
201910050000,23
201910040000,27
201910030000,28
201910020000,31
201910010000,42
201909300000,25
201909290000,80
201909280000,126
201909270000,52
201909260000,17
201909250000,40
201909240000,36
201909230000,26
201909220000,29
201909210000,15
201909200000,33
201909190000,19
201909180000,48
201909170000,49
201909160000,37
201909150000,17
201909140000,13
201909130000,22
201909120000,25
201909110000,27
201909100000,18
201909090000,39
201909080000,19
201909070000,25
201909060000,46
201909050000,21
201909040000,29
201909030000,24
201909020000,24
201909010000,44
201908310000,25
201908300000,24
201908290000,49
201908280000,20
201908270000,21
201908260000,28
201908250000,27
201908240000,25
201908230000,44
201908220000,31
201908210000,27
201908200000,31
201908190000,19
201908180000,20
201908170000,13
201908160000,48
201908150000,43
201908140000,15
201908130000,18
201908120000,20
201908110000,18
201908100000,20
201908090000,28
201908080000,41
201908070000,27
201908060000,31
201908050000,57
201908040000,46
201908030000,33
201908020000,37
201908010000,17
201907310000,18
201907300000,17
201907290000,20
201907280000,12
201907270000,29
201907260000,19
201907250000,23
201907240000,25
201907230000,16
201907220000,25
201907210000,7
201907200000,10
201907190000,14
201907180000,36
201907170000,23
201907160000,27
201907150000,30
201907140000,26
201907130000,19
201907120000,40
201907110000,16
201907100000,32
201907090000,21
201907080000,24
201907070000,25
201907060000,23
201907050000,17
201907040000,27
201907030000,30
201907020000,34
201907010000,61
201906300000,42
201906290000,23
201906280000,20
201906270000,38
201906260000,26
201906250000,18
201906240000,9
201906230000,22
201906220000,27
201906210000,23
201906200000,38
201906190000,44
201906180000,48
201906170000,12
201906160000,11
201906150000,21
201906140000,21
201906130000,63
201906120000,37
201906110000,48
201906100000,21
201906090000,16
201906080000,18
201906070000,20
201906060000,10
201906050000,21
201906040000,34
201906030000,54
201906020000,21
201906010000,30
201905310000,21
201905300000,24
201905290000,34
201905280000,44
201905270000,20
201905260000,28
201905250000,26
201905240000,14
201905230000,46
201905220000,40
201905210000,28
201905200000,22
201905190000,12
201905180000,27
201905170000,46
201905160000,69
201905150000,44
201905140000,25
201905130000,19
201905120000,22
201905110000,25
201905100000,32
201905090000,24
201905080000,18
201905070000,46
201905060000,23
201905050000,23
201905040000,9
201905030000,26
201905020000,34
201905010000,26
201904300000,21
201904290000,15
201904280000,20
201904270000,26
201904260000,15
201904250000,25
201904240000,24
201904230000,21
201904220000,34
201904210000,27
201904200000,38
201904190000,27
201904180000,45
201904170000,19
201904160000,23
201904150000,20
201904140000,18
201904130000,23
201904120000,16
201904110000,13
201904100000,21
201904090000,44
201904080000,57
201904070000,10
201904060000,18
201904050000,20
201904040000,19
201904030000,22
201904020000,20
201904010000,9
201903310000,19
201903300000,10
201903290000,24
201903280000,22
201903270000,33
201903260000,17
201903250000,14
201903240000,20
201903230000,21
201903220000,16
201903210000,25
201903200000,37
201903190000,35
201903180000,39
201903170000,143
201903160000,21
201903150000,22
201903140000,26
201903130000,25
201903120000,20
201903110000,18
201903100000,17
201903090000,12
201903080000,12
201903070000,15
201903060000,22
201903050000,32
201903040000,4
201903030000,21
201903020000,14
201903010000,21
201902280000,22
201902270000,23
201902260000,23
201902250000,16
201902240000,13
201902230000,11
201902220000,20
201902210000,22
201902200000,22
201902190000,28
201902180000,41
201902170000,22
201902160000,16
201902150000,62
201902140000,34
201902130000,22
201902120000,45
201902110000,13
201902100000,10
201902090000,13
201902080000,13
201902070000,29
201902060000,22
201902050000,26
201902040000,14
201902030000,15
201902020000,11
201902010000,19
201901310000,27
201901300000,21
201901290000,32
201901280000,27
201901270000,30
201901260000,29
201901250000,34
201901240000,54
201901230000,29
201901220000,32
201901210000,75
201901200000,79
201901190000,33
201901180000,29
201901170000,29
201901160000,55
201901150000,45
201901140000,71
201901130000,98
201901120000,21
201901110000,21
201901100000,33
201901090000,54
201901080000,43
201901070000,13
201901060000,19
201901050000,31
201901040000,29
201901030000,16
201901020000,15
201901010000,21
201812310000,37
201812300000,46
201812290000,13
201812280000,3
201812270000,9
201812260000,5
201812250000,43
201812240000,28
201812230000,25
201812220000,32
201812210000,27
201812200000,51
201812190000,11
201812180000,24
201812170000,33
201812160000,21
201812150000,25
201812140000,52
201812130000,16
201812120000,26
201812110000,19
201812100000,16
201812090000,9
201812080000,24
201812070000,45
201812060000,19
201812050000,18
201812040000,15
201812030000,21
201812020000,21
201812010000,14
201811300000,22
201811290000,22
201811280000,16
201811270000,19
201811260000,32
201811250000,30
201811240000,13
201811230000,7
201811220000,6
201811210000,36
201811200000,105
201811190000,10
201811180000,14
201811170000,6
201811160000,19
201811150000,22
201811140000,13
201811130000,17
201811120000,12
201811110000,21
201811100000,61
201811090000,26
201811080000,23
201811070000,42
201811060000,13
201811050000,8
201811040000,14
201811030000,10
201811020000,14
201811010000,12
201810310000,15
201810300000,18
201810290000,28
201810280000,15
201810270000,14
201810260000,18
201810250000,19
201810240000,22
201810230000,37
201810220000,39
201810210000,10
201810200000,14
201810190000,13
201810180000,15
201810170000,16
201810160000,16
201810150000,20
201810140000,8
201810130000,13
