timePeriod,count
202010020000,2
202010030000,1
202010040000,0
202010050000,2
202010060000,0
202010070000,0
202010080000,2
202010090000,2
202010100000,1
202010110000,0
202010120000,0
202010130000,3
202010140000,0
202010150000,0
202010160000,0
202010170000,1
202010180000,7
202010190000,2
202010200000,2
202010210000,1
202010220000,0
202010230000,1
202010240000,1
202010250000,0
202010260000,0
202010270000,0
202010280000,0
202010290000,0
202010300000,0
202010310000,0
202008310000,0
202009010000,2
202009020000,1
202009030000,4
202009040000,3
202009050000,0
202009060000,1
202009070000,2
202009080000,0
202009090000,0
202009100000,0
202009110000,0
202009120000,0
202009130000,0
202009140000,0
202009150000,1
202009160000,0
202009170000,0
202009180000,0
202009190000,0
202009200000,0
202009210000,0
202009220000,0
202009230000,1
202009240000,0
202009250000,0
202009260000,0
202009270000,0
202009280000,1
202009290000,1
202009300000,0
202007310000,0
202008010000,0
202008020000,0
202008030000,0
202008040000,1
202008050000,2
202008060000,1
202008070000,0
202008080000,2
202008090000,0
202008100000,0
202008110000,1
202008120000,0
202008130000,8
202008140000,0
202008150000,0
202008160000,0
202008170000,0
202008180000,1
202008190000,1
202008200000,2
202008210000,1
202008220000,0
202008230000,0
202008240000,1
202008250000,1
202008260000,1
202008270000,0
202008280000,0
202008290000,0
202008300000,0
202006300000,0
202007010000,0
202007020000,0
202007030000,1
202007040000,0
202007050000,0
202007060000,0
202007070000,0
202007080000,2
202007090000,1
202007100000,0
202007110000,0
202007120000,2
202007130000,0
202007140000,0
202007150000,0
202007160000,0
202007170000,0
202007180000,1
202007190000,0
202007200000,1
202007210000,1
202007220000,0
202007230000,1
202007240000,0
202007250000,0
202007260000,0
202007270000,0
202007280000,1
202007290000,0
202007300000,0
202005300000,0
202005310000,0
202006010000,0
202006020000,0
202006030000,2
202006040000,1
202006050000,1
202006060000,0
202006070000,0
202006080000,2
202006090000,1
202006100000,0
202006110000,2
202006120000,0
202006130000,0
202006140000,0
202006150000,0
202006160000,0
202006170000,0
202006180000,0
202006190000,0
202006200000,0
202006210000,0
202006220000,1
202006230000,0
202006240000,0
202006250000,0
202006260000,0
202006270000,0
202006280000,1
202006290000,0
202004290000,0
202004300000,0
202005010000,0
202005020000,0
202005030000,0
202005040000,0
202005050000,0
202005060000,0
202005070000,0
202005080000,0
202005090000,0
202005100000,0
202005110000,0
202005120000,0
202005130000,1
202005140000,0
202005150000,0
202005160000,1
202005170000,0
202005180000,0
202005190000,1
202005200000,0
202005210000,0
202005220000,0
202005230000,0
202005240000,0
202005250000,0
202005260000,0
202005270000,1
202005280000,0
202005290000,0
202003290000,1
202003300000,0
202003310000,1
202004010000,0
202004020000,1
202004030000,0
202004040000,0
202004050000,1
202004060000,0
202004070000,1
202004080000,0
202004090000,3
202004100000,1
202004110000,0
202004120000,0
202004130000,0
202004140000,0
202004150000,1
202004160000,0
202004170000,0
202004180000,0
202004190000,0
202004200000,0
202004210000,0
202004220000,0
202004230000,1
202004240000,0
202004250000,0
202004260000,0
202004270000,0
202004280000,0
202002270000,1
202002280000,0
202002290000,0
202003010000,0
202003020000,0
202003030000,0
202003040000,1
202003050000,1
202003060000,1
202003070000,3
202003080000,0
202003090000,0
202003100000,0
202003110000,1
202003120000,1
202003130000,2
202003140000,0
202003150000,0
202003160000,0
202003170000,0
202003180000,1
202003190000,0
202003200000,1
202003210000,1
202003220000,1
202003230000,0
202003240000,0
202003250000,0
202003260000,0
202003270000,1
202003280000,1
202001270000,2
202001280000,0
202001290000,1
202001300000,0
202001310000,0
202002010000,1
202002020000,0
202002030000,1
202002040000,0
202002050000,1
202002060000,1
202002070000,0
202002080000,0
202002090000,0
202002100000,2
202002110000,0
202002120000,0
202002130000,1
202002140000,1
202002150000,1
202002160000,0
202002170000,2
202002180000,0
202002190000,0
202002200000,1
202002210000,0
202002220000,1
202002230000,0
202002240000,0
202002250000,0
202002260000,2
201912270000,2
201912280000,0
201912290000,3
201912300000,4
201912310000,1
202001010000,0
202001020000,1
202001030000,3
202001040000,3
202001050000,0
202001060000,3
202001070000,0
202001080000,0
202001090000,0
202001100000,1
202001110000,2
202001120000,0
202001130000,0
202001140000,0
202001150000,1
202001160000,1
202001170000,0
202001180000,0
202001190000,0
202001200000,1
202001210000,1
202001220000,1
202001230000,2
202001240000,1
202001250000,1
202001260000,0
201911260000,0
201911270000,0
201911280000,0
201911290000,1
201911300000,1
201912010000,0
201912020000,0
201912030000,1
201912040000,0
201912050000,0
201912060000,1
201912070000,2
201912080000,2
201912090000,1
201912100000,3
201912110000,2
201912120000,2
201912130000,1
201912140000,2
201912150000,1
201912160000,0
201912170000,1
201912180000,0
201912190000,1
201912200000,1
201912210000,1
201912220000,0
201912230000,0
201912240000,1
201912250000,4
201912260000,0
201910260000,2
201910270000,0
201910280000,0
201910290000,1
201910300000,2
201910310000,0
201911010000,0
201911020000,0
201911030000,1
201911040000,1
201911050000,0
201911060000,0
201911070000,0
201911080000,1
201911090000,3
201911100000,1
201911110000,0
201911120000,0
201911130000,0
201911140000,1
201911150000,2
201911160000,0
201911170000,1
201911180000,1
201911190000,0
201911200000,1
201911210000,2
201911220000,4
201911230000,0
201911240000,0
201911250000,0
201909250000,3
201909260000,2
201909270000,4
201909280000,0
201909290000,3
201909300000,2
201910010000,2
201910020000,0
201910030000,2
201910040000,5
201910050000,0
201910060000,2
201910070000,1
201910080000,7
201910090000,6
201910100000,4
201910110000,1
201910120000,3
201910130000,1
201910140000,2
201910150000,2
201910160000,0
201910170000,2
201910180000,3
201910190000,5
201910200000,1
201910210000,3
201910220000,2
201910230000,3
201910240000,3
201910250000,0
201908250000,1
201908260000,1
201908270000,1
201908280000,1
201908290000,0
201908300000,1
201908310000,1
201909010000,2
201909020000,1
201909030000,0
201909040000,0
201909050000,0
201909060000,2
201909070000,0
201909080000,2
201909090000,2
201909100000,4
201909110000,3
201909120000,3
201909130000,3
201909140000,3
201909150000,4
201909160000,3
201909170000,3
201909180000,3
201909190000,6
201909200000,3
201909210000,2
201909220000,3
201909230000,3
201909240000,2
201907250000,2
201907260000,1
201907270000,0
201907280000,0
201907290000,0
201907300000,0
201907310000,0
201908010000,0
201908020000,0
201908030000,0
201908040000,0
201908050000,0
201908060000,0
201908070000,0
201908080000,1
201908090000,1
201908100000,0
201908110000,0
201908120000,0
201908130000,0
201908140000,1
201908150000,1
201908160000,0
201908170000,0
201908180000,0
201908190000,1
201908200000,3
201908210000,1
201908220000,0
201908230000,2
201908240000,2
201906240000,0
201906250000,0
201906260000,0
201906270000,0
201906280000,1
201906290000,0
201906300000,0
201907010000,0
201907020000,0
201907030000,1
201907040000,1
201907050000,0
201907060000,2
201907070000,1
201907080000,0
201907090000,0
