text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCrRXS",en,Canada,,,,upguyshealth,Sun Jun 28 16:56:01 +0000 2020,0,0,0,0,FALSE
"Viagra and Cialis seem to get the headlines, but what about Levitra? We look at some of the differences between sildenafil, tadalafil and vardenafil. #UPGUYS #MensHealth #Viagra 
#UPGUYS #MensHealth #ED 
https://t.co/9ZFPcCJsPq",en,Canada,,,,upguyshealth,Thu Jun 11 22:26:00 +0000 2020,0,0,0,0,FALSE
"""We posit that tadalafil and vardenafil could be used for cotreating erectile dysfunction and #osteoporosis in men of advancing age, as well as for treating osteoporosis in postmenopausal women"" https://t.co/7Iy9Y8y0bd",en,Toronto,,,,DanielJDrucker,Mon Jun 08 19:21:22 +0000 2020,1,0,2,0,FALSE
⚠️Visual disturbances are an adverse effect of PDE5 inhibitors - such as sildenafil and vardenafil - but are caused via PDE6 inhibition!,en,in the theatre,,,,DarklyJojo,Wed Jun 03 11:47:39 +0000 2020,0,0,0,1,FALSE
"Among men with #ErectileDysfunction in the United States, rates of switching and treatment overlap were low for all #PDE5Is but were found to be the lowest for #sildenafil compared with #tadalafil and #vardenafil.
https://t.co/PyHbsUAcm7 https://t.co/XkjCbWAdnp",en,"London, ON",,,,JDCampbell_MD,Mon Apr 06 00:28:39 +0000 2020,0,0,0,1,FALSE
"@DGlaucomflecken Embarrassing...too much information...sildenafil/vardenafil (Viagra/Levita) can cause cyanopsia (blue/purple vision), muscle pains and back pains, flushing or cold sweats. By 3 day duration, I'd guess Levitra. 🤭
#ToxRocks #FOAMtox",en,Montreal,,,,jmpilon,Sat Jan 04 14:00:30 +0000 2020,0,0,0,1,FALSE
? https://t.co/OVQEiyVui2 ?? Trusted-Pharmacy Vilitra ? Vilitra� vardenafil tablet   Centurion Laboratories Ltd.. Brand name from the manufacturer of medical products - Vilitra #trustedtabs https://t.co/A3BwN5oes7,en,"Burnaby, British Columbia",,,,Brandonaqa,Tue Jul 02 06:02:19 +0000 2019,0,0,0,0,FALSE
"“Nitrates should not be administered to patients who have taken sidenafil or vardenafil within 24 hours, 48 for tadalafil” Dr Bryan Har on When is it Safe to Use PDE5 Inhibitors in Males with Coronary Artery Disease at the the Calgary Therapeutics Course #UofCCME https://t.co/xfrkmLWZqt",en,"Calgary, AB",Canada,CA,"[[[-114.129995, 51.07849], [-114.129995, 51.07849], [-114.129995, 51.07849], [-114.129995, 51.07849]]]",CME_UofC,Thu Apr 25 16:44:59 +0000 2019,0,0,0,0,FALSE
"Vardenafil الموجود بالعسل يستخدم لعلاج ضعف الانتصاب(من عائلة الڤياقرا والسياليس) واللي قد يؤدي لأعراض جانبية خطرة في كبار السن ويسوق على انه مقوي جنسي طبيعي وهو مغشوش بالعلاج بكمية غير موزونه .. استشر طبيبك قبل استخدام اي عسل او خلطة عشبية كمقوي جنسي 
#صحة_الرجل https://t.co/4VigokycyJ",ar,مستشفى الحبيب-الريان,Canada,CA,"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]",RAED_MD,Thu Feb 14 16:32:11 +0000 2019,0,1,13,0,FALSE
"@Grube4982 @emrazz @charliekirk11 Tadalafil (Cialis) 
Vardenafil (Levitra, Staxyn)
PSA (prostate specific antigen) test
Or ANY other male specific Medication or Test",ro,Redacted For Privacy & Safety ,,,,RealFactsVsFake,Wed Nov 14 22:34:41 +0000 2018,0,0,0,0,FALSE
"@DrMorgentaler “Separate doses by 12 hours” is my lame disclaimer. I don’t worry if its the low dose day tadalafil. More superstitious if vardenafil, espec if the non selective apha blockers.  But yeah tons of men take them nilly willy + I’ve never seen a problem. That’s a crap question.",en,"Toronto, Ontario",,,,DrJohnAquino,Sun Oct 21 23:14:41 +0000 2018,0,0,0,0,FALSE
"Flexible-dose vardenafil in a community-based population of men affected by erectile dysfunction: a 12-week open-label, multicenter trial. - PubMed - NCBI https://t.co/xVYOZWcZpx",en,Canada,,,,latirina,Tue Oct 09 01:32:49 +0000 2018,0,0,0,0,FALSE
