text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"An inhaled formulation of the PDE5 inhibitor vardenafil, in development for as-needed use for episodic symptoms of pulmonary arterial hypertension, yielded improvements in pulmonary hemodynamics, according to results of a phase 2a trial.
https://t.co/LLi0D9olMy",en,"Thorofare, NJ",,,,HealioPulm,Sat Oct 24 16:00:01 +0000 2020,0,0,0,False,0,False,
"Vardenafil (Brand names: Levitra, Staxyn) is prescribed for the treatment of erectile dysfunction in males. Vardenafil sold in the U.S. is more expensive than at pharmacies in Canada and other countries.
https://t.co/X5LNeXyRts",en,"New York, USA",,,,pharmacychecker,Wed Oct 21 17:03:20 +0000 2020,0,0,0,False,0,False,
"Congratulations to the Respira team Respira Therapeutics, Inc. https://t.co/6W1Ryygeat",en,"Austin, Texas",,,,UTexasPharmacy,Tue Oct 20 13:19:47 +0000 2020,0,0,0,False,1,False,
"Congratulations to the Respira team Respira Therapeutics, Inc. https://t.co/6W1Ryygeat",en,"Austin, TX",,,,BillTXCeutics,Mon Oct 19 18:08:37 +0000 2020,0,0,0,False,1,False,
"Inhaled vardenafil resulted in a rapid reduction in pulmonary vascular resistance and improvement in walk distance. Read more about phase 2 results of #Respira inhaled vardenafil below #CHEST2020 #PAH
https://t.co/LLi0D9olMy",en,"Thorofare, NJ",,,,HealioPulm,Mon Oct 19 00:00:00 +0000 2020,0,0,0,False,0,False,
"An inhaled formulation of the PDE5 inhibitor #vardenafil yielded improvements in pulmonary hemodynamics, according to research presented at #CHEST2020 #PAH #Respira  https://t.co/dSGuBxejXk",en,"Thorofare, NJ",,,,HealioPulm,Sun Oct 18 20:21:47 +0000 2020,0,0,1,False,0,False,
"An inhaled formulation of the PDE5 inhibitor #vardenafil yielded improvements in pulmonary hemodynamics, according to research presented at #CHEST2020 #PAH #Respira  https://t.co/ANFNotyQLb",en,"Thorofare, NJ",,,,GoHealio,Sun Oct 18 20:21:44 +0000 2020,0,0,0,False,0,False,
"Dipyridamole inhibits PDE3 to prevent blood clot formation.

PDE5 inhibitors, such as vardenafil and tadalafil, are used to treat erectile dysfunction.",en,United States,,,,PharmaFactz,Sun Oct 18 18:16:38 +0000 2020,0,0,6,False,0,False,
"Phase 2 study evaluating prn inhalation of vardenafil for #PAH showed benefits

✔️Enrolled 15 pts on background ERA/PDE5i oral therapy
✔️Hemodynamics showed acute improvement in PVR
✔️ 6MW improved by 36 meters

#CHESTPulmVasc #CHEST2020 https://t.co/qVZIvU95DS",en,"Albuquerque, NM",,,,SarahMedrek,Sun Oct 18 17:35:00 +0000 2020,0,0,0,False,0,False,
"Tune in tomorrow for updates in #PAH &amp; #CTEPH! Featuring results on inhaled vardenafil, switching from PDE5i to riociguat, and novel prognostic techniques!

Advances in the Diagnosis and Management of Pulmonary Hypertension, 12:30-1:30 pm CDT 10/18

#CHEST2020 #CHESTPulmVasc",en,"Cleveland, OH",,,,RaedDweikMD,Sun Oct 18 12:51:24 +0000 2020,0,0,0,False,1,False,
