text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@AmitabhJha3 Auro pharma..@947..What to do?,en,,,,,kcdsada,Sat Oct 31 15:13:50 +0000 2020,0,0,0,False,0,False,
"@AmitabhJha3 L&amp;T fin, equitas, HAL, Auro Pharma, Kaveri seeds, Bharti Airtel",et,,,,,tresc18,Fri Oct 30 15:44:13 +0000 2020,0,0,0,False,0,False,
"#stocks #StockMarket #stockstowatch #fridaymorning 
STOCKS TO WATCH TODAY
1. ASIAN PAINTS
2. ADANI GREEN
3. AURO PHARMA
4. SRF
5. ADANI ENTERPRISES
6. RELIANCE
7. BERGER PAINTS

HAPPY TRADING!",en,India,,,,Shreyash__28,Fri Oct 30 03:05:17 +0000 2020,0,0,0,False,0,False,
"@sandipsabharwal Sir , any concrete evidence that this is in line f yes bank or auro pharma",en,"New Delhi, India",,,,AshishA16918999,Thu Oct 29 11:06:15 +0000 2020,0,0,0,False,0,False,
order placed to short auro pharma at 790 with sl of 798 @AutusInvestment @ShubhamU007,en,,,,,thanaram13,Wed Oct 28 04:49:56 +0000 2020,0,0,0,False,0,False,
buying auro pharma at 788 with sl of 778 @AutusInvestment @ShubhamU007,en,,,,,thanaram13,Tue Oct 27 04:32:17 +0000 2020,1,0,0,False,0,False,
"Total impact for india of MSCI changes 3.5bn $
Other Updates Morning India 
1. Kotak Mahindra Bank (Upgrade to Buy)
2. SBI Life Insurance (Persistency improves across cohorts)
3. Auro Pharma Natrol divestment at attractive valuation
4.Hindalco Vol outlook continues to strengthen",en,Kolkata ,,,,gitesh_bhatter,Tue Oct 27 03:54:03 +0000 2020,0,0,0,False,1,False,
"Total impact for india of MSCI changes 3.5bn $
Other Updates Morning India 
1. Kotak Mahindra Bank (Upgrade to Buy)
2. SBI Life Insurance (Persistency improves across cohorts)
3. Auro Pharma Natrol divestment at attractive valuation
4.Hindalco Vol outlook continues to strengthen",en,Mumbai,,,,MotilalOswalLtd,Tue Oct 27 03:28:06 +0000 2020,0,0,0,False,1,False,
"Total impact for india of MSCI changes 3.5bn $
Other Updates Morning India 
1. Kotak Mahindra Bank (Upgrade to Buy)
2. SBI Life Insurance (Persistency improves across cohorts)
3. Auro Pharma Natrol divestment at attractive valuation
4.Hindalco Vol outlook continues to strengthen",en,Mumbai India,,,,hemangjani9,Tue Oct 27 03:22:35 +0000 2020,0,0,2,False,0,False,
"#Pharma review:
Lupin: made lower high &amp; low
Auro: in range
Sunpharma: Lower high &amp; low 
CNXPHARMA: at critical supports 

Will Pharma sustain or tomorrow will confirm downturn?
Is really over?

Can short calls for #3PercentTrading.

#OptionsTrading https://t.co/FXgRCzVRgo",en,,,,,3percentT,Mon Oct 26 22:15:19 +0000 2020,1,0,0,False,0,False,
"Auro pharma takes packing credit in foreign currency for the invoices it raises on its subsidiaries abroad. With 3 months LIBOR @ 0.22%, overall CoF has come down significantly for exporters. https://t.co/Fgj4sUf6P7",en,,,,,Prakash43756683,Mon Oct 26 15:47:44 +0000 2020,0,0,0,False,0,True,
"@Pharma_Rx_Bro Divis capex it can manage from internal accruals. Infy no capex. An ideal capital structure, should have debt to optimize shareholder returns. But these companies never had. Auro is peculiar because it took tons of it at low optical cost and now repaying it by future cash flows.",en,,,,,nrockstars,Mon Oct 26 11:32:55 +0000 2020,0,0,0,False,1,False,
"@Pharma_Rx_Bro Divis capex it can manage from internal accruals. Infy no capex. An ideal capital structure, should have debt to optimize shareholder returns. But these companies never had. Auro is peculiar because it took tons of it at low optical cost and now repaying it by future cash flows.",en,"Mumbai, India",,,,AdityaKhemka5,Mon Oct 26 11:32:39 +0000 2020,0,0,1,False,0,False,
"@AnyBodyCanFly 
Some great news on Auro Pharma. 

Trading very cheap.. 
Debt concerns were an overhang for long.. 
How do you see this move and ur view on management address to this debt reduction efforts.. 

Some faith returning??",en,,,,,Mrkt_maniac,Mon Oct 26 10:54:32 +0000 2020,0,0,0,False,0,False,
"SHORTED AURO PHARMA AT 792.80 WITH SL OF 796.65. LIVE SG LEVEL IS 792.80 @AutusInvestment @ShubhamU007 

#Trader #Nifty #Banknifty #Options #INTRADAY #moratorium",en,,,,,thanaram13,Mon Oct 26 06:30:31 +0000 2020,0,0,0,False,0,False,
Shorted Auro Pharma fut @ 795 SL 803,en,India,,,,NehaFNO,Mon Oct 26 05:22:12 +0000 2020,0,3,0,False,0,False,
@AlpeshFuriya alpesh bhai any view on auro pharma,hi,"Rajkot, India",,,,mashru_hiren,Mon Oct 26 05:20:37 +0000 2020,0,0,0,False,0,False,
"Intraday : Auro pharma 800ce

                : profit booked ( 2080 INR)

NET PROFIT DAY",en,"Kanya Kumari, India",,,,karthi_trader,Mon Oct 26 04:29:29 +0000 2020,0,1,0,False,0,False,
@saditya10p Auro pharma?? #Askwizard,es,,,,,Muktapedsurgeon,Sat Oct 24 15:08:33 +0000 2020,0,1,0,False,0,False,
"@ngovindarajan1 sir please look auro pharma share which decline 960 to 780 till date , we are small investor we trust auro for bright future but it's broker our trust please sir valuation too low as compare other pharma ...1000 minimum please do something",en,indore,,,,2020Parmar,Sat Oct 24 14:30:49 +0000 2020,0,0,0,False,0,False,
