text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@OnHels Also what happened to the 5 Million doses donated to us from India? AND another million from JAMP Pharma (Quebec)? @roccogalatilaw https://t.co/KX7n7s7IOY,en,,,,,creaky7,Sat Oct 31 21:32:11 +0000 2020,0,0,1,False,0,True,
New generic drug approved for JAMP TRAMADOL by JAMP PHARMA CORPORATION #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Oct 29 04:16:14 +0000 2020,0,0,0,False,0,False,
New generic drug approved for JAMP LAMIVUDINE by JAMP PHARMA CORPORATION #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Oct 29 04:16:14 +0000 2020,0,0,0,False,0,False,
"@francoislegault Une usine de production d’hydroxychloroquine....ce serait TRÈS audacieux! 

en passant, il y a déjà JAMP Pharma à Boucherville...où sont passés les doses d’HCQ données?

@GeneviveCaron18 @SteveTighe5 @BrazeauRenee 

https://t.co/kUGWc8WwBS",fr,Canada,,,,Cdn4trump,Sat Oct 24 03:52:43 +0000 2020,0,0,0,False,1,False,
"@francoislegault Une usine de production d’hydroxychloroquine....ce serait TRÈS audacieux! 

en passant, il y a déjà JAMP Pharma à Boucherville...où sont passés les doses d’HCQ données?

@GeneviveCaron18 @SteveTighe5 @BrazeauRenee 

https://t.co/kUGWc8WwBS",fr,"Montréal, Québec",,,,Patrick66744981,Fri Oct 23 22:42:54 +0000 2020,0,0,0,False,1,False,
"@francoislegault Une usine de production d’hydroxychloroquine....ce serait TRÈS audacieux! 

en passant, il y a déjà JAMP Pharma à Boucherville...où sont passés les doses d’HCQ données?

@GeneviveCaron18 @SteveTighe5 @BrazeauRenee 

https://t.co/kUGWc8WwBS",fr,,,,,etunesoeur,Fri Oct 23 20:01:59 +0000 2020,0,2,2,False,0,False,
New generic drug approved for JAMP ATOMOXETINE by JAMP PHARMA CORPORATION #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Oct 23 02:31:47 +0000 2020,0,0,0,False,0,False,
Prucalopride Succinate Market Impact of COVID-19 Outbreak on Business Opportuniti... https://t.co/P6SwFnWXpd https://t.co/OZMkp2prUk,en,"North Carolina, USA",,,,MIRresearch,Wed Oct 21 12:42:04 +0000 2020,0,0,0,False,0,False,
New generic drug approved for JAMP TROSPIUM by JAMP PHARMA CORPORATION #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Wed Oct 21 03:50:11 +0000 2020,0,0,0,False,0,False,
"@ctvqp @MichelleRempel 8 million doses of Hydroxychloroquine was donated to Canada by PM Modi of India, Apotex, &amp; JAMP Pharma (both Cdn). What has happened to this supply of early treatment for the CCP Virus? Is it languishing in a warehouse somewhere? Is it being used secretly for early treatment?",en,,,,,creaky7,Mon Oct 19 07:55:03 +0000 2020,0,0,0,False,0,False,
