text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"A recent alert by @GovCanHealth is informing #Canadians that Marcan Pharmaceuticals has recalled all lots of all MAR-#Diltiazem CD products, which are used to treat angina and #hypertension, due to potential incorrect dosing. For more information, visit: https://t.co/MHr9uXlmq6",en,USA,,,,Katlambert67,Sun Oct 11 18:45:24 +0000 2020,0,0,0,False,1,False,
"A recent alert by @GovCanHealth is informing #Canadians that Marcan Pharmaceuticals has recalled all lots of all MAR-#Diltiazem CD products, which are used to treat angina and #hypertension, due to potential incorrect dosing. For more information, visit: https://t.co/MHr9uXlmq6",en,"Ontario, Canada",,,,ODPRN_Research,Tue Sep 29 20:47:55 +0000 2020,0,0,1,False,0,False,
Marcan Pharmaceuticals Inc. Product Recall (2020-09-18) https://t.co/vqxQhZ2aGC,en,Newfoundland and Labrador,,,,Elder_Newf,Mon Sep 21 21:51:30 +0000 2020,0,0,0,False,0,False,
New drug approved for MAR-TRIENTINE by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Sep 17 02:32:51 +0000 2020,0,0,0,False,0,False,
New generic drug approved for MAR-DARUNAVIR by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Sep 04 03:56:32 +0000 2020,0,0,0,False,0,False,
New generic drug approved for ONDANSETRON INJECTION USP by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Sat Aug 22 02:57:10 +0000 2020,0,0,0,False,0,False,
New generic drug approved for CABAZITAXEL FOR INJECTION by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Aug 14 02:44:08 +0000 2020,0,0,0,False,0,False,
New generic drug approved for MAR-OSELTAMIVIR by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Tue Aug 11 02:59:00 +0000 2020,0,0,0,False,0,False,
"Global Midodrine Market 2020- Impact of COVID-19, Future Growth Analysis and Challenges | Shire Pharma CanadaAa… https://t.co/TU7aJwbF6Y &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #biotech #pharmaceutical #pharma #productmarketing #healthcare",en,Global,,,,LQVentures,Tue Jul 21 04:37:32 +0000 2020,0,0,0,False,1,False,
"Global Midodrine Market 2020- Impact of COVID-19, Future Growth Analysis and Challenges | Shire Pharma CanadaAa… https://t.co/TU7aJwbF6Y &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #biotech #pharmaceutical #pharma #productmarketing #healthcare",en,Global,,,,_timos_,Tue Jul 21 04:37:03 +0000 2020,0,0,1,False,0,False,
"Global Midodrine Market 2020- Impact of COVID-19, Future Growth Analysis and Challenges | Shire Pharma Canada, Aa… https://t.co/spoc8FYUjG &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #biotech #healthcare #productmarketing #pharma #pharmaceutical",en,Global,,,,LQVentures,Mon Jul 20 00:16:32 +0000 2020,0,0,0,False,1,False,
"Global Midodrine Market 2020- Impact of COVID-19, Future Growth Analysis and Challenges | Shire Pharma Canada, Aa… https://t.co/spoc8FYUjG &gt;&gt;&gt; https://t.co/HTA6IsoHwv #strategy #competitiveintelligence #marketing #biotech #healthcare #productmarketing #pharma #pharmaceutical",en,Global,,,,_timos_,Mon Jul 20 00:16:02 +0000 2020,0,0,1,False,0,False,
New generic drug approved for MAR-OSELTAMIVIR by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Mar 20 02:27:16 +0000 2020,0,0,0,False,0,False,
New generic drug approved for MAR-TRANEXAMIC ACID by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Sat Feb 15 03:41:13 +0000 2020,0,0,0,False,0,False,
New generic drug approved for BORTEZOMIB FOR INJECTION by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Jan 03 03:10:01 +0000 2020,0,0,0,False,0,False,
New generic drug approved for MAR-METRONIDAZOLE by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Aug 09 02:32:37 +0000 2019,0,0,0,False,0,False,
@Sylverbirch @freedom05386652 @ChuckGrassley all of Canada generic  pharmaceutical manufactured in Canada . by  Fresenius Kabi Canada Ltd. ... Marcan Pharmaceuticals Inc. .,en,solar system,,,,lisa67392,Thu Aug 01 20:13:40 +0000 2019,0,1,0,False,0,False,
New generic drug approved for MAR-DULOXETINE by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Mar 21 02:08:43 +0000 2019,0,0,0,False,0,False,
"Las solicitudes de patentes españolas en Europa crecen un 6,3% en 2018 y marcan cifras récord
Estas: CSIC, Esteve Pharmaceuticals, Fundación Tecnalia Research &amp; Innovation, Universidad de Barcelona, Repsol, Telefónica.
 https://t.co/QtiJ9pwnBc vía @diarioabierto",es,Sur del sur: el culo del mundo,,,,DeMeligrana,Wed Mar 13 06:47:29 +0000 2019,0,0,0,False,1,False,
"Las solicitudes de patentes españolas en Europa crecen un 6,3% en 2018 y marcan cifras récord
Estas: CSIC, Esteve Pharmaceuticals, Fundación Tecnalia Research &amp; Innovation, Universidad de Barcelona, Repsol, Telefónica.
 https://t.co/QtiJ9pwnBc vía @diarioabierto",es,,,,,jrubiomart,Wed Mar 13 06:27:33 +0000 2019,0,0,1,False,0,False,
New generic drug approved for MAR-MONTELUKAST by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Wed Nov 21 03:26:25 +0000 2018,0,0,0,False,0,False,
New generic drug approved for PEMETREXED DISODIUM FOR INJECTION USP by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Wed Nov 21 03:26:24 +0000 2018,0,0,0,False,0,False,
"@CisCouncil event at the @TheWestinOttawa, Panel: Economic Development through Tourism @AmericasForum CEO, Dr. Harpeet Kochhar,ADM, Mr.Aggarwal,CEO Marcan Pharmaceuticals, @PradeepMerchant @CitImmCanada @nadirypatel @CanadainIndia @ctvottawa @CBCBusiness @CBCOttawa @ottawasuncom https://t.co/hIJrgLvuWa",en,"ottawa, canada",,,,PradeepMerchant,Thu Sep 27 11:37:40 +0000 2018,0,0,0,False,1,False,
"@CisCouncil event at the @TheWestinOttawa, Panel: Economic Development through Tourism @AmericasForum CEO, Dr. Harpeet Kochhar,ADM, Mr.Aggarwal,CEO Marcan Pharmaceuticals, @PradeepMerchant @CitImmCanada @nadirypatel @CanadainIndia @ctvottawa @CBCBusiness @CBCOttawa @ottawasuncom https://t.co/hIJrgLvuWa",en,"Ottawa, Canada",,,,tejbirdulat22,Thu Sep 27 03:37:57 +0000 2018,0,0,1,False,0,False,
New generic drug approved for FUROSEMIDE INJECTION USP by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Fri Sep 07 02:53:42 +0000 2018,0,0,0,False,0,False,
Ottawa’s Marcan Pharmaceuticals expands https://t.co/qxUhZ9Fk7d,en,Toronto,,,,jeffconnell29,Thu Aug 30 17:14:02 +0000 2018,0,0,0,False,0,False,
#Ottawa’s Marcan Pharmaceuticals expands; plans to hire additional staff https://t.co/e2lZBkMFO4 #ottnews #ottbiz https://t.co/uoLiVyichU,en,"Ottawa, Canada",,,,obj_news,Thu Aug 30 13:23:55 +0000 2018,0,0,0,False,0,False,
New generic drug approved for MAR-METHIMAZOLE by MARCAN PHARMACEUTICALS INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Aug 16 02:36:51 +0000 2018,0,0,0,False,0,False,
