text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
New generic drug approved for PMSC-ATORVASTATIN by PHARMASCIENCE INC #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Sat Oct 31 03:58:10 +0000 2020,0,0,0,False,0,False,
"Nous sommes fiers de dévoiler notre nouvelle marque employeur et notre site carrières! Nous sommes également excités de révéler notre nouveau slogan : « Pharmascience et vous : Une chimie qui change des vies ». 

Visitez notre nouveau site carrières ici : https://t.co/LMMvHJCtWh https://t.co/cWsCrpLic6",fr,Montréal,,,,_Pharmascience_,Fri Oct 30 13:00:09 +0000 2020,0,0,0,False,0,False,
"We are proud to unveil our new employer brand and career site! With this launch, we are also excited to reveal our new slogan: "" Pharmascience and you: A chemistry that changes lives.""

🌐 Visit our career site now and share the good news: https://t.co/5jk8VeAu7Q https://t.co/fz1AtVAF9C",en,Montréal,,,,_Pharmascience_,Fri Oct 30 13:00:05 +0000 2020,0,0,0,False,0,False,
"[Pharmascience 🌿] Les huiles végétales possèdent de nombreuses vertus pour le corps. Le groupement @pharmabest_corp, via sa marque propre #Pharmascience a développé sa gamme d'huiles végétales. Retrouvez-les dès maintenant dans vos officines #Pharmabest 

https://t.co/9HuUkxM2gt https://t.co/xREllv4wlL",fr,,,,,VincentThuin,Thu Oct 29 12:22:29 +0000 2020,0,0,0,False,1,False,
"[Pharmascience 🌿] Les huiles végétales possèdent de nombreuses vertus pour le corps. Le groupement @pharmabest_corp, via sa marque propre #Pharmascience a développé sa gamme d'huiles végétales. Retrouvez-les dès maintenant dans vos officines #Pharmabest 

https://t.co/9HuUkxM2gt https://t.co/xREllv4wlL",fr,,,,,DG_pharmabest,Thu Oct 29 06:05:00 +0000 2020,0,0,1,False,0,False,
🇨🇦callitspring CNRailway LeChateauStyle DAVIDsTEA DicAnns Energir Enerkem evenko GarageClothing GardaWorld Lolewomen m0851official meteomedia banquenationale NEUFarchitectes nolinoraviation Ogilvy Pharmascience SaladaTea LaSAQ structube teleressources thaiexpress topaces VIA_Rail https://t.co/5w4tXma0dT,en,,,,,WSjp_insight,Wed Oct 28 09:32:24 +0000 2020,0,0,0,False,1,False,
"Il sera aussi disponible en rediffusion sur le site des services professionnels de Pharmascience : https://t.co/7Gz6Nf7EXd.

N'hésitez pas à communiquer avec votre représentant Pharmascience du Québec pour plus d'informations. https://t.co/WoY1iLkbwK",fr,Montréal,,,,_Pharmascience_,Tue Oct 27 14:45:49 +0000 2020,0,0,0,False,0,False,
"L'équipe des services professionnels et nos 3 pharmaciens experts présenteront un séminaire virtuel sur notre nouveau projet pilote PharmaSupport. Ce webinaire aura lieu le 5 novembre prochain à 19h00.

Ce webinaire est ouvert à tous ! Inscrivez-vous ici : https://t.co/lRr7nIwoK3",fr,Montréal,,,,_Pharmascience_,Tue Oct 27 14:45:48 +0000 2020,0,1,0,False,0,False,
"It will also be available online on the Pharmascience Professional Services website: https://t.co/7Gz6Nf7EXd.

Do not hesitate to contact your Quebec Pharmascience representative for more information.

(In French only) https://t.co/MUEeYfZZlL",en,Montréal,,,,_Pharmascience_,Tue Oct 27 14:43:53 +0000 2020,0,0,0,False,0,False,
"Pharmascience's Professional Services team and our 3 expert pharmacists will present a virtual seminar on our new PharmaSupport pilot project. This seminar will take place on November 5th at 7:00 pm.

This lecture is open to all! Register here: https://t.co/lRr7nIwoK3",en,Montréal,,,,_Pharmascience_,Tue Oct 27 14:43:51 +0000 2020,0,1,0,False,0,False,
"[#BienÊtre] Alors que la période actuelle est propice à l'anxiété, découvrez nos conseils pour mieux résister aux effets du #stress dans notre article : https://t.co/xZUl7JfmnI #pharmacie #parapharmacie #pharmascience #soin",fr,"Paris, France",,,,Ammoussaoui,Mon Oct 26 07:31:51 +0000 2020,0,0,0,False,1,False,
🇨🇦callitspring CNRailway LeChateauStyle DAVIDsTEA DicAnns Energir Enerkem evenko GarageClothing GardaWorld Lolewomen m0851official meteomedia banquenationale NEUFarchitectes nolinoraviation Ogilvy Pharmascience SaladaTea LaSAQ structube teleressources thaiexpress topaces VIA_Rail https://t.co/5w4tXma0dT,en,,,,,WSlightly,Sun Oct 25 13:38:59 +0000 2020,0,0,0,False,1,False,
"[#BienÊtre] Alors que la période actuelle est propice à l'anxiété, découvrez nos conseils pour mieux résister aux effets du #stress dans notre article : https://t.co/xZUl7JfmnI #pharmacie #parapharmacie #pharmascience #soin",fr,Siège à Marseille,,,,pharmabest_corp,Sun Oct 25 12:05:00 +0000 2020,0,0,1,False,0,False,
"Strengthening Asia’s Scientific Community for Tomorrow’s Pharma 4.0 - Mr. Rich Youn explains the need for the scientific community to support each other for tomorrow’s #Pharma 4.0 environment.
https://t.co/8iUiVXZk37 https://t.co/kcYy1izpK4",en,,,,,Pharma_Science_,Thu Oct 22 16:09:01 +0000 2020,0,0,0,False,0,False,
"Pharmascience a su s'adapter à la nouvelle réalité pour ses employés. Notre VP Ressources humaines et des Communications, Irene Mascolo, explique comment Pharmascience a su surmonter les défis auprès des employés sur site et en télétravail. https://t.co/ug3FgNeMwR @la_lesaffaires",fr,Montréal,,,,_Pharmascience_,Thu Oct 22 14:41:35 +0000 2020,0,0,1,False,0,False,
"Pharmascience was able to adapt to the new reality for its employees. Our VP HR and Communications, Irene Mascolo, explained in this article how Pharmascience has overcome the challenges, both with on-site and teleworking employees. https://t.co/ug3FgNeMwR @la_lesaffaires",en,Montréal,,,,_Pharmascience_,Thu Oct 22 14:38:03 +0000 2020,0,0,0,False,0,False,
"Aloe Vera Juice For Fitness || Immunity Booster || Detox Your Body By Aloefit || Pharmascience

https://t.co/AzJJkudrAb

#aloevera #aloeverajuice #immunitybooster",en,"Bhopal, Madhya Pradesh, India",,,,Pharmascience_,Thu Oct 22 11:54:58 +0000 2020,0,0,0,False,0,False,
"Pivoting quickly to changing business needs and customer demands isn't always easy. 

Learn how Pharmascience was able to simplify modernization with the power of @IBMcloud at #IBMThinkCanada. https://t.co/B1bZY4NPSp https://t.co/QTTb0G8GR8",en,"Montréal, Québec",,,,MichelDubois_AI,Wed Oct 21 01:09:25 +0000 2020,0,0,0,False,1,False,
Venez découvrir dans l'une de nos officines #Pharmabest les eaux florales développées par notre marque propre #Pharmascience. Une gamme de 5 références pour illuminer naturellement votre teint ! https://t.co/85JybcDhvc,fr,Sarlat-la-Canéda,,,,ChristellePathe,Tue Oct 20 22:09:15 +0000 2020,0,0,0,False,1,False,
"Jean-Philippe Décarie s'est entretenu avec le chef de l'exploitation chez Pharmascience, Jean-Guy Goulet, pour mieux expliquer les recommandations de Pharmascience envers l'approvisionnement canadien de l'industrie pharmaceutique.

https://t.co/8sG5KZ2ZoC",fr,"Montreal, Canada",,,,louistourillon,Tue Oct 20 16:27:10 +0000 2020,0,0,0,False,1,False,
"Jean-Philippe Décarie s'est entretenu avec le chef de l'exploitation chez Pharmascience, Jean-Guy Goulet, pour mieux expliquer les recommandations de Pharmascience envers l'approvisionnement canadien de l'industrie pharmaceutique.

https://t.co/8sG5KZ2ZoC",fr,Montréal,,,,mltourillon,Tue Oct 20 14:23:15 +0000 2020,0,0,0,False,1,False,
"Jean-Philippe Décarie s'est entretenu avec le chef de l'exploitation chez Pharmascience, Jean-Guy Goulet, pour mieux expliquer les recommandations de Pharmascience envers l'approvisionnement canadien de l'industrie pharmaceutique.

https://t.co/8sG5KZ2ZoC",fr,Montréal,,,,_Pharmascience_,Tue Oct 20 13:18:41 +0000 2020,0,0,2,False,0,False,
"Jean-Philippe Décarie talked with the COO at Pharmascience, Jean-Guy Goulet, to better explain Pharmascience's recommendations for the Canadian supply chain to the pharmaceutical industry. 

Click on the article below to read more (in French only)
https://t.co/8sG5KZ2ZoC",en,Montréal,,,,_Pharmascience_,Tue Oct 20 13:16:07 +0000 2020,0,0,0,False,0,False,
"Pivoting quickly to changing business needs and customer demands isn't always easy. 

Learn how Pharmascience was able to simplify modernization with the power of @IBMcloud at #IBMThinkCanada. https://t.co/B1bZY4NPSp https://t.co/QTTb0G8GR8",en,"Montreal, Canada",,,,caldwellfaye,Mon Oct 19 23:58:55 +0000 2020,0,0,0,False,1,False,
"Pivoting quickly to changing business needs and customer demands isn't always easy. 

Learn how Pharmascience was able to simplify modernization with the power of @IBMcloud at #IBMThinkCanada. https://t.co/B1bZY4NPSp https://t.co/QTTb0G8GR8",en,Montréal,,,,_Pharmascience_,Mon Oct 19 13:24:22 +0000 2020,0,0,0,False,1,False,
Kidney Stone Removal Medicine Ayurvedic https://t.co/LJMv8ejhHv #kidney stone medicine #kidney stone removal medicine #ayurvedic kidney stone medicine #kidney stone removal #kidney stone dissolving medicine #kidney stones treatment #kidney stones pain,en,india,,,,Khushi24727657,Mon Oct 19 10:45:08 +0000 2020,0,0,0,False,0,False,
Venez découvrir dans l'une de nos officines #Pharmabest les eaux florales développées par notre marque propre #Pharmascience. Une gamme de 5 références pour illuminer naturellement votre teint ! https://t.co/85JybcDhvc,fr,,,,,DG_pharmabest,Mon Oct 19 09:40:00 +0000 2020,0,0,1,False,0,False,
🇨🇦callitspring CNRailway LeChateauStyle DAVIDsTEA DicAnns Energir Enerkem evenko GarageClothing GardaWorld Lolewomen m0851official meteomedia banquenationale NEUFarchitectes nolinoraviation Ogilvy Pharmascience SaladaTea LaSAQ structube teleressources thaiexpress topaces VIA_Rail https://t.co/5w4tXma0dT,en,United States,,,,wsi_usa,Sat Oct 17 12:00:14 +0000 2020,0,0,0,False,1,False,
"Body Detoxification By AloeVera Juice | AloeVera Juice's Comparison Demonstration | Pharmascience

#aloeverajuice #aloefit #immunitybooster #aloeveradrinks #detoxification 
https://t.co/gIR7Mrn6KB",en,"Bhopal, Madhya Pradesh, India",,,,Pharmascience_,Sat Oct 17 11:58:33 +0000 2020,0,0,0,False,0,False,
"Pivoting quickly to changing business needs and customer demands isn't always easy. 

Learn how Pharmascience was able to simplify modernization with the power of @IBMcloud at #IBMThinkCanada. https://t.co/B1bZY4NPSp https://t.co/QTTb0G8GR8",en,Canada,,,,IBMCanada,Fri Oct 16 13:27:23 +0000 2020,0,0,3,False,0,False,
"Félicitations à l'équipe des services professionnels de Pharmascience, qui a développé PharmaSupport, en collaboration avec l’entreprise @therappx. Ce projet pilote est un service de télé-expertise dédié aux pharmaciens.
Parler en à votre représentant PMS pour en savoir plus. https://t.co/ngPMEi3iii",fr,Montréal,,,,_Pharmascience_,Thu Oct 15 15:00:02 +0000 2020,0,0,0,False,0,False,
"Congratulations to Pharmascience's Professional Services team for developing PharmaSupport in collaboration with the digital healthcare company @therappx. This pilot project is a tele-expertise service for pharmacists.

Talk to your PMS representative to find out more. https://t.co/1YZOUSexuP",en,Montréal,,,,_Pharmascience_,Thu Oct 15 14:58:02 +0000 2020,0,0,0,False,0,False,
"Body Detoxification By AloeVera Juice | AloeVera Juice's Comparison Demonstration | Pharmascience

https://t.co/gIR7Mrn6KB

#Aloeverajuice #aloeveradrinks #aloevera #immunitybooster #bodydetoxification",en,"Bhopal, Madhya Pradesh, India",,,,Pharmascience_,Thu Oct 15 06:44:49 +0000 2020,0,0,0,False,0,False,
"Pharmascience is proud to launch the 2020 Centraide Campaign! 
This year, more people than ever in our community need our help as a result of the pandemic. 🌈

Kudos to all employees for their involvement in this cause! 👏 @CentraideMtl https://t.co/O4CSAeH1x0",en,Montréal,,,,_Pharmascience_,Wed Oct 14 17:00:06 +0000 2020,0,0,0,False,0,False,
"Pharmascience est fière de lancer la campagne Centraide 2020 ! 
Cette année, en raison de la pandémie, la communauté a plus que jamais besoin de notre aide. 🌈❤️

Bravo à tous les employés pour leur implication dans cette cause ! 👏 @CentraideMtl https://t.co/Ao7OmBhFDk",fr,Montréal,,,,_Pharmascience_,Wed Oct 14 17:00:05 +0000 2020,0,0,0,False,0,False,
