text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Teva launches generic Gilenya in Canada $TEVA $NVS https://t.co/fVZ6HLABEf,es,"New York, NY",,,,newsfilterio,Sat Oct 24 02:45:30 +0000 2020,0,0,0,False,0,False,
"@ra_fun $TEVA vs $GSK. 
There is no safe ground for generics. Generics cos could ruin their finance if they make a mistake. Thats why no geneiric in sight, for long time. 

$amrn will have lion part of  market US an EU  Canada China exclusivity PT $14 + in short term.",en,"Barcelona, Spain",,,,joaquinkam,Mon Oct 19 05:38:13 +0000 2020,0,1,0,False,0,False,
"@monide_alcor @DoblatgeCatala @AngelLlacer Llesta, a Alemanya França Itàlia Austràlia Canadà Sudàfrica... en la teva llengua tampoc t'entendran,tros d'ase! prepotència i superba feixista-ejpanyola d manual!!*!! la llengua,totes les llengües són cultura i coneixement,i el català a mi m'ha ajudat a aprendre anglès i francès",ca,REPÚBLICA CATALANA - Europe🌎,,,,KrissStarp,Sun Oct 18 15:05:34 +0000 2020,0,0,0,False,0,False,
"I’m not crying, you’re crying. 😢Teva Canada Committed to Canadian Caregivers https://t.co/OsAycKTbOi",en,Among Silver/Gold on RB6...😳,,,,ACK_MINDSEYE,Thu Oct 15 18:03:40 +0000 2020,0,0,0,False,0,False,
New generic drug approved for TEVA-TOPOTECAN by TEVA CANADA LIMITED #NewNOCAlert #HCApproves,en,,,,,HealthCanadaNOC,Thu Oct 15 02:24:10 +0000 2020,0,0,0,False,0,False,
"Congratulations to Teva Canada on the launch of Aermony RespiClick™, an innovative new device for the treatment of bronchial asthma: https://t.co/KNCKEETFCT https://t.co/fTFz6Arr7L",en,"Hudson, MA",,,,proverisscience,Mon Oct 12 13:16:03 +0000 2020,0,0,0,False,0,False,
@NeverEndLand Gràcies per la resposta. Espero que tant tu com la teva dona estigueu bé per Canadá. Espero poder visitar-la d'aquí poc. Un  petó,ca,"Barcelona, Catalunya",,,,_silviag29,Fri Oct 09 20:34:02 +0000 2020,0,0,0,False,0,False,
"Camp is more than just a place🏕️

Our campers, volunteers, and donors have proven that. A huge thank you to everyone who made Camp at Home so special, including our lead national partners CIBC, @carecamps, and @teva_canada! https://t.co/bmIO41Wrnm",en,Canada,,,,CampQualityCan,Fri Oct 09 16:12:46 +0000 2020,0,0,0,False,0,False,
Teva Canada unveils new device for bronchial asthma treatment https://t.co/ObfS9do8ZP,en,"Bhuj, India",,,,digiworldblog,Tue Oct 06 13:06:11 +0000 2020,0,0,0,False,0,False,
"$TEVA Teva Canada Announces Availability of Aermony RespiClick™, an Innovative New Device for the Treatment of Bronchial Asthma https://t.co/dPU6PZGlCx",en,Los Angeles,,,,equity_newswire,Tue Oct 06 07:05:34 +0000 2020,0,0,0,False,0,False,
"Teva Canada Announces Availability of Aermony RespiClick™, an Innovative New Device for the Treatment of Bronchial Asthma $TEVA https://t.co/Ku0gZcom9f",en,"New York, NY",,,,newsfilterio,Tue Oct 06 03:38:43 +0000 2020,0,0,0,False,0,False,
"Teva Canada announces availability of Aermony RespiClick™, an innovative new device for the treatment of bronchial asthma https://t.co/91c88tXYq5 https://t.co/LsfBaZg1L9",en,Canada,,,,CNWNews,Tue Oct 06 03:36:17 +0000 2020,0,0,0,False,1,False,
Teva Canada launches Aermony Respiclick for bronchial asthma $TEVA https://t.co/gsNFkxn6DG,ro,"New York, NY",,,,newsfilterio,Tue Oct 06 01:28:43 +0000 2020,0,0,0,False,0,False,
Teva launches asthma med Aermony Respiclick in Canada $TEVA https://t.co/lzWAqOm2dD,ca,"New York, NY",,,,newsfilterio,Tue Oct 06 01:26:43 +0000 2020,0,0,0,False,0,False,
Teva launches Aermony RespiClick in Canada https://t.co/m5uZsYhWKd,es,,,,,OINDPnews,Mon Oct 05 20:39:15 +0000 2020,0,0,0,False,0,False,
"Teva Canada Announces Availability of Aermony RespiClick™, an Innovative New Device for the Treatment of Bronchial Asthma https://t.co/A5SC44oh9W",en,Canada,,,,RESPTREC,Mon Oct 05 19:55:41 +0000 2020,0,0,0,False,0,False,
"Teva Canada announces availability of Aermony RespiClick™, an innovative new device for the treatment of bronchial asthma - https://t.co/yphKQtZzXH https://t.co/UPcBlhf3SJ",en,"Toronto, Canada",,,,TrainItRight,Mon Oct 05 17:59:57 +0000 2020,0,0,0,False,0,False,
"Teva Canada Announces Availability of Aermony RespiClick™, an Innovative New Device for the Treatment of Bronchial Asthma https://t.co/jdB0x4Awmp",en,,,,,PharmacDaily,Mon Oct 05 14:09:14 +0000 2020,0,0,0,False,0,False,
"Teva Canada announces availability of Aermony RespiClick™, an innovative new device for the treatment of bronchial asthma https://t.co/sDOTJ2zZgz
#YahooFinance #Traffic #Transportation #Shipping #Logistics
Follow @AFTvitaliy for #Trucking News",en,"Salt Lake City, Utah",,,,AFTvitaliy,Mon Oct 05 14:02:48 +0000 2020,0,0,0,False,0,False,
"Teva Canada announces availability of Aermony RespiClick™, an innovative new device for the treatment of bronchial asthma",en,,,,,investingport,Mon Oct 05 13:27:32 +0000 2020,0,0,0,False,0,False,
