timePeriod,count
202010020000,312
202010030000,269
202010040000,243
202010050000,271
202010060000,289
202010070000,244
202010080000,244
202010090000,187
202010100000,268
202010110000,199
202010120000,234
202010130000,319
202010140000,190
202010150000,218
202010160000,214
202010170000,276
202010180000,239
202010190000,206
202010200000,198
202010210000,268
202010220000,244
202010230000,202
202010240000,202
202010250000,354
202010260000,294
202010270000,253
202010280000,220
202010290000,249
202010300000,211
202010310000,189
202008310000,254
202009010000,210
202009020000,195
202009030000,315
202009040000,239
202009050000,243
202009060000,209
202009070000,185
202009080000,198
202009090000,288
202009100000,266
202009110000,212
202009120000,236
202009130000,205
202009140000,226
202009150000,262
202009160000,198
202009170000,238
202009180000,221
202009190000,248
202009200000,198
202009210000,190
202009220000,256
202009230000,231
202009240000,278
202009250000,317
202009260000,293
202009270000,267
202009280000,251
202009290000,399
202009300000,457
202007310000,199
202008010000,256
202008020000,264
202008030000,223
202008040000,190
202008050000,219
202008060000,252
202008070000,216
202008080000,208
202008090000,189
202008100000,195
202008110000,234
202008120000,7265
202008130000,710
202008140000,877
202008150000,5510
202008160000,512
202008170000,331
202008180000,306
202008190000,196
202008200000,1395
202008210000,397
202008220000,241
202008230000,5779
202008240000,2894
202008250000,358
202008260000,207
202008270000,296
202008280000,261
202008290000,188
202008300000,160
202006300000,200
202007010000,206
202007020000,206
202007030000,210
202007040000,268
202007050000,251
202007060000,257
202007070000,291
202007080000,362
202007090000,346
202007100000,255
202007110000,215
202007120000,210
202007130000,236
202007140000,309
202007150000,222
202007160000,230
202007170000,210
202007180000,257
202007190000,318
202007200000,218
202007210000,224
202007220000,183
202007230000,212
202007240000,203
202007250000,218
202007260000,205
202007270000,204
202007280000,437
202007290000,456
202007300000,384
202005300000,123
202005310000,137
202006010000,207
202006020000,145
202006030000,572
202006040000,356
202006050000,362
202006060000,196
202006070000,149
202006080000,171
202006090000,216
202006100000,210
202006110000,200
202006120000,181
202006130000,171
202006140000,185
202006150000,197
202006160000,203
202006170000,208
202006180000,186
202006190000,200
202006200000,167
202006210000,150
202006220000,216
202006230000,189
202006240000,216
202006250000,247
202006260000,312
202006270000,312
202006280000,171
202006290000,239
202004290000,218
202004300000,227
202005010000,192
202005020000,147
202005030000,181
202005040000,162
202005050000,186
202005060000,154
202005070000,192
202005080000,149
202005090000,178
202005100000,197
202005110000,584
202005120000,314
202005130000,187
202005140000,172
202005150000,194
202005160000,146
202005170000,191
202005180000,361
202005190000,376
202005200000,232
202005210000,174
202005220000,190
202005230000,237
202005240000,186
202005250000,186
202005260000,294
202005270000,630
202005280000,244
202005290000,151
202003290000,1504
202003300000,2864
202003310000,6548
202004010000,1417
202004020000,592
202004030000,433
202004040000,390
202004050000,563
202004060000,496
202004070000,356
202004080000,335
202004090000,239
202004100000,358
202004110000,273
202004120000,235
202004130000,415
202004140000,316
202004150000,302
202004160000,309
202004170000,312
202004180000,254
202004190000,226
202004200000,210
202004210000,356
202004220000,223
202004230000,224
202004240000,216
202004250000,147
202004260000,186
202004270000,252
202004280000,207
202002270000,423
202002280000,319
202002290000,374
202003010000,404
202003020000,865
202003030000,566
202003040000,297
202003050000,325
202003060000,286
202003070000,312
202003080000,292
202003090000,1376
202003100000,1729
202003110000,365
202003120000,441
202003130000,1342
202003140000,1724
202003150000,3123
202003160000,15625
202003170000,4942
202003180000,5804
202003190000,5857
202003200000,4605
202003210000,2272
202003220000,1120
202003230000,1593
202003240000,769
202003250000,642
202003260000,1273
202003270000,3500
202003280000,2324
202001270000,196
202001280000,239
202001290000,223
202001300000,252
202001310000,288
202002010000,291
202002020000,544
202002030000,286
202002040000,241
202002050000,261
202002060000,798
202002070000,2759
202002080000,913
202002090000,311
202002100000,335
202002110000,262
202002120000,249
202002130000,267
202002140000,245
202002150000,204
202002160000,183
202002170000,244
202002180000,285
202002190000,254
202002200000,282
202002210000,340
202002220000,259
202002230000,250
202002240000,277
202002250000,385
202002260000,371
201912270000,263
201912280000,1208
201912290000,542
201912300000,411
201912310000,319
202001010000,313
202001020000,361
202001030000,251
202001040000,298
202001050000,247
202001060000,220
202001070000,324
202001080000,10612
202001090000,4597
202001100000,646
202001110000,330
202001120000,357
202001130000,409
202001140000,304
202001150000,389
202001160000,264
202001170000,230
202001180000,201
202001190000,206
202001200000,1467
202001210000,2524
202001220000,405
202001230000,308
202001240000,376
202001250000,280
202001260000,234
201911260000,200
201911270000,307
201911280000,222
201911290000,230
201911300000,273
201912010000,272
201912020000,234
201912030000,363
201912040000,285
201912050000,257
201912060000,270
201912070000,553
201912080000,312
201912090000,463
201912100000,267
201912110000,341
201912120000,311
201912130000,454
201912140000,298
201912150000,247
201912160000,290
201912170000,266
201912180000,269
201912190000,240
201912200000,266
201912210000,190
201912220000,271
201912230000,216
201912240000,262
201912250000,161
201912260000,282
201910260000,395
201910270000,312
201910280000,236
201910290000,485
201910300000,450
201910310000,242
201911010000,183
201911020000,271
201911030000,195
201911040000,192
201911050000,1289
201911060000,375
201911070000,352
201911080000,361
201911090000,345
201911100000,331
201911110000,220
201911120000,560
201911130000,5204
201911140000,1184
201911150000,349
201911160000,245
201911170000,237
201911180000,206
201911190000,247
201911200000,296
201911210000,228
201911220000,216
201911230000,211
201911240000,193
201911250000,200
201909250000,250
201909260000,256
201909270000,296
201909280000,237
201909290000,219
201909300000,235
201910010000,253
201910020000,194
201910030000,219
201910040000,183
201910050000,294
201910060000,512
201910070000,319
201910080000,313
201910090000,615
201910100000,481
201910110000,540
201910120000,304
201910130000,250
201910140000,441
201910150000,2155
201910160000,1514
201910170000,580
201910180000,320
201910190000,246
201910200000,492
201910210000,4372
201910220000,4886
201910230000,3312
201910240000,1822
201910250000,529
201908250000,193
201908260000,193
201908270000,233
201908280000,228
201908290000,233
201908300000,223
201908310000,195
201909010000,710
201909020000,6981
201909030000,1372
201909040000,361
201909050000,248
201909060000,243
201909070000,221
201909080000,233
201909090000,322
201909100000,242
201909110000,245
201909120000,201
201909130000,216
201909140000,222
201909150000,285
201909160000,214
201909170000,302
201909180000,241
201909190000,277
201909200000,257
201909210000,225
201909220000,415
201909230000,292
201909240000,243
201907250000,210
201907260000,215
201907270000,197
201907280000,182
201907290000,206
201907300000,223
201907310000,219
201908010000,225
201908020000,234
201908030000,184
201908040000,224
201908050000,235
201908060000,227
201908070000,193
201908080000,237
201908090000,207
201908100000,174
201908110000,200
201908120000,221
201908130000,245
201908140000,222
201908150000,235
201908160000,233
201908170000,226
201908180000,263
201908190000,246
201908200000,272
201908210000,260
201908220000,259
201908230000,208
201908240000,206
201906240000,306
201906250000,249
201906260000,330
201906270000,269
201906280000,312
201906290000,278
201906300000,178
201907010000,193
201907020000,179
201907030000,233
201907040000,249
201907050000,206
201907060000,191
201907070000,166
201907080000,171
201907090000,212
201907100000,284
201907110000,227
201907120000,191
201907130000,911
201907140000,842
201907150000,338
201907160000,258
201907170000,208
201907180000,183
201907190000,205
201907200000,198
201907210000,212
201907220000,218
201907230000,219
201907240000,192
201905240000,222
201905250000,221
201905260000,359
201905270000,251
201905280000,250
201905290000,251
201905300000,233
201905310000,260
201906010000,243
201906020000,297
201906030000,196
201906040000,241
201906050000,247
201906060000,274
201906070000,457
201906080000,439
201906090000,266
201906100000,263
201906110000,225
201906120000,304
201906130000,340
201906140000,238
201906150000,347
201906160000,344
201906170000,298
201906180000,719
201906190000,1379
201906200000,343
201906210000,198
201906220000,197
201906230000,219
201904230000,191
201904240000,228
201904250000,258
201904260000,232
201904270000,249
201904280000,241
201904290000,216
201904300000,295
201905010000,258
201905020000,276
201905030000,1004
201905040000,2400
201905050000,2112
201905060000,1287
201905070000,332
201905080000,220
201905090000,235
201905100000,189
201905110000,190
201905120000,162
201905130000,272
201905140000,493
201905150000,260
201905160000,233
201905170000,238
201905180000,203
201905190000,217
201905200000,199
201905210000,270
201905220000,378
201905230000,304
201903230000,7320
201903240000,1973
201903250000,438
201903260000,294
201903270000,242
201903280000,281
201903290000,246
201903300000,210
201903310000,236
201904010000,183
201904020000,210
201904030000,268
201904040000,249
201904050000,255
201904060000,199
201904070000,210
201904080000,208
201904090000,306
201904100000,225
201904110000,212
201904120000,249
201904130000,213
201904140000,143
201904150000,149
201904160000,215
201904170000,217
201904180000,214
201904190000,205
201904200000,154
201904210000,242
201904220000,243
201902200000,395
201902210000,321
201902220000,305
201902230000,340
201902240000,329
201902250000,656
201902260000,566
201902270000,907
201902280000,6369
201903010000,2275
201903020000,561
201903030000,761
201903040000,875
201903050000,339
201903060000,236
201903070000,383
201903080000,1008
201903090000,811
201903100000,404
201903110000,352
201903120000,289
201903130000,322
201903140000,293
201903150000,207
201903160000,183
201903170000,229
201903180000,195
201903190000,239
201903200000,320
201903210000,312
201903220000,1616
201901200000,294
201901210000,235
201901220000,290
