text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"There is a huge assortment of very effective, cheap and widely-available preventatives and treatments including (but not limited to)
◦Vitamin D
◦Ivermectin
◦Hydroxychloroquine
◦Zinc
◦Selenium
◦Famotidine (Pepcid)
◦Melatonin https://t.co/QlOOxfJR5a",en,"British Columbia, Canada",,,,AaronTwa,Sat Oct 31 14:30:44 +0000 2020,0,0,0,False,0,True,
"@misskayyi as a puppy we gave hunter plain white rice but he didn't usually eat it. for stomach gurgles we used to give him half a tums, but now its a pepcid ac. and for diarrhea usually pumpkin!",en,somewhere in canada ,,,,inheartsxtay,Fri Oct 30 00:24:39 +0000 2020,0,0,0,False,0,False,
@loxyisme Excess stomach acid manifests as lower abdominal pain sometimes. I get it often. Pepcid is my pal in a pinch,en,Canada,,,,BambiBlue,Thu Oct 29 05:05:37 +0000 2020,0,1,0,False,0,False,
"When you have an 18-year-old cat, reports of him feeling possibly nauseous are never good. He’s been given 1/4 of a Pepcid tablet (as per vet’s past advice) and has drunk water and eaten some breakfast. Positive thoughts for Boo Bear are appreciated! https://t.co/B3anZGHmtc",en,"Calgary, Canada",Canada,CA,"[[[-114.316038, 50.84278], [-114.316038, 51.212548], [-113.859664, 51.212548], [-113.859664, 50.84278]]]",JuliusBarthelme,Mon Oct 26 14:49:44 +0000 2020,0,13,0,False,0,False,
@edgar_a_bitch I HAVE ACQUIRED PEPCID (delivery) (it'll be a while) BUT STILL,en,"Ottawa, Ontario",,,,fiversdream,Sat Oct 24 22:46:56 +0000 2020,0,1,0,False,0,False,
"@edgar_a_bitch it looks like I MIGHT be able to get pepcid? but there's apparently a shortage

yay me T.T

(thank you SO MUCH though)",en,"Ottawa, Ontario",,,,fiversdream,Sat Oct 24 22:42:42 +0000 2020,0,1,0,False,0,False,
Pepcid/Famotidine For COVID-19: Systematic Review On Evidence For Treati... https://t.co/hRfZDbjn2N via @YouTube,en,"Manitoba, Canada",,,,wmathison,Fri Oct 23 15:14:38 +0000 2020,0,0,0,False,0,False,
"@webrokeaway @JulieRohrYEG My MS infusions are at a for profit infusion clinic. I have to bring my own Tylenol, ibuprofen, Benadryl, Reactine, Gravol and Pepcid. They won’t even supply coffee, tea, or a blanket and pillow.  The OTC drugs are easily $160 each round.",en,Edmonton ,,,,TheRealMrsSpit,Thu Oct 22 16:24:11 +0000 2020,0,1,0,False,0,False,
@YogiTheGoodBoy Awww. I hope you feel better.  When I have an upset tummy I get 1/2 a Pepcid and it really helps.,en,"Toronto, Ontario",,,,susanmuller1110,Tue Oct 20 23:47:53 +0000 2020,0,0,0,False,0,False,
"$RDY Dr. Reddy’s announces the re-launch of over-the-counter Famotidine Tablets USP, 10 mg and 20 mg, store-brand equivalent of Pepcid AC® in the U.S. Market https://t.co/kdeCEghU33",en,"Winnipeg, Manitoba",,,,otcdynamics,Tue Oct 20 08:15:38 +0000 2020,0,0,0,False,0,False,
"@bretmanrock I take a pepcid AC every morning no matter what. Helps keep it at bay all day. It sucks man, I feel you. 🤢",en,"Ontario, Canada",,,,pix_36,Mon Oct 19 14:55:05 +0000 2020,0,0,0,False,0,False,
@GHOULSonly I took a pepcid and hoped for the best 😂,en,"Cape Breton, Nova Scotia",,,,imtomwaits,Sun Oct 18 16:53:32 +0000 2020,0,0,0,False,0,False,
"@Fan83Toronto @CoachBombayy Not sure if I did anything to fix it, but they disappeared after 3 days before I could get to the doctor. I ended up taking some Pepcid AC and mild muscle relaxants. I have no idea if that worked or it was just timing. Thank you for asking!",en,"St. Catharines, Ontario",,,,calder12,Fri Oct 16 14:48:27 +0000 2020,0,0,0,False,0,False,
Max sadly has acid reflux and has to take Pepcid but it’s also kinda fun bc he burps randomly all the time,en,"Prince Edward Island, Canada",,,,rbngrhm,Thu Oct 15 19:19:21 +0000 2020,0,0,0,False,0,False,
"@chaoticADHD 6/ One more thing: if you try antibiotics, ask for a famotidine prescription if you have reflux issues. It's pepcid ac without the ingredients that nullify the antibiotics, so you can take it with the antibiotics as needed.",en,"Winnipeg, Manitoba",,,,raimeygallant,Sun Oct 11 01:37:04 +0000 2020,0,0,0,False,0,False,
"Of all the extra-ordinary, VIP medical treatments that trump has recieved i think the one that pisses me off the most is that motherfucker somehow has access to the *good* Pepcid.",en,"Hamilton, Ontario",,,,OBCDamian,Sat Oct 10 17:57:11 +0000 2020,0,0,0,False,0,False,
"@JaneFortune4 @martyrabkin @Cubfan13241 @susannecraig @mmcintire @russbuettner @nytimes Also he just sold his Manhattan Oenthouse for $21 M, paid Pepcid $21 M for a Covid cure 🙄 there’s a lot of that amount connected to Trump, shell game",en,"Lakeshore, Ontario",,,,BelangerSusan,Fri Oct 09 17:21:04 +0000 2020,0,0,0,False,1,False,
@Karmathebeagle My momma gives me half a Pepcid when I feel 🤮. It always settles me. Thank goodness it doesn't happen often. 🥰,en,"Toronto, Ontario",,,,susanmuller1110,Thu Oct 08 21:08:25 +0000 2020,0,1,0,False,0,False,
"Me in my 20s: Let’s get drinks, it’s happy hour!

Me now: Time for my Pepcid.",en,Canada,,,,skedaddle74,Wed Oct 07 22:53:43 +0000 2020,0,0,0,False,1,False,
"The President is currently taking

Remdesivir
Regeneron
Dexamethasone
Zinc
Aspirin
Vitamin D
Melatonin
Fen-Phen 
Pipe-weed
Pan Galactic Gargle Blaster
Melange
Compound V
Serum 114
Mrs. Winslow's Soothing Syrup
Bloody Eye
Milk Of The Poppy
Liver Tea
Duff Beer
Perri-Air
Pepcid",en,"Toronto, Ontario",,,,louise_lambert_,Tue Oct 06 14:13:28 +0000 2020,0,0,0,False,1,False,
"The President is currently taking

Remdesivir
Regeneron
Dexamethasone
Zinc
Aspirin
Vitamin D
Melatonin
Fen-Phen 
Pipe-weed
Pan Galactic Gargle Blaster
Melange
Compound V
Serum 114
Mrs. Winslow's Soothing Syrup
Bloody Eye
Milk Of The Poppy
Liver Tea
Duff Beer
Perri-Air
Pepcid",en,"Calgary, Alberta",,,,sharkaiju,Tue Oct 06 05:00:22 +0000 2020,0,0,0,False,1,False,
"The President is taking:

—Remdesivir
—Regeneron
—Dexamethasone
—Zinc
—Aspirin
—Vitamin D
—Pepcid
—Melatonin

The President is NOT taking:

—Hydroxychloroquine
—Azithromycin
—Oleander
—UV Light
—Bleach
—Demon Semen",en,"Toronto, Ontario",,,,ANNARITA1973,Tue Oct 06 04:43:47 +0000 2020,0,0,0,False,1,False,
"Amongst many other (vitamin D, Zinc, Melatonin, Aspirin), the US president is treated with Famotidine (Pepcid).
The numbers below have probably convinced his doctors.
https://t.co/nV0mDAxQUf",en,Canada,,,,RenatoVix_,Tue Oct 06 04:37:39 +0000 2020,0,0,0,False,1,True,
"The President is currently taking

Remdesivir
Regeneron
Dexamethasone
Zinc
Aspirin
Vitamin D
Melatonin
Fen-Phen 
Pipe-weed
Pan Galactic Gargle Blaster
Melange
Compound V
Serum 114
Mrs. Winslow's Soothing Syrup
Bloody Eye
Milk Of The Poppy
Liver Tea
Duff Beer
Perri-Air
Pepcid",en,"Vancouver, British Columbia",,,,RamenMenu,Tue Oct 06 03:10:11 +0000 2020,0,0,0,False,1,False,
"The President is currently taking

Remdesivir
Regeneron
Dexamethasone
Zinc
Aspirin
Vitamin D
Melatonin
Fen-Phen 
Pipe-weed
Pan Galactic Gargle Blaster
Melange
Compound V
Serum 114
Mrs. Winslow's Soothing Syrup
Bloody Eye
Milk Of The Poppy
Liver Tea
Duff Beer
Perri-Air
Pepcid",en,Caledonia Ontario Canada,,,,Jimirwin4,Tue Oct 06 01:50:56 +0000 2020,0,0,0,False,1,False,
