text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@IngrahamAngle COVID is Stopped by HCQ/Azith/Zinc &amp; Vitamin D/Zinc/Pepcid....ALL OTC &amp; safe RX (Hydroxychloroquine) MUST BE taken as Preventative or at First Sign of Infection....INSTEAD #FakeFauci &amp; CDC Terrified/Mislead Nearly All into Fearing HCQ &amp; Promoted 100% USELESS SHUTDOWN/6 FT/MASKS! https://t.co/CSXcUoNt2C,en,"Houston, Texas",,,,MikeMrushd,Sat Oct 31 22:00:48 +0000 2020,0,0,0,False,0,False,
@IngrahamAngle COVID is Stopped by HCQ/Azith/Zinc &amp; Vitamin D/Zinc/Pepcid....ALL OTC &amp; safe RX (Hydroxychloroquine) MUST BE taken as Preventative or at First Sign of Infection....INSTEAD #FakeFauci &amp; CDC Terrified/Mislead Nearly All into Fearing HCQ &amp; Promoted 100% USELESS SHUTDOWN/6 FT/MASKS! https://t.co/p92is7Tqhy,en,"Houston, Texas",,,,MikeMrushd,Sat Oct 31 21:59:03 +0000 2020,0,0,1,False,0,False,
Check out Pepcid Complete 25 Chewable Tablets with FAMOTIDINE  Berry Flavor  Exp. 04/23  https://t.co/VXf1kZWCNz via @eBay,en,USA,,,,greatstuffuneed,Sat Oct 31 18:08:52 +0000 2020,0,0,0,False,1,False,
Check out Pepcid Complete 25 Chewable Tablets with FAMOTIDINE  Berry Flavor  Exp. 04/23  https://t.co/VXf1kZWCNz via @eBay,en,"South Dakota, USA",,,,hopescloset2,Sat Oct 31 17:32:23 +0000 2020,0,0,3,False,0,False,
"@cmclymer 20 mg Pepcid with 10mg of Zyrtec. If u want to sleep, get 50 mg of hydroxyzine",en,United States,,,,indogal66,Sat Oct 31 17:09:48 +0000 2020,0,0,0,False,0,False,
@cmclymer Yup. I'm going through a lot of Pepcid.,en,Indianapolis IN,,,,LaynieDane,Sat Oct 31 15:55:52 +0000 2020,0,0,0,False,0,False,
@cmclymer Same! My go-to now is Pepcid Complete and Melatonin as needed.,en,"Austin, TX",,,,OboistaAlli,Sat Oct 31 15:33:16 +0000 2020,0,0,0,False,0,False,
@stwevegordo2995 @Maryros15152491 @artbma @GertrudesChesK Enjoy it! Take a Pepcid for me too ;-),en,"Baltimore, MD",,,,xtinatkacik,Sat Oct 31 15:32:00 +0000 2020,0,0,0,False,0,False,
Check out Walgreens Maximum Famotidine 20 mg Acid Reducer  Compare to PEPCID AC 25 count  https://t.co/wfiPqb4Atc via @eBay,en,"South Dakota, USA",,,,hopescloset2,Sat Oct 31 09:37:42 +0000 2020,0,0,0,False,1,False,
Check out Pepcid Complete 25 Chewable Tablets with FAMOTIDINE  Berry Flavor  Exp. 04/23  https://t.co/VXf1kZWCNz via @eBay,en,"South Dakota, USA",,,,hopescloset2,Sat Oct 31 09:29:23 +0000 2020,0,0,0,False,1,False,
Check out Walgreens Maximum Famotidine 20 mg Acid Reducer  Compare to PEPCID AC 25 count  https://t.co/wfiPqb4Atc via @eBay,en,"South Dakota, USA",,,,hopescloset2,Sat Oct 31 09:08:43 +0000 2020,0,0,0,False,1,False,
@Sam_____11 Get some Pepcid ac,en,"Believeland, Ohio",,,,ThisIsJay216,Sat Oct 31 06:06:10 +0000 2020,0,0,0,False,0,False,
"Say, I was not in good shape today. I said I didn't feel good. Well, I just threw up. I feel better though. I kinda feel like a cat who had a hairball. It's an odd day. I think I threw up my Pepcid a little. I hate this. My BP pills weren't working so I'm thinking my tummy wasn't",en,"Kingman, AZ",,,,colleb95,Sat Oct 31 05:30:04 +0000 2020,0,0,0,False,0,False,
"Yuck. I ate slop ramen at 12:30 ish and a cup of cereal about an hour in a half later. I was stupid to eat that cup of cereal cause the slop ramen made my tummy hurt a little. Now mind you, I haven't had any blood pressure pills in 4 days and Pepcid a day before that. Needless to",en,"Kingman, AZ",,,,colleb95,Sat Oct 31 05:30:03 +0000 2020,0,1,0,False,0,False,
"@Ridin2020 Vitamin D3, Zinc, Pepcid, &amp; Flonase works great! Helps defeat the china virus within 10 days!",en,"Chelsea, AL",,,,CurtSunderland,Sat Oct 31 04:37:31 +0000 2020,0,0,0,False,0,False,
@ShannyGasm @Ordinary1World It's enough to make me just pick up that jar of Pepcid and just CHUG it.,en,"New York, NY",,,,BahoombaBob,Sat Oct 31 01:59:09 +0000 2020,0,0,0,False,0,False,
@drkeithsiau @RashidLui @KM_Pawlak @BilalMohammadMD @stevenbollipo @RobertBechara @drdalbir @PerelmansPearls @CelestinoGutirr @amalias79281640 @AtoosaRabiee @drmoutaz Got endoscopy back with results of mild gastritis and mild reflux. Was told I can get off omeprazole 20mg twice a day and go to Pepcid twice a day 20mg. The omeprazole 40mg been taking since October 6th and initially taking 20mg September 20th. Is that enough time for gastritis?,en,"Burbank, CA",,,,mkdthebee,Sat Oct 31 01:00:22 +0000 2020,0,1,1,False,0,False,
$20 went on food cause I forgot to give Brian my Food Stamp card one time with my food and to get what else... Pepcid. 🙄 My Dad ended up paying for it. Oops. Ugh. I love leggings! And sundresses! Those that grew up with me know this. I got hot at 72° and put on a sundress. 🙂,en,"Kingman, AZ",,,,colleb95,Fri Oct 30 22:43:48 +0000 2020,0,0,0,False,0,False,
I found a USB cord! I still need a new 1. I got $5 from my Dad to get some  Pepcid  but will probably use that for it instead. Not sure. This USB plug is working great. Maybe some leggings instead? My Mom gave me $100 from her Stimulus check for clothes and what not. But my last,en,"Kingman, AZ",,,,colleb95,Fri Oct 30 22:43:46 +0000 2020,0,1,0,False,0,False,
Check out Walgreens Maximum Famotidine 20 mg Acid Reducer  Compare to PEPCID AC 25 count  https://t.co/wfiPqb4Atc via @eBay,en,"South Dakota, USA",,,,hopescloset2,Fri Oct 30 22:08:53 +0000 2020,0,0,2,False,0,False,
"Prayers drink liquids ,gargle with scope kills some of the virus . Take Pepcid helps . https://t.co/PCDNAyvAlP",en,Texas,,,,stshinn,Fri Oct 30 19:50:23 +0000 2020,0,0,0,False,0,True,
"@chrislongview He was taken by high Vitamin D, Zinc, and Pepcid prior to getting it. All things that have been shown to reduce severity if you get it in international studies. 
Media never followed up on why he was taking those things this year and not last year when his doctor said it.",en,"Capital Region, NYS",,,,MarthaFullerV1,Fri Oct 30 17:32:03 +0000 2020,0,0,0,False,0,False,
@DoreyScheimer I’ve upped to Pepcid AC,en,"Philadelphia, Pa.",United States,US,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",JoeHoldenCBS3,Fri Oct 30 16:51:02 +0000 2020,0,0,0,False,0,False,
"@atliberalandold I take Pepcid and Vit D daily. Knew latter was supposed to help with Covid but not that Pepcid had a role. Tnx. I hv felt awful for a couple of weeks. The cough is new. With the weather anomalies and the stress, I don’t think anyone feels great.",en,United States,,,,RetroCrone,Fri Oct 30 15:49:45 +0000 2020,0,1,0,False,0,False,
@3obergs Yep. That’s where I go when looking for the old van keys or a Pepcid (in an emergency),en,San Antonio,,,,lilyf1,Fri Oct 30 15:18:17 +0000 2020,0,0,0,False,0,False,
"Pepcid is pretty incredible. Since I've started taking it before bed, I no longer wake up with a mouth full of acid.",en,"Lexington, KY",,,,Phazonmsher,Fri Oct 30 15:13:04 +0000 2020,0,0,0,False,0,False,
@mimidavincii What was the last thing she ate? Whenever my dog has soft bowels I stick with dry food. Broiled Chicken and dry for a sec. And a 5ml Pepcid,en,"Brooklyn, NY",,,,deangelodiala,Fri Oct 30 12:05:12 +0000 2020,0,0,0,False,0,False,
"@_gemini_moon You can have Pepcid! It’s better than tums, I always just end up throwing the time and my food up lol",en,"Denver, CO",,,,ashlounicorn420,Fri Oct 30 11:34:28 +0000 2020,0,2,0,False,0,False,
@krazybitzz Mine brought me Pepcid this week when I couldn’t move because of out of control heartburn-like symptoms. She also brought over four cheeseburgers for when I could manage to move and eat.,en,"Des Moines, WA",,,,wackamole520,Fri Oct 30 04:09:31 +0000 2020,0,2,0,False,0,False,
"@Tactical_review If they spun it right...too long could be false+. Regardless you should be taking your VitD3, VitC, Daily Vit, bioflavonoids for better absorption, Pepcid, an aspirin, melatonin, nasonex. Get well soon",en,USA,,,,RoutTheHand,Fri Oct 30 02:22:44 +0000 2020,0,0,0,False,0,False,
"@TimNoEgo My household had it, 89 yo, 76 yo and me..50ish, we did:

1) breathing exercises (still do) every hr 
2) liquid zinc
3) Pepcid AC
4) Tylenol, not Aleve
5) Hot tea
6) Sunlight / fresh air
7) checked oxygen every hr 
8) lots of rest

We're all fine. I hope your wife gets well soon.",en,"Illinois, USA",,,,challenger_grey,Fri Oct 30 02:15:05 +0000 2020,0,1,0,False,0,False,
Check out Pepcid Complete 25 Chewable Tablets with FAMOTIDINE Cool Mint Flavor  Exp. 01/23  https://t.co/eoH4HnyZRl via @eBay,en,"South Dakota, USA",,,,hopescloset2,Fri Oct 30 01:08:15 +0000 2020,0,0,0,False,0,False,
