text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
WHY ON EARTH DOES MY POLYSPORIN CREAM TASTE LIKE SUNSCREEN AND WHY THE HELL DID IT GET CLOSE TO MY MOUTH THAT I COULD ACTUALLY TASTE IT ?  😂😂 ughh ! #TrueStory 🤦🏼‍♀️🤦🏼‍♀️,en,Canada,,,,EmmaLovesCelebz,Sat Oct 31 17:27:43 +0000 2020,0,0,0,False,0,False,
"@astroeric12 There are good peelers versus bad peelers.  Obvi you tangled with a bad one!  So sorry sweetie!  Get yourself some polysporin, and don't try to dig all the way through your pumpkin ;)",en,"Toronto, Ontario",,,,RachaelAHancock,Sat Oct 31 16:23:18 +0000 2020,0,1,0,False,0,False,
I puts the excess medicated polysporin left on my hands on the dry spots on my face and now my lips are numb,en,Canada,,,,_dawnchorus_,Sat Oct 31 02:38:14 +0000 2020,0,0,1,False,0,False,
@eleeyvr I had it a week ago. Told to buy Polysporin pink eye drops. $15/bottle but it worked! Change pillow sheets every night of put a new towel over it nightly. Warm water compress. I had to do a COVID test because it’s listed as a symptom and I work in a school.🤷‍♀️,en,"GTA, Ontario, Canada",,,,jclapp75,Fri Oct 30 11:30:29 +0000 2020,0,1,0,False,0,False,
"@SlickTalk__ Trust me , try the polysporin after you clean it and youll see a difference. Also try not to irritate the piercing too much",en,"Ontario, Canada",,,,Lifewithnicolaa,Fri Oct 30 01:32:11 +0000 2020,0,1,0,False,0,False,
"@SlickTalk__ Yeah the healing sucks, they say it takes like 2-3 years to fully heal the inside of the nipple always stays raw its soo gross smh. I found polysporin helps though",en,"Ontario, Canada",,,,Lifewithnicolaa,Fri Oct 30 01:25:55 +0000 2020,0,1,0,False,0,False,
It’s not lip gloss it’s polysporin,en,"Toronto, Ontario",,,,alannahgraham,Thu Oct 29 22:43:54 +0000 2020,0,0,0,False,0,False,
"Me using speech to text on my phone: polysporin
My phone: police porn
Me: *delete* polysporin
My phone: police porn
Me: *delete* polysporin
My phone: police porn
Me: ...... 😑",en,"Ontario, Canada",,,,SuperHuggz,Wed Oct 28 23:36:11 +0000 2020,0,0,0,False,0,False,
@StrategicThghts My cat needs them all the time for his blepharitis. I switched him to the polysporin drops,en,Maple Ridge,,,,Nicole013,Wed Oct 28 02:23:25 +0000 2020,0,0,0,False,0,False,
"@_i_name @GreenwoodOutlaw When you scrape your knee rollerblading, do you apply polysporin to your knee, or do you submerge yourself in a bathtub of it?

Police resources are directed where they're needed. And if they pick up certain kinds of people doing certain kinds of things, that's not racism.",en,Canada,,,,MetalAsFork,Tue Oct 27 00:04:28 +0000 2020,0,1,0,False,0,False,
@strawbahbie I got polysporin and some bandages on it now,en,"Ontario, Canada",,,,Judaius,Mon Oct 26 21:54:34 +0000 2020,0,1,0,False,0,False,
You never known dry skin till you had to put polysporin on your skin like it’s lotion 😞,en,Toronto,,,,goaskyuhmuva,Mon Oct 26 10:55:03 +0000 2020,0,1,0,False,0,False,
"@coworkerlauren Grab polysporin ear or eye drops (they both work) from any pharmacy and put them in your ear! If it goes away within a day or two you won't need any other antibiotics. 
Signed,
Toddler mom.",en,"Fredericton, New Brunswick",,,,AlishyaWeil,Sat Oct 24 23:50:48 +0000 2020,0,1,0,False,0,False,
@MatthewGreenNDP @ElizabethMay I need some polysporin for that burn. 🍊,en,"Toronto, Ontario",,,,Sarah_Colero,Sat Oct 24 17:11:40 +0000 2020,0,0,0,False,0,False,
@brurosemary Passe polysporin,fr,"Toronto, Ontario",Canada,CA,"[[[-79.639319, 43.403221], [-79.639319, 43.855401], [-78.90582, 43.855401], [-78.90582, 43.403221]]]",carolvacation,Sat Oct 24 16:23:43 +0000 2020,0,0,0,False,0,False,
"@MarkJustMark Yes I have some left.  I have a little space on my bookcase that I keep ""medicinal things"" lol.  I have cold medicine and polysporin and bandages and stuff like that.",en,"Toronto, Ontario",,,,TDotGinger,Sat Oct 24 00:23:40 +0000 2020,0,1,0,False,0,False,
"Update on my lovely oven burn, still hurts but keep putting Polysporin on it &amp; haven't picked at it 👍🏻 https://t.co/NvbIGNJzs4",en,"Clinton, Ontario, Canada",,,,wolves_21,Fri Oct 23 22:02:33 +0000 2020,0,0,0,False,0,False,
@Quizical123 There was a time when I would've said polysporin,en,"Ontario, Canada",,,,autisticanadian,Fri Oct 23 18:46:53 +0000 2020,0,1,0,False,0,False,
@squawkwardd If you have polysporin i find it works well in a pinch to dull the bite!,en,"Ontario, Canada",,,,Skullyinviolets,Fri Oct 23 18:29:17 +0000 2020,0,0,0,False,0,False,
"@whitequark If you want to experiment more, other things to try would be a polysporin or similar topical antibiotic, or just the normal recommendation of cleaning with warm soapy water.",en,"Alberta, Canada",,,,ChartreuseK,Thu Oct 22 20:14:20 +0000 2020,0,0,0,False,0,False,
"@loveyougrandma2 @TyeishaCoco Rubbing alcohol and leave it to air, don’t touch it, I think it’s too soon for polysporin the would is too fresh",en,Montréal,,,,sssssssssierra,Thu Oct 22 19:47:08 +0000 2020,0,2,0,False,0,False,
"@TyeishaCoco @sssssssssierra trigger warning bc GROSS AS FUCK, it looks like this, been like this for the past month and I tried to put polysporin, the mepilex and i wash it every day with non perfume soap https://t.co/YZFbqKb0Ai",en,Canada,,,,loveyougrandma2,Thu Oct 22 19:46:02 +0000 2020,0,1,0,False,0,False,
@Lisa38807493 Don't bite her. Polysporin after you wash it.,en,"Edmonton, Alberta",,,,MittyBrenda,Thu Oct 22 18:24:28 +0000 2020,0,0,0,False,0,False,
@oli_owczarek Polysporin &amp; bandage wrap,nl,"Surrey, British Columbia",,,,AceCraftPE,Thu Oct 22 12:07:03 +0000 2020,0,1,0,False,0,False,
"@VanArkel_Laura Maybe some Polysporin, there's also a few spots I can't reach",en,"Brooke-Alvinston, Ontario",,,,BeansCA,Wed Oct 21 16:33:18 +0000 2020,0,1,0,False,0,False,
"@samanthadjb Yes, polysporin for eyes can clear it up, or it might be an infection which the polysporin also works to clear up.",en,"Yellowknife, Northwest Territo",,,,mouthygurl,Wed Oct 21 14:34:10 +0000 2020,0,1,0,False,0,False,
@dmrider @jpags @dayslikethese would also need banaids and polysporin,en,"Toronto, Ontario",,,,tyronemund,Wed Oct 21 14:16:23 +0000 2020,0,0,0,False,0,False,
Just burned my palette boutta gargle some polysporin brb✌🏼😗,en,"Newmarket, Ontario",,,,Matias_R24,Wed Oct 21 00:14:22 +0000 2020,0,0,0,False,0,False,
Good morning! Draco is getting his morning polysporin! #animalrescue #animalwelfare #reptilerehab https://t.co/g6JipclUHZ,en,Canada,,,,wildernessmiss,Tue Oct 20 15:54:06 +0000 2020,0,0,0,False,0,False,
@fras99 Probably see a Doctor after dropping him like first period Alegbra. Pretty sure Polysporin isn't up to to the task of killing their disease,en,"Toronto, Ontario, Canada ",,,,B_P_Vanderburg,Tue Oct 20 11:57:59 +0000 2020,0,0,0,False,0,False,
Polysporin and graft killing https://t.co/tDedrJ3S1V,en,"  Whistler, Canada",,,,DonovanMedical,Mon Oct 19 15:53:53 +0000 2020,0,0,0,False,0,False,
"I just put polysporin on my toothbrush thinking it was toothpaste... 🤦‍♂️
I'm going to bed",en,"Victoria, British Columbia",,,,LanceShaver,Mon Oct 19 03:33:55 +0000 2020,0,4,0,False,0,False,
"@CarrieMalavolta I was so jealous because I was ~6 &amp; they were ~14 &amp; so cool. They’d unwrap their shoes &amp; they’d all be bleeding. Lots of gauze, polysporin, bandaids. But they were ballerinas!
@ImageAltText https://t.co/Gwc0U1B9Y9",en,Central Alberta,,,,NArmstrongNP,Sat Oct 17 17:31:19 +0000 2020,0,2,0,False,0,False,
"Me sitting on the sofa with four icyhot patches on my back, two Tylenol in hand and polysporin on my finger, mindlessly watching Forensic Files: https://t.co/qbXzk1z5IP",en,Canada,,,,emiley_martin,Thu Oct 15 14:30:40 +0000 2020,0,0,0,False,0,True,
@GraysonDolan Literally thought yesterday “when will Grayson tweet about cutting himself while carving a pumpkin!” Lol no joke! 🤣 break out the polysporin! 😉,en,"Alberta, Canada",,,,Ashton_Dickie_,Wed Oct 14 17:39:04 +0000 2020,0,0,0,False,0,False,
"@thisislaurat @KingsleyBates I agree it could be conjunctivitis, or as it is commonly known, pink eye.  Do you wake up with your eyes very sticky?  Polysporin eye drops would take care of it, but go to the pharmacy and ask the pharmacist.",en,Canada,,,,CateCoupal,Wed Oct 14 10:40:49 +0000 2020,0,0,0,False,0,False,
@lackofhome there’s polysporin ear drops at shoppers! Might help,en,Ottawa,,,,loveablecass,Wed Oct 14 01:11:04 +0000 2020,0,0,0,False,0,False,
"@inky_mark @FranksBullitts Salt water, air, sunshine &amp; polysporin fix a lot of things.",en,Canada,,,,KHannisse,Tue Oct 13 19:35:55 +0000 2020,0,0,0,False,0,False,
@FranksBullitts Put some polysporin on it,en,"dauphin,manitoba",,,,inky_mark,Tue Oct 13 19:22:08 +0000 2020,0,1,0,False,0,False,
@lash_nlipstick Eek. That always sucks. I always manage to hit it the rest of the day. Polysporin  triple action always works well for me,en,"Toronto, Ontario",,,,beautyvixenca,Tue Oct 13 11:05:22 +0000 2020,0,0,0,False,0,False,
"@freirUNhuevo noooo! I feel like it happens due to the pulling of the adhesive against your skin as the swelling starts to go down. I just used polysporin on mine but it took awhile to heal fully, longer than the tattoo lol",en,North Vancouver,,,,_gunstreet,Mon Oct 12 18:38:41 +0000 2020,0,1,0,False,0,False,
