text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
@DBRacingUK @RatBoyCurry That’s probably like our Polysporin?,en,Central Florida,,,,lbcoyote,Thu Oct 29 22:48:00 +0000 2020,0,1,0,False,0,False,
@Raider_Rackz It should.  It means it's healing don't scratch it. Haha. I use polysporin when mine are healing. Has more bacitracin than neosporin does.  #My2Cents,en,"FINGER LAKES,NY",,,,RAIDZPIMP,Tue Oct 27 13:39:16 +0000 2020,0,1,0,False,0,False,
Think of voting for Joe Biden as polysporin applied with care on the Nation’s wounds .....or....voting for tRump as a bag of salt poured aggressively on the Nation’s wounds.     SIMPLE,en,"Palmer, AK",,,,magooobk62671,Sat Oct 24 17:55:03 +0000 2020,0,0,0,False,0,False,
@megmo It was probably I. That happened to me when I had a bad burn on my leg. You can still use Polysporin.,en,Nashville,,,,KAWhittlesey,Wed Oct 21 02:19:26 +0000 2020,0,2,0,False,0,False,
@carringtonwels @jack_turban @evolutionarypsy Thanks! Assuming polysporin is also OTC?,en,"Nashville, TN",,,,eric_kf_donahue,Mon Oct 19 14:59:15 +0000 2020,0,1,0,False,0,False,
"@JennyFitz2000 @jack_turban @evolutionarypsy Use Polysporin, to avoid allergic reaction to neomycin (which is in Neosporin but not in Polysporin)",en,"North Carolina, USA",,,,carringtonwels,Mon Oct 19 08:48:47 +0000 2020,0,0,0,False,0,False,
@eric_kf_donahue @jack_turban @evolutionarypsy Polysporin is preferred. The neomycin in Neosporin can be sensitizing (you can develop allergies to it).,en,"North Carolina, USA",,,,carringtonwels,Mon Oct 19 08:46:43 +0000 2020,0,1,0,False,0,False,
"@Girlwholuvsyou I just put some polysporin on it.
It is currently still burning lol",en,"Anaheim, CA",,,,RoseUhLyn,Mon Oct 19 01:44:09 +0000 2020,0,1,0,False,0,False,
"@queenofattolia Advil, shower, peroxide, polysporin, and ice pack.

Bruising is beginning to show on calf, but I’m less sore than expected.  

Thanks",en,USA,,,,shipper_xphi,Thu Oct 15 13:13:17 +0000 2020,0,0,0,False,0,False,
@Locoman55606593 Aoutchhhhh!!! 😔 Polysporin pour aider? J'sais pas... Prends soin de toi. 👍,fr,United States,,,,RougeTicoq,Wed Oct 14 20:31:02 +0000 2020,0,0,0,False,0,False,
"What popular OTC (over the counter) first aid product contains these ingredients ingredients—bacitracin, polymixin B, neomycin, and petrolatum?

A. Chloraseptic
B. Neosporin
C. Polysporin
D. Phisohex

The answer is in the next tweet

#PrePharmacy #Medicines
#PharmacyStudents",en,United States,,,,PhunQuiz,Sun Oct 04 19:17:32 +0000 2020,0,1,1,False,0,False,
"@HellBentVet @Frankie43900665 We use polysporin now, not because we had reactions to neosporin, but because my 👸🏼Mom (former nurse) laid down the edict and we do what Mom says",en,Northwest,,,,Greedsakiller,Sun Sep 27 16:46:03 +0000 2020,0,1,0,False,0,False,
I ACCIDENTALLY BRUSHED MY TEETH WITH POLYSPORIN,en,"Long Island, NY",,,,_saimaislam,Sun Sep 27 15:36:01 +0000 2020,0,0,0,False,1,False,
@beigemamii Oh no. I’m sorry that happened. polysporin on that. Maybe go to the hospital just in case.,en,Minding my business,,,,NanieSanchez,Sun Sep 27 05:49:16 +0000 2020,0,0,0,False,0,False,
"@scendnoodz Coming from someone who works with wounds a lot, *depending on what it was* polysporin or triple antibiotic ointment will work! Don’t use neosporin.",en,"Tampa, FL",,,,coenfox_,Sun Sep 27 04:35:37 +0000 2020,0,1,0,False,0,False,
"@DONTBESHY1105 うちも割礼しました💡
ドクターからはオムチェンの度にPolysporinをたっぷりのせてあげてれば大丈夫と言われました😊あとスポンジバスを5日だったかな。私も最初心配でしたがしっかりお手入れしてあげれば大丈夫だと思いますよ👍 https://t.co/T34vtqqlwZ",ja,United States,,,,american_sakura,Sun Sep 27 00:27:58 +0000 2020,0,1,0,False,0,False,
@louuisbrave no doubt...try some polysporin,en,niall's fridge,,,,JUSTHOLDTHETIDE,Fri Sep 25 21:11:49 +0000 2020,0,0,0,False,0,False,
