timePeriod,count
202010020000,61
202010030000,63
202010040000,32
202010050000,123
202010060000,188
202010070000,42
202010080000,49
202010090000,41
202010100000,33
202010110000,36
202010120000,39
202010130000,47
202010140000,52
202010150000,20
202010160000,45
202010170000,61
202010180000,29
202010190000,50
202010200000,74
202010210000,62
202010220000,67
202010230000,47
202010240000,52
202010250000,40
202010260000,36
202010270000,55
202010280000,39
202010290000,2971
202010300000,314
202010310000,117
202008310000,56
202009010000,58
202009020000,44
202009030000,54
202009040000,154
202009050000,78
202009060000,36
202009070000,48
202009080000,41
202009090000,38
202009100000,67
202009110000,70
202009120000,55
202009130000,31
202009140000,81
202009150000,75
202009160000,39
202009170000,36
202009180000,56
202009190000,23
202009200000,60
202009210000,55
202009220000,42
202009230000,43
202009240000,81
202009250000,159
202009260000,50
202009270000,38
202009280000,49
202009290000,45
202009300000,35
202007310000,81
202008010000,87
202008020000,64
202008030000,67
202008040000,51
202008050000,150
202008060000,70
202008070000,95
202008080000,78
202008090000,71
202008100000,76
202008110000,65
202008120000,54
202008130000,55
202008140000,91
202008150000,82
202008160000,36
202008170000,39
202008180000,58
202008190000,68
202008200000,62
202008210000,60
202008220000,96
202008230000,41
202008240000,159
202008250000,110
202008260000,47
202008270000,89
202008280000,107
202008290000,71
202008300000,84
202006300000,52
202007010000,102
202007020000,71
202007030000,99
202007040000,76
202007050000,94
202007060000,93
202007070000,75
202007080000,49
202007090000,155
202007100000,77
202007110000,84
202007120000,159
202007130000,121
202007140000,132
202007150000,114
202007160000,104
202007170000,81
202007180000,77
202007190000,89
202007200000,69
202007210000,117
202007220000,62
202007230000,97
202007240000,77
202007250000,809
202007260000,436
202007270000,139
202007280000,142
202007290000,147
202007300000,93
202005300000,32
202005310000,55
202006010000,66
202006020000,98
202006030000,53
202006040000,47
202006050000,54
202006060000,68
202006070000,54
202006080000,67
202006090000,73
202006100000,96
202006110000,81
202006120000,74
202006130000,66
202006140000,42
202006150000,88
202006160000,64
202006170000,174
202006180000,84
202006190000,104
202006200000,186
202006210000,93
202006220000,75
202006230000,89
202006240000,107
202006250000,82
202006260000,122
202006270000,77
202006280000,70
202006290000,83
202004290000,139
202004300000,94
202005010000,91
202005020000,113
202005030000,96
202005040000,88
202005050000,135
202005060000,141
202005070000,78
202005080000,110
202005090000,168
202005100000,114
