text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"@Marie_tout_cru J'ai du gin @DistStLaurent, du tonic, des masques pis du Purell, avec des sofas à 2 mètres de distance!",fr,"Rimouski, QC",,,,DarkFalls,Sat Oct 31 23:34:16 +0000 2020,0,0,0,False,0,False,
"Ignore the polls!

Vote like our healthcare is at stake, because it is

Vote like our children’s education is at stake, it is

Vote like our climate needs us, because it does

Vote like justice depends on it, because it does

Vote 🗳 
#thursdaymorning 
#ThursdayThoughts 
#purell https://t.co/L8n9dMNq5e",en,"Canmore, Alberta, Canada",,,,Wineguy_69,Sat Oct 31 23:26:01 +0000 2020,0,0,0,False,1,False,
@Boulamith @Caro5603 Ou 3-4 bonne shot de Purell.,fr,"Québec, QC, Canada",,,,Chris_P65,Sat Oct 31 20:49:18 +0000 2020,0,1,0,False,0,False,
"@compte_relaxe J'en ai une bonne pour toi,une collègue de travail, ultra précautionneuse avec les mesures sanitaires,le masque dans face a tout les jours,bte de purell dans les poches,sur un groupe d'environ 70 travailleurs,elle est la seule ""testé"" positive...qu'elle ironie!Fausse pos./certain",fr,,,,,compte_relaxe,Sat Oct 31 17:33:15 +0000 2020,0,0,0,False,1,False,
"Sometimes the Purell bottle makes it into the photo, and that's okay, that just means it's 2020",en,Canada,,,,engineportal,Sat Oct 31 03:37:56 +0000 2020,0,0,0,False,1,False,
its purell with aloe in it,en,Down town Peterborough Ont,,,,patchcollecter,Sat Oct 31 02:17:10 +0000 2020,0,1,0,False,0,False,
"Ignore the polls!

Vote like our healthcare is at stake, because it is

Vote like our children’s education is at stake, it is

Vote like our climate needs us, because it does

Vote like justice depends on it, because it does

Vote 🗳 
#thursdaymorning 
#ThursdayThoughts 
#purell https://t.co/L8n9dMNq5e",en,"Ottawa, Ontario, Canada",,,,Feffs,Sat Oct 31 01:05:27 +0000 2020,0,0,0,False,1,False,
Please help Dominic win a contest if you have Instagram! Please go to nf_flyers_U12_aa and just “like”his Purell costume picture! The most likes wins!! TIA!!! 🤞🤞😷,en,"Niagara, Ontario",Canada,CA,"[[[-79.176284, 42.959453], [-79.176284, 43.148345], [-78.999464, 43.148345], [-78.999464, 42.959453]]]",crtnyz,Sat Oct 31 00:39:48 +0000 2020,0,0,0,False,0,False,
Please help Dominic win a contest if you have Instagram! Please go to nf_flyers_U12_aa and just “like”his Purell costume picture! The most likes wins!! TIA!!! 🤞🤞😷,en,"Niagara, Ontario",Canada,CA,"[[[-79.176284, 42.959453], [-79.176284, 43.148345], [-78.999464, 43.148345], [-78.999464, 42.959453]]]",crtnyz,Sat Oct 31 00:37:40 +0000 2020,0,0,0,False,0,False,
"Spooking the germs away, one spray/pump at a time #purell #HalloweenWeek https://t.co/8OG4OG4f77",en,"Vancouver, British Columbia",,,,misslchan,Sat Oct 31 00:15:13 +0000 2020,0,0,0,False,0,False,
@CathleenRouleau Je peux me mettre du purell plein les mains et venir te faire un high-five Tse ?,fr,"Montréal, Québec",,,,matheosxander,Fri Oct 30 22:28:28 +0000 2020,0,0,0,False,0,False,
Purell Hand Sanitizer ❤️ #EssentialPartySupplies https://t.co/gI5KWMXPOv,en,Abbotsford BC Canada ,,,,fivefortweeting,Fri Oct 30 21:04:20 +0000 2020,0,0,1,False,0,False,
@Sportsnet This will solve everything. They gonna wear masks on the ice too and have purell on the bench?,en,"Toronto, Ontario, Canada",,,,L_Gennings,Fri Oct 30 21:03:18 +0000 2020,0,0,0,False,0,False,
@SimServant Le goaler a une gourde sur son net et un gallon de Purell,fr,"Québec, Canada",,,,YannLess,Fri Oct 30 19:50:37 +0000 2020,0,0,0,False,0,False,
"@Menayer ""26 accusations of sexual assault? 26?""
Et elle se refait une ptite shot de purell.

🤣🤣",fr,"Fantasy Zone, The",,,,ProtoMill,Fri Oct 30 14:37:44 +0000 2020,0,1,0,False,0,False,
When she pumps the Purell a second time...💯 https://t.co/KBBTse1NAm,en,"Ontario, Canada",,,,brigitte_huard,Fri Oct 30 14:14:06 +0000 2020,0,0,0,False,0,True,
"Frette level: Can de Purell solidifiée dans’l cupholder.

#NouvelleExpression",fr,Montreal,,,,SRosa_YUL,Fri Oct 30 12:45:33 +0000 2020,0,0,0,False,0,False,
"5 days left, and all I can think about is that there isn't enough Purell in the world to properly sterilize the White House after trump is evicted.",en,"Toronto, Canada ",,,,CaiLibra,Fri Oct 30 04:32:41 +0000 2020,0,0,0,False,1,False,
"5 days left, and all I can think about is that there isn't enough Purell in the world to properly sterilize the White House after trump is evicted.",en,London Ontario,,,,Paganchick6,Fri Oct 30 03:34:03 +0000 2020,0,0,0,False,1,False,
"5 days left, and all I can think about is that there isn't enough Purell in the world to properly sterilize the White House after trump is evicted.",en,"Halifax, Nova Scotia",,,,LaWannish,Fri Oct 30 01:52:18 +0000 2020,0,0,0,False,1,False,
