text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,is_retweet,is_quote_status
"@FrontPediatrics 19 infants with bidirectional shunting got PDA ligation at a mean age of 13 days! 
2 were on iNO and one on sildenafil!!
Can't believe this was even allowed!
Or am I missing something here??",en,"Halifax, Nova Scotia",,,,souvik_neo,Mon Oct 26 23:52:11 +0000 2020,0,3,0,0,FALSE
"@SweatyNaum @killmymusic @DiederikJekel Als het middel off-label werkt tegen iets anders, dan is dat meestal wel in een protocol vastgelegd. 

Zoals dat sildenafil wordt toegepast bij angina pectoris. 
Off-label wordt het vaker toegepast als middel tegen erectiestoornissen. Maar daar is een protocol voor. 
1/",nl,NL,,,,LijnSpeijer,Thu Oct 08 20:10:06 +0000 2020,0,2,0,0,FALSE
"GoodRx is also a potential competitior. It already has the telehealth platform and now with its subscription Gold Plan, drugs like Sildenafil can be delivered right to your door. With its pharmacy marketplace as its front door, it has strong optionality.

https://t.co/WI5vGOiOpy",en,"Toronto, Ontario",,,,richard_chu97,Wed Oct 07 19:30:47 +0000 2020,0,1,0,0,FALSE
"What about Pulmonary Vasodilators in PH?

In acutely unwell patients, one can consider Triple therapy: Epoprostenol, Bosentan and Sildenafil

#CCCF2020",en,"Hamilton, Ontario",,,,SameerSharifMD,Wed Oct 07 17:46:23 +0000 2020,0,0,0,0,FALSE
"Just highlighting some very necessary research by @BethJForbes @ScienceByMikee  et al. 🐑❤️🐑. A fantastic example of why large animal models are important in  fetal and perinatal research.
#sildenafil https://t.co/yECyNfM1hi",en,"Alberta, Canada",,,,EvilOverlordAmy,Tue Oct 06 15:01:57 +0000 2020,0,0,0,1,TRUE
"Sildenafil, Dragonborn Sorcerer. 

#dragonborn #5e #DnD #DnDcharacter #digitalart https://t.co/iSxj5ds3xE",sv,Canada,,,,artikifeet,Sat Oct 03 17:19:44 +0000 2020,0,0,0,1,FALSE
@Claudette_RPh Sildenafil Citrate,lv,Cold Lake,,,,bob_eboy,Mon Sep 28 01:54:37 +0000 2020,0,0,0,0,FALSE
เด็กเปน complex heart กิน sildenafil ลด pulmonary pressure ช่วงโควิดมาไม่ได้ ไปขอรับยาใกล้บ้าน รพชบอกว่า กินทำไม ยาเพิ่มสมรรถภาพทางเพศ อย่าไปกิน ละยึดยาไป พรี่คะ!!!!!!,th,"Vancouver, British Columbia",,,,yokwinter,Fri Sep 25 14:02:26 +0000 2020,0,0,0,1,FALSE
Combination of milrinone &amp; sildendafil effective for pulmonary hypertension &amp; could be offered in situations where iNO is not available. Combo more effective than either drug alone. https://t.co/TcrvK7rvY3,en,"Winnipeg, Canada",,,,NICU_Musings,Fri Sep 11 13:56:40 +0000 2020,1,0,15,0,FALSE
"@TamTami00 I didn't meen to insinuate there was a vaccine with the side effect, just a possibility. Viagra would be a good example of this, Pfizer discovered the powers of Viagra (sildenafil citrate) by accident in the early Nineties during trials of a potential new angina drug.",en,"Alberta, Canada",,,,DanielT43917022,Fri Sep 04 23:45:15 +0000 2020,0,1,0,0,FALSE
"@JohnBerman @drsanjaygupta @CNN 
Maybe simply: Overdosing on Viagra, or other brands of the drug sildenafil, can cause prolonged erections, known as priapism, nausea, chest pains and irregular heartbeat.",en,"Toronto, Ontario",,,,AnneTay180,Wed Sep 02 11:19:11 +0000 2020,0,0,0,0,FALSE
@MsTwinkieLaRue It is! I give babies sildenafil all the time. Wayyyy lower does than for ED obviously,en,"Toronto, Ontario",,,,n95masc,Wed Aug 26 19:11:42 +0000 2020,0,1,0,0,FALSE
How and Where to Buy Generic Viagra (Sildenafil) https://t.co/L4dYk8AxLq @InvigorM #blogengage https://t.co/3crieYklNj,en,Canada,,,,bbrian017,Wed Aug 26 08:05:33 +0000 2020,0,0,0,1,FALSE
Learn Where to Buy Sildenafil Online Safely https://t.co/VW4gElGd8u @InvigorM #blogengage https://t.co/GVcQQwQRIG,en,Canada,,,,bbrian017,Tue Aug 25 08:08:32 +0000 2020,0,0,0,1,FALSE
Interesting that NEJM would frame this as an adverse event of an “OTC supplement” rather than an illegal adulterated &amp; misbranded product containing two prescription drugs (55-156mg sildenafil &amp; glyburide 90-100mg). https://t.co/oUZhOg4sOJ,en,Ottawa,,,,CHPCGerry,Sun Aug 23 01:53:25 +0000 2020,0,0,0,1,FALSE
Interesting that NEJM would frame this as an adverse event of an “OTC supplement” rather than an illegal adulterated &amp; misbranded product containing two prescription drugs (55-156mg sildenafil &amp; glyburide 90-100mg). https://t.co/oUZhOg4sOJ,en,"Toronto, Ontario",,,,NardineN3,Sun Aug 23 01:47:21 +0000 2020,0,2,1,0,FALSE
Sildenafil Reviews: What Real People Think of Sildenafil https://t.co/qnH6gqkRaJ @InvigorM #blogengage https://t.co/yUT6cvQs09,en,Canada,,,,bbrian017,Sat Aug 22 08:16:03 +0000 2020,0,0,0,1,FALSE
"Fantastic work by colleagues @ScienceByMikee @BethJForbes in @JPhysiol showing maternal sildenafil:
- reduced fetal weight 
- worsened chronic hypoxia
- altered cardiovascular adaptation 
in fetal growth restriction

Maybe why human sildenafil trials were unsuccessful?

@ESPR_EBN https://t.co/avLk3foS5v https://t.co/HGGlbQ597W",en,"Kelowna, British Columbia",,,,GVizcardo023,Mon Aug 17 08:54:59 +0000 2020,0,0,0,1,TRUE
"A huge fan of pineapple on pizza is found quite stiff following a sildenafil overdose. Suspicion falls on Midsomer Mow’s madrigal enthusiasts, worried that James T. Kirk lookalikes might threaten the last witch this side of Hadrian's Wall.",en,Montreal,,,,barb_hill,Thu Aug 13 03:03:05 +0000 2020,0,0,0,1,FALSE
"@Jeanietn @TheRealJamael @ECMOprincess @ECMO_physio @EcmoInnovative @EcmoNinja @mtECMO @EcmoDiaz If she has been diagnosed pre-pregnancy, should be advised not to get pregnant actually giving almost systematic PAPs.
If early pregnancy, Sildenafil and Iloprost are safe during pregnancy, close monitoring and f/u echos, she might require O2, diuretics and hospital 2nd trimester",en,London Ontario Canada,,,,Osamasefein,Mon Aug 10 15:01:27 +0000 2020,0,1,0,0,FALSE
How and Where to Buy Generic Viagra (Sildenafil) https://t.co/L4dYk8AxLq @InvigorM #blogengage https://t.co/3crieYklNj,en,Canada,,,,blogengage,Mon Aug 03 08:04:31 +0000 2020,0,0,0,1,FALSE
How and Where to Buy Generic Viagra (Sildenafil) https://t.co/L4dYk8AxLq @InvigorM #blogengage https://t.co/3crieYklNj,en,Canada,,,,bbrian017,Mon Aug 03 08:04:02 +0000 2020,0,0,3,0,FALSE
Learn Where to Buy Sildenafil Online Safely https://t.co/VW4gElGd8u @InvigorM #blogengage https://t.co/GVcQQwQRIG,en,Canada,,,,blogengage,Sun Aug 02 08:10:05 +0000 2020,0,0,0,1,FALSE
Learn Where to Buy Sildenafil Online Safely https://t.co/VW4gElGd8u @InvigorM #blogengage https://t.co/GVcQQwQRIG,en,Canada,,,,bbrian017,Sun Aug 02 08:07:02 +0000 2020,0,0,3,0,FALSE
@madorni Slogan de campaña PRO Sildenafil... https://t.co/QVTnErd5jK,es,Manitoba,,,,AIVIRA2,Thu Jul 30 22:44:47 +0000 2020,0,0,1,0,FALSE
Sildenafil Reviews: What Real People Think of Sildenafil https://t.co/qnH6gqkRaJ @InvigorM #blogengage https://t.co/yUT6cvQs09,en,Canada,,,,blogengage,Thu Jul 30 08:15:02 +0000 2020,0,0,0,1,FALSE
Sildenafil Reviews: What Real People Think of Sildenafil https://t.co/qnH6gqkRaJ @InvigorM #blogengage https://t.co/yUT6cvQs09,en,Canada,,,,bbrian017,Thu Jul 30 08:14:33 +0000 2020,0,0,3,0,FALSE
"Everything you need to know about sildenafil (Viagra) in one handy-dandy blog
#UPGUYS #MensHealth #ED #Viagra 
https://t.co/F0if5VXlsy",en,Canada,,,,upguyshealth,Mon Jul 27 22:55:00 +0000 2020,0,0,0,0,FALSE
@DoctoraSexual Mi gente para ese tipo de acción lo que se necesita es un buen 🍑🍑 y una terecaya 🐢🐢 que se mueva como una 🐍🐍 que??? sildenafil que??? cialis es nada un buen cul.....,es,Venezuela.,,,,RaimonsOliver,Sun Jul 26 18:38:11 +0000 2020,0,3,0,0,FALSE
Intra-Amniotic Sildenafil Treatment Promotes Lung Growth and Attenuates Vascular Remodeling in an Experimental Model of Congenital Diaphragmatic Hernia. https://t.co/1wGp4zqU0k #cdh #cdhi #congenitaldiaphragmatichernia #cdhresearch #cdhiresearch #congenialdiaphragmatichernia https://t.co/EeC6CkBBaT,en,"Montréal, Québec",,,,RLakabi,Sun Jul 26 02:47:22 +0000 2020,0,0,0,1,FALSE
"Next: #whatwearereading - iNO transition with sildenafil from 
@ATSBlueEditor #PedsICU #PedsCICU 
https://t.co/KE8rmn6NTg https://t.co/Y1Y341RwpW",en,United Arab Emirates,,,,PICU_UAE,Wed Jul 22 14:39:40 +0000 2020,0,0,0,1,FALSE
"Sildenafil, otherwise known as Viagra, is a medication used to treat erectile dysfunction.

We’ll spare you the medical terminology and just get to what it does. Sildenafil helps relax blood vessels + improves blood flow to allow for a harder and longer-lasting erection. https://t.co/Eab7xfdPep",en,Canada,,,,onmen_ca,Mon Jul 20 16:32:02 +0000 2020,0,0,0,0,FALSE
"Is nightly Viagra a potential treatment for ED?
#UPGUYS #ED #MensHealth

https://t.co/jtbF58fQJw",en,Canada,,,,upguyshealth,Sun Jul 19 18:30:00 +0000 2020,0,0,0,0,FALSE
@WajahatAli About as much as the eponymous color vision side-effect of #Sildenafil.,en,"Vancouver, British Columbia",,,,jaysanw,Thu Jul 16 01:38:27 +0000 2020,0,0,0,0,FALSE
My patient may need Sildenafil (generic Viagra) and out of pocket cost is $10.49 at Shoprite with a drug coupon incase that helps any of you fellas,en,Pretty Girl County ,,,,PinkCrushKay,Tue Jul 14 20:19:20 +0000 2020,0,0,0,1,FALSE
"@AdamCC75 @LeonaLioness6 @larry_kudlow Erectile Dysfunction affects millions of Americans. luckily there is Sildenafil, however side effects may include headache, upset stomach, abnormal vision, stuffy nose, back pain, muscle pain, nausea and increased chance of heart attack #smalldicksmatter #alldicksmatter",en,🇨🇦,,,,ReportsDaNews,Sat Jul 11 14:43:15 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,"Oakville, near Toronto",,,,DrJoanVinallCox,Thu Jul 09 13:15:56 +0000 2020,0,0,0,1,FALSE
"FACT: In 2019, Zambia banned an energy drink called ""Natural Power High Energy Drink"" made in Zambia. 

This was after a Ugandan man complained that it had caused him a prolonged erection. Uganda later found that the drink had sildenafil citrate, an active ingredient in Viagra. https://t.co/x5nSakCg1V",en,"Calgary, Alberta",,,,bizy94,Thu Jul 09 11:51:09 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,guelph,,,,dankybakes,Thu Jul 09 09:56:33 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,"Toronto, Ontario",,,,datachick,Thu Jul 09 09:18:10 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,Treaty 7 land,,,,CDNSportySmurf,Thu Jul 09 06:51:08 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,"Ontario, Canada",,,,bowman_beverly,Thu Jul 09 06:31:09 +0000 2020,0,0,0,1,FALSE
"To clarify: generic Sildenafil (Viagra, Revatio) is covered by some insurance plans, but not all. 

Sexual health/contraceptive prescriptions should be covered, IMO.

Letting people’s healthcare be dictated by the religious beliefs of employers/institutions is illogical.",en,"Victoria, BC, Canada",,,,greeeneyedwhwom,Thu Jul 09 05:58:20 +0000 2020,0,0,0,1,FALSE
"Sildenafil and other drugs in the same class are not, in fact, covered by, eg, Medicaid when used for erectile dysfunction. (They're covered for cardiovascular indications only)

All contraceptives should be covered. All ED treatments should be covered. 

/5",en,Canada,,,,CanGal_39,Wed Jul 08 19:50:22 +0000 2020,0,0,0,1,FALSE
"Pleased to announce our CPT publication of ""Physiologically-Based Pharmacokinetic Modeling Characterizes the CYP3A-Mediated Drug-Drug Interaction Between Fluconazole and Sildenafil in Infants"" by my outstanding collaborators at UNC (Salerno et al.) #pbpk #ospsuite #PKSim",en,"Kitchener, Ontario, Canada",,,,UWPharmacy,Tue Jul 07 10:24:46 +0000 2020,0,0,0,1,FALSE
Maternal sildenafil for severe early-onset fetal growth restriction: it did not help but caused neonatal pulmonary hypertension... 🤰🏽💊📉👶🏽 https://t.co/1TYP6g5Xok,en,"Winnipeg, Manitoba",,,,PharmaLauren,Sun Jul 05 20:36:07 +0000 2020,0,0,0,1,FALSE
