timePeriod,count
202010020000,5
202010030000,5
202010040000,2
202010050000,0
202010060000,6
202010070000,7
202010080000,7
202010090000,4
202010100000,6
202010110000,3
202010120000,7
202010130000,7
202010140000,8
202010150000,6
202010160000,3
202010170000,5
202010180000,2
202010190000,3
202010200000,5
202010210000,5
202010220000,6
202010230000,11
202010240000,7
202010250000,3
202010260000,4
202010270000,6
202010280000,6
202010290000,2
202010300000,4
202010310000,0
202008310000,6
202009010000,7
202009020000,15
202009030000,33
202009040000,15
202009050000,8
202009060000,5
202009070000,25
202009080000,2
202009090000,6
202009100000,4
202009110000,8
202009120000,5
202009130000,2
202009140000,2
202009150000,10
202009160000,9
202009170000,22
202009180000,8
202009190000,5
202009200000,5
202009210000,8
202009220000,7
202009230000,1
202009240000,10
202009250000,7
202009260000,4
202009270000,5
202009280000,6
202009290000,10
202009300000,2
202007310000,5
202008010000,9
202008020000,2
202008030000,4
202008040000,4
202008050000,6
202008060000,4
202008070000,3
202008080000,2
202008090000,1
202008100000,4
202008110000,2
202008120000,4
202008130000,13
202008140000,4
202008150000,2
202008160000,4
202008170000,4
202008180000,7
202008190000,1
202008200000,2
202008210000,6
202008220000,4
202008230000,4
202008240000,4
202008250000,4
202008260000,3
202008270000,7
202008280000,5
202008290000,5
202008300000,4
202006300000,3
202007010000,2
202007020000,9
202007030000,1
202007040000,3
202007050000,19
202007060000,7
202007070000,6
202007080000,39
202007090000,77
202007100000,23
202007110000,11
202007120000,5
202007130000,1
202007140000,7
202007150000,7
202007160000,5
202007170000,6
202007180000,4
202007190000,1
202007200000,5
202007210000,2
202007220000,7
202007230000,5
202007240000,5
202007250000,1
202007260000,16
202007270000,1
202007280000,6
202007290000,5
202007300000,4
202005300000,1
202005310000,1
202006010000,1
202006020000,6
202006030000,3
202006040000,3
202006050000,0
202006060000,6
202006070000,0
202006080000,3
202006090000,3
202006100000,5
202006110000,3
202006120000,4
202006130000,4
202006140000,5
202006150000,2
202006160000,2
202006170000,2
202006180000,3
202006190000,2
202006200000,3
202006210000,2
202006220000,5
202006230000,0
202006240000,5
202006250000,2
202006260000,7
202006270000,4
202006280000,1
202006290000,3
202004290000,1
202004300000,3
202005010000,1
202005020000,3
202005030000,3
202005040000,4
202005050000,4
202005060000,4
202005070000,4
202005080000,2
202005090000,7
202005100000,2
202005110000,1
202005120000,4
202005130000,10
202005140000,4
202005150000,9
202005160000,5
202005170000,5
202005180000,6
202005190000,8
202005200000,8
202005210000,2
202005220000,6
202005230000,5
202005240000,2
202005250000,2
202005260000,0
202005270000,3
202005280000,3
202005290000,1
202003290000,5
202003300000,6
202003310000,6
202004010000,4
202004020000,11
202004030000,5
202004040000,4
202004050000,8
202004060000,13
202004070000,7
202004080000,5
202004090000,13
202004100000,7
202004110000,8
202004120000,1
202004130000,10
202004140000,3
202004150000,1
202004160000,4
202004170000,5
202004180000,0
202004190000,3
202004200000,5
202004210000,2
202004220000,8
202004230000,9
202004240000,8
202004250000,4
202004260000,4
202004270000,1
202004280000,2
202002270000,9
202002280000,5
202002290000,11
202003010000,2
202003020000,3
202003030000,4
202003040000,5
202003050000,3
202003060000,4
202003070000,7
202003080000,1
202003090000,13
202003100000,6
202003110000,5
202003120000,4
202003130000,8
202003140000,5
202003150000,8
202003160000,3
202003170000,7
202003180000,6
202003190000,2
202003200000,6
202003210000,9
202003220000,20
202003230000,5
202003240000,1
202003250000,6
202003260000,4
202003270000,11
202003280000,2
202001270000,3
202001280000,7
202001290000,7
202001300000,4
202001310000,8
202002010000,3
202002020000,2
202002030000,6
202002040000,4
202002050000,5
202002060000,3
202002070000,19
202002080000,31
202002090000,7
202002100000,10
202002110000,20
202002120000,8
202002130000,4
202002140000,13
202002150000,5
202002160000,1
202002170000,6
202002180000,8
202002190000,2
202002200000,3
202002210000,6
202002220000,3
202002230000,2
202002240000,10
202002250000,13
202002260000,8
201912270000,5
201912280000,11
201912290000,3
201912300000,14
201912310000,8
202001010000,3
202001020000,8
202001030000,9
202001040000,9
202001050000,5
202001060000,4
202001070000,8
202001080000,5
202001090000,7
202001100000,6
202001110000,6
202001120000,4
202001130000,7
202001140000,12
202001150000,4
202001160000,19
202001170000,9
202001180000,11
202001190000,3
202001200000,6
202001210000,10
202001220000,8
202001230000,19
202001240000,4
202001250000,2
202001260000,0
201911260000,9
201911270000,10
201911280000,2
201911290000,10
201911300000,9
201912010000,2
201912020000,7
201912030000,5
201912040000,9
201912050000,12
201912060000,12
201912070000,31
201912080000,9
201912090000,7
201912100000,7
201912110000,7
201912120000,13
201912130000,11
201912140000,7
201912150000,4
201912160000,7
201912170000,8
201912180000,6
201912190000,14
201912200000,19
201912210000,13
201912220000,5
201912230000,3
201912240000,7
201912250000,5
201912260000,8
201910260000,8
201910270000,5
201910280000,5
201910290000,8
201910300000,14
201910310000,8
201911010000,4
201911020000,4
201911030000,9
201911040000,3
201911050000,5
201911060000,5
201911070000,7
201911080000,9
201911090000,9
201911100000,4
201911110000,4
201911120000,14
201911130000,8
201911140000,12
201911150000,9
201911160000,4
201911170000,9
201911180000,5
201911190000,9
201911200000,8
201911210000,9
201911220000,2
201911230000,3
201911240000,9
201911250000,9
201909250000,12
201909260000,8
201909270000,11
201909280000,11
201909290000,7
201909300000,18
201910010000,5
201910020000,5
201910030000,10
201910040000,15
201910050000,5
201910060000,9
201910070000,8
201910080000,12
201910090000,15
201910100000,14
201910110000,15
201910120000,12
201910130000,14
201910140000,11
201910150000,7
201910160000,7
201910170000,8
201910180000,7
201910190000,12
201910200000,5
201910210000,10
201910220000,8
201910230000,17
201910240000,18
201910250000,4
201908250000,3
201908260000,8
201908270000,7
201908280000,12
201908290000,8
201908300000,4
201908310000,5
201909010000,7
201909020000,9
201909030000,4
201909040000,6
201909050000,5
201909060000,9
201909070000,5
201909080000,3
201909090000,9
201909100000,13
201909110000,10
201909120000,6
201909130000,20
201909140000,3
201909150000,9
201909160000,8
201909170000,16
201909180000,20
201909190000,8
201909200000,9
201909210000,8
201909220000,11
201909230000,3
201909240000,10
201907250000,12
201907260000,2
201907270000,5
201907280000,2
201907290000,4
201907300000,13
201907310000,10
201908010000,3
201908020000,5
201908030000,10
201908040000,4
201908050000,8
201908060000,10
201908070000,6
201908080000,6
201908090000,8
201908100000,7
201908110000,5
201908120000,6
201908130000,4
201908140000,6
201908150000,6
201908160000,2
201908170000,8
201908180000,3
201908190000,8
201908200000,12
201908210000,6
201908220000,10
201908230000,9
201908240000,1
201906240000,6
201906250000,7
201906260000,5
201906270000,2
201906280000,8
201906290000,4
201906300000,2
201907010000,9
201907020000,8
201907030000,7
201907040000,3
201907050000,3
201907060000,5
201907070000,3
201907080000,0
201907090000,1
201907100000,6
201907110000,9
201907120000,3
201907130000,3
201907140000,5
201907150000,2
201907160000,1
201907170000,2
201907180000,10
201907190000,8
201907200000,5
201907210000,9
201907220000,3
201907230000,5
201907240000,1
201905240000,7
201905250000,7
201905260000,3
201905270000,2
201905280000,4
201905290000,4
201905300000,4
201905310000,6
201906010000,2
201906020000,2
201906030000,2
201906040000,7
201906050000,6
201906060000,7
201906070000,2
201906080000,6
201906090000,3
201906100000,1
201906110000,2
201906120000,3
201906130000,1
201906140000,10
201906150000,9
201906160000,0
201906170000,15
201906180000,5
201906190000,3
201906200000,7
201906210000,6
201906220000,3
201906230000,0
201904230000,4
201904240000,5
201904250000,7
201904260000,6
201904270000,7
201904280000,1
201904290000,4
201904300000,5
201905010000,4
201905020000,3
201905030000,10
201905040000,4
201905050000,3
201905060000,5
201905070000,19
201905080000,15
201905090000,5
201905100000,14
201905110000,6
201905120000,2
201905130000,8
201905140000,6
201905150000,15
201905160000,17
201905170000,9
201905180000,6
201905190000,8
201905200000,4
201905210000,9
201905220000,6
201905230000,6
201903230000,3
201903240000,2
201903250000,31
201903260000,33
201903270000,14
201903280000,26
201903290000,11
201903300000,0
201903310000,4
201904010000,10
201904020000,2
201904030000,7
201904040000,1
201904050000,6
201904060000,3
201904070000,5
201904080000,17
201904090000,19
201904100000,6
201904110000,13
201904120000,18
201904130000,5
201904140000,2
201904150000,6
201904160000,4
201904170000,5
201904180000,2
201904190000,8
201904200000,8
201904210000,3
201904220000,8
201902200000,3
201902210000,6
201902220000,18
201902230000,8
201902240000,25
201902250000,3
201902260000,5
201902270000,8
201902280000,10
201903010000,6
201903020000,1
201903030000,4
201903040000,5
201903050000,7
201903060000,7
201903070000,5
201903080000,9
201903090000,3
201903100000,1
201903110000,6
201903120000,4
201903130000,1
201903140000,1
201903150000,7
201903160000,2
201903170000,2
201903180000,4
201903190000,7
201903200000,1
201903210000,6
201903220000,17
201901200000,2
201901210000,5
201901220000,3
201901230000,7
201901240000,3
201901250000,1
201901260000,2
