text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
Wait.  So racist old white dudes can pronounce sildenafil citrate but they can’t pronounce Kamala... seems about right.,en,"Washington, USA",,,,goatbeer_319,Fri Oct 30 22:13:37 +0000 2020,0,0,0,False,1,False,
"@jandro0o I mentioned negative side effects
https://t.co/ZmUyRlmZ3j

 I  excluded them in one scenario and included them in another. 

If negative side effects like confusion and dizziness occured a rape charge could go through.",en,"Atlanta, GA",,,,MunroeS95,Fri Oct 30 16:46:09 +0000 2020,0,0,0,False,0,False,
If you are above the age of 60 and you experience Erectile dysfunction. Please talk with your doctor and contact us for your prescription medication. We can help you reduce your prescription viagra cost by replacing it with Generic. https://t.co/07MacP8jKA #pharmacy #pharmacist https://t.co/CZEUk3ClYA,en,"Bartow, fl",,,,Broadway_DP1,Fri Oct 30 15:50:40 +0000 2020,0,0,0,False,0,False,
"#Kamagra100  is a product to boom the strength, which has currently seemed on the market. This is an authentic frequent #Sildenafil that is of recognized. #Kamagra, consequently, contains the same active aspect as #Sildenafil. Visit Get more  info: https://t.co/CS7Vl7Kh7v https://t.co/eTPKfocc0T",en,USA,,,,Amysmit12757171,Fri Oct 30 03:50:55 +0000 2020,0,0,0,False,0,False,
"The lowest price for Viagra (sildenafil) 100 mg is $6.26 per pill or unit for 88 pills or units at PharmacyChecker-accredited online pharmacies. You can save 92% off the discount U.S. price.
https://t.co/vLfIgekMqs",en,"New York, USA",,,,pharmacychecker,Thu Oct 29 21:03:00 +0000 2020,0,0,0,False,0,False,
@adamfeuerstein @AlbertBourla came up through the same ranks of CEOs at Pfizer that have been utter disaster. They have not managed to do anything right since the launch of Sildenafil. Even that drug was discovered by luck.,en,"Seattle, WA",United States,US,"[[[-122.436232, 47.495315], [-122.436232, 47.734319], [-122.224973, 47.734319], [-122.224973, 47.495315]]]",PerdidoenSEA,Thu Oct 29 17:28:50 +0000 2020,0,0,0,False,0,False,
"#Sildenafil, a #phosphodiesterase5inhibitor (PDE5i), could represent a new #treatment in addition to the medical treatment and advice to walk in #peripheralarterialdisease (PAD).

Read more in Medicine®: https://t.co/Ro2gT9BQdt https://t.co/BE0RRWwQXD",en,"Philadelphia, PA",,,,MedicineLWW,Wed Oct 28 20:01:34 +0000 2020,0,0,0,False,0,False,
"Alright, I’ll spill the beans, even though I feel like it’s not as cool as some of the other DDIs people guessed. 
It was NTG + sildenafil. Nobody had ever counseled the pt about it or anything! https://t.co/OIsxIk3Z4q",en,Lexington,,,,KrisWil_,Wed Oct 28 16:54:53 +0000 2020,0,0,0,False,0,True,
"Buy Cenforce 120 mg | Sildenafil Citrate 120 | Review

Buy Cenforce 120mg Tablet Online from Medstraps Generic Online Store, Sildenafil Citrate 120 is treating to erectile dysfunction (ED), Cenforce 120 mg Reviews, Uses, Side effects, Dosage, Price.

https://t.co/iHEYh8ArZS",en,united state,,,,Smithmore11,Wed Oct 28 07:47:09 +0000 2020,0,0,0,False,0,False,
#KamagraGold100 Those are staggeringly valuable pills to improve erection. They won’t enable one to” get to sleep” at a very inconvenient moment. They feature the perfect dose of #Sildenafil. The sum is enough to allow anybody to reach a steady ED.https://t.co/KTWyEAEB6M https://t.co/nTabJpLKG0,en,united state,,,,cartmeds,Wed Oct 28 03:57:09 +0000 2020,0,0,0,False,0,False,
"Great talk by @amalmattu on treatment for ADHF at #ACEP20 now.  
Reminds us that Nitroglycerin is first-line therapy, superior to Lasix, for preload reduction. @ACEPNow 

Beware the contraindications:
-Hypotension
-Acute MR
-AS
-Pulmonary HTN
-Sildenafil, tadalafil, etc.",en,MN,,,,mfbellolio,Wed Oct 28 01:46:18 +0000 2020,0,0,0,False,1,False,
"The lowest price for Sildenafil (Viagra) 100 mg is $0.39 per pill or unit for 88 pills or units at PharmacyChecker-accredited online pharmacies. You can save 28% off the discount U.S. price.
https://t.co/tlweYfocHP",en,"New York, USA",,,,pharmacychecker,Tue Oct 27 21:01:49 +0000 2020,0,0,0,False,0,False,
@BreitbartNews Maybe he’s allergic to condoms and takes Sildenafil. Who knows?,en,,,,,csu_daniel,Tue Oct 27 18:43:33 +0000 2020,0,0,0,False,0,False,
"If you've been researching treatment to help with ED, you've probably heard of #Sildenafil. If you still have questions, we break down how it works here!  https://t.co/yVOdDRDMDU",en,"Cary, NC",,,,MediSuite,Tue Oct 27 15:12:00 +0000 2020,0,0,0,False,0,False,
"Great talk by @amalmattu on treatment for ADHF at #ACEP20 now.  
Reminds us that Nitroglycerin is first-line therapy, superior to Lasix, for preload reduction. @ACEPNow 

Beware the contraindications:
-Hypotension
-Acute MR
-AS
-Pulmonary HTN
-Sildenafil, tadalafil, etc.",en,"Manhattan, NY",,,,probstMD,Tue Oct 27 14:34:23 +0000 2020,0,0,1,False,0,False,
