timePeriod,count
202010020000,208
202010030000,254
202010040000,236
202010050000,289
202010060000,319
202010070000,363
202010080000,408
202010090000,294
202010100000,335
202010110000,253
202010120000,235
202010130000,270
202010140000,876
202010150000,1088
202010160000,332
202010170000,240
202010180000,180
202010190000,240
202010200000,284
202010210000,352
202010220000,306
202010230000,445
202010240000,559
202010250000,157
202010260000,180
202010270000,294
202010280000,198
202010290000,281
202010300000,298
202010310000,166
202008310000,205
202009010000,337
202009020000,447
202009030000,8911
202009040000,1030
202009050000,346
202009060000,294
202009070000,489
202009080000,271
202009090000,489
202009100000,460
202009110000,315
202009120000,240
202009130000,433
202009140000,793
202009150000,502
202009160000,292
202009170000,274
202009180000,188
202009190000,242
202009200000,214
202009210000,349
202009220000,337
202009230000,609
202009240000,244
202009250000,215
202009260000,200
202009270000,381
202009280000,267
202009290000,323
202009300000,353
202007310000,433
202008010000,277
202008020000,281
202008030000,228
202008040000,212
202008050000,337
202008060000,317
202008070000,193
202008080000,202
202008090000,163
202008100000,239
202008110000,214
202008120000,298
202008130000,247
202008140000,261
202008150000,197
202008160000,308
202008170000,364
202008180000,514
202008190000,1334
202008200000,369
202008210000,238
202008220000,273
202008230000,228
202008240000,272
202008250000,431
202008260000,272
202008270000,303
202008280000,369
202008290000,224
202008300000,185
202006300000,334
202007010000,184
202007020000,190
202007030000,207
202007040000,161
202007050000,186
202007060000,163
202007070000,157
202007080000,33187
202007090000,37097
202007100000,3871
202007110000,794
202007120000,444
202007130000,603
202007140000,1460
202007150000,437
202007160000,357
202007170000,317
202007180000,296
202007190000,232
202007200000,629
202007210000,1041
202007220000,380
202007230000,405
202007240000,225
202007250000,207
202007260000,172
202007270000,234
202007280000,348
202007290000,1794
202007300000,744
202005300000,125
202005310000,202
202006010000,200
202006020000,654
202006030000,201
202006040000,202
202006050000,148
202006060000,170
202006070000,189
202006080000,167
202006090000,237
202006100000,294
202006110000,214
202006120000,183
202006130000,184
202006140000,212
202006150000,335
202006160000,159
202006170000,156
202006180000,176
202006190000,208
202006200000,166
202006210000,444
202006220000,244
202006230000,184
202006240000,155
202006250000,200
202006260000,178
202006270000,161
202006280000,253
202006290000,420
202004290000,387
202004300000,163
202005010000,310
202005020000,146
202005030000,128
202005040000,121
202005050000,132
202005060000,330
202005070000,256
202005080000,164
202005090000,160
202005100000,139
202005110000,2067
202005120000,567
202005130000,224
202005140000,257
202005150000,209
202005160000,171
202005170000,159
202005180000,282
202005190000,347
202005200000,250
202005210000,248
202005220000,185
202005230000,135
202005240000,123
202005250000,188
202005260000,349
202005270000,279
202005280000,343
202005290000,177
202003290000,135
202003300000,149
202003310000,129
202004010000,136
202004020000,132
202004030000,176
202004040000,177
202004050000,255
202004060000,327
202004070000,266
202004080000,199
202004090000,213
202004100000,186
202004110000,193
202004120000,177
202004130000,388
202004140000,231
202004150000,233
202004160000,183
202004170000,195
202004180000,199
202004190000,187
202004200000,186
202004210000,207
202004220000,183
202004230000,210
202004240000,206
202004250000,174
202004260000,148
202004270000,164
202004280000,177
202002270000,219
202002280000,194
202002290000,202
202003010000,211
202003020000,192
202003030000,261
202003040000,282
202003050000,248
202003060000,304
202003070000,177
202003080000,204
202003090000,154
202003100000,231
202003110000,213
202003120000,318
202003130000,219
202003140000,137
202003150000,135
202003160000,176
202003170000,185
202003180000,98
202003190000,152
202003200000,185
202003210000,153
202003220000,209
202003230000,261
202003240000,178
202003250000,273
202003260000,177
202003270000,194
202003280000,156
202001270000,177
202001280000,198
202001290000,216
202001300000,223
202001310000,218
202002010000,209
202002020000,279
202002030000,298
202002040000,356
202002050000,556
202002060000,354
202002070000,258
202002080000,325
202002090000,209
202002100000,208
202002110000,227
202002120000,449
202002130000,383
202002140000,480
202002150000,295
202002160000,332
202002170000,592
202002180000,279
202002190000,194
202002200000,348
202002210000,268
202002220000,198
202002230000,172
202002240000,222
202002250000,273
202002260000,261
201912270000,182
201912280000,166
201912290000,159
201912300000,134
201912310000,169
202001010000,204
202001020000,221
202001030000,298
202001040000,280
202001050000,227
202001060000,211
202001070000,208
202001080000,464
202001090000,479
202001100000,399
202001110000,163
202001120000,240
202001130000,203
202001140000,299
202001150000,249
202001160000,300
202001170000,255
202001180000,304
202001190000,1412
202001200000,728
202001210000,475
202001220000,2796
202001230000,339
202001240000,254
202001250000,168
202001260000,149
201911260000,166
201911270000,224
201911280000,162
201911290000,180
201911300000,188
201912010000,223
201912020000,171
201912030000,229
201912040000,230
201912050000,213
201912060000,227
201912070000,175
201912080000,151
201912090000,174
201912100000,233
201912110000,230
201912120000,232
201912130000,184
201912140000,165
201912150000,250
201912160000,331
201912170000,210
201912180000,176
201912190000,295
201912200000,221
201912210000,224
201912220000,266
201912230000,202
201912240000,163
201912250000,151
201912260000,166
201910260000,213
201910270000,481
201910280000,219
201910290000,440
201910300000,698
201910310000,453
201911010000,220
201911020000,195
201911030000,223
201911040000,173
201911050000,281
201911060000,372
201911070000,198
201911080000,215
201911090000,214
201911100000,210
201911110000,164
201911120000,170
201911130000,204
201911140000,213
201911150000,185
201911160000,226
201911170000,406
201911180000,351
201911190000,251
201911200000,256
201911210000,212
201911220000,187
201911230000,185
201911240000,170
201911250000,144
201909250000,433
201909260000,272
201909270000,246
201909280000,243
201909290000,258
201909300000,267
201910010000,422
201910020000,195
201910030000,394
201910040000,332
201910050000,262
201910060000,166
201910070000,245
201910080000,273
201910090000,309
201910100000,364
201910110000,432
201910120000,263
201910130000,260
201910140000,208
201910150000,211
201910160000,238
201910170000,222
201910180000,428
201910190000,396
201910200000,358
201910210000,319
201910220000,278
201910230000,325
201910240000,1013
201910250000,216
201908250000,267
201908260000,395
201908270000,624
201908280000,273
201908290000,191
201908300000,211
201908310000,390
201909010000,247
201909020000,253
201909030000,258
201909040000,198
201909050000,252
201909060000,211
201909070000,197
201909080000,205
201909090000,219
201909100000,236
201909110000,221
201909120000,394
201909130000,307
201909140000,270
201909150000,195
201909160000,286
201909170000,255
201909180000,254
201909190000,231
201909200000,253
201909210000,208
201909220000,226
201909230000,310
201909240000,755
201907250000,225
201907260000,178
201907270000,230
201907280000,167
201907290000,469
201907300000,302
201907310000,278
201908010000,684
201908020000,358
201908030000,255
201908040000,191
201908050000,197
201908060000,217
201908070000,236
201908080000,232
201908090000,296
201908100000,228
201908110000,303
201908120000,376
201908130000,397
201908140000,246
201908150000,1557
201908160000,624
201908170000,585
201908180000,306
201908190000,390
201908200000,378
201908210000,376
201908220000,350
201908230000,317
201908240000,226
201906240000,257
201906250000,307
201906260000,191
201906270000,255
201906280000,300
201906290000,252
201906300000,185
201907010000,164
201907020000,258
201907030000,668
201907040000,384
201907050000,276
201907060000,234
201907070000,216
201907080000,258
201907090000,200
201907100000,263
201907110000,244
201907120000,435
201907130000,295
201907140000,432
201907150000,217
201907160000,274
201907170000,313
201907180000,259
201907190000,293
201907200000,249
201907210000,243
201907220000,217
201907230000,233
201907240000,274
201905240000,399
201905250000,517
201905260000,388
201905270000,290
201905280000,302
201905290000,602
201905300000,334
201905310000,365
201906010000,890
201906020000,259
201906030000,241
201906040000,216
201906050000,930
201906060000,442
201906070000,2480
201906080000,516
201906090000,290
201906100000,338
201906110000,258
201906120000,283
201906130000,682
201906140000,771
201906150000,279
201906160000,215
201906170000,213
201906180000,253
201906190000,262
201906200000,222
201906210000,301
201906220000,369
201906230000,249
201904230000,253
201904240000,329
201904250000,3591
201904260000,1429
201904270000,944
201904280000,342
201904290000,312
201904300000,274
201905010000,246
201905020000,407
201905030000,264
201905040000,215
201905050000,176
201905060000,199
201905070000,246
201905080000,549
201905090000,4130
201905100000,5271
201905110000,2894
201905120000,1926
201905130000,1369
201905140000,617
201905150000,1885
201905160000,4086
201905170000,13303
201905180000,7033
201905190000,2176
201905200000,750
201905210000,712
201905220000,563
201905230000,394
201903230000,214
201903240000,253
201903250000,240
201903260000,308
201903270000,457
201903280000,417
201903290000,364
201903300000,239
201903310000,284
201904010000,252
201904020000,278
201904030000,286
201904040000,1623
201904050000,678
201904060000,297
201904070000,274
201904080000,243
201904090000,248
201904100000,318
201904110000,327
201904120000,480
201904130000,311
201904140000,260
201904150000,329
201904160000,204
201904170000,291
201904180000,275
201904190000,431
201904200000,509
201904210000,416
201904220000,356
201902200000,320
201902210000,250
201902220000,1565
201902230000,2228
201902240000,1568
201902250000,1483
201902260000,475
201902270000,264
201902280000,272
201903010000,429
201903020000,261
201903030000,227
201903040000,294
201903050000,264
201903060000,294
201903070000,314
201903080000,273
201903090000,1315
201903100000,498
201903110000,292
201903120000,609
201903130000,777
201903140000,321
201903150000,381
201903160000,942
201903170000,319
201903180000,292
201903190000,383
201903200000,419
201903210000,407
201903220000,322
201901200000,219
201901210000,220
201901220000,539
201901230000,450
201901240000,401
201901250000,343
201901260000,255
201901270000,197
201901280000,210
201901290000,467
201901300000,343
201901310000,287
201902010000,329
201902020000,234
201902030000,353
201902040000,312
201902050000,263
201902060000,338
201902070000,282
201902080000,304
201902090000,231
201902100000,214
201902110000,196
201902120000,359
201902130000,392
201902140000,381
201902150000,415
201902160000,237
201902170000,269
201902180000,212
201902190000,197
201812200000,406
201812210000,360
201812220000,229
201812230000,276
201812240000,174
201812250000,144
201812260000,153
201812270000,134
201812280000,200
201812290000,194
201812300000,176
201812310000,153
201901010000,161
201901020000,132
201901030000,188
201901040000,220
201901050000,186
201901060000,298
201901070000,176
201901080000,233
201901090000,342
201901100000,336
201901110000,298
201901120000,227
201901130000,217
201901140000,548
201901150000,475
201901160000,972
201901170000,424
201901180000,766
