timePeriod,count
202008310000,10
202008300000,13
202008290000,24
202008280000,10
202008270000,21
202008260000,9
202008250000,17
202008240000,13
202008230000,12
202008220000,18
202008210000,17
202008200000,16
202008190000,108
202008180000,37
202008170000,29
202008160000,23
202008150000,21
202008140000,15
202008130000,9
202008120000,28
202008110000,20
202008100000,22
202008090000,28
202008080000,39
202008070000,22
202008060000,24
202008050000,27
202008040000,9
202008030000,9
202008020000,25
202007310000,25
202007300000,36
202007290000,66
202007280000,13
202007270000,17
202007260000,9
202007250000,13
202007240000,15
202007230000,32
202007220000,17
202007210000,143
202007200000,66
202007190000,14
202007180000,16
202007170000,18
202007160000,23
202007150000,24
202007140000,48
202007130000,32
202007120000,22
202007110000,35
202007100000,140
202007090000,1528
202007080000,1314
202007070000,21
202007060000,9
202007050000,18
202007040000,13
202007030000,23
202007020000,15
202007010000,8
202006300000,16
202006290000,17
202006280000,18
202006270000,8
202006260000,12
202006250000,16
202006240000,9
202006230000,20
202006220000,22
202006210000,22
202006200000,13
202006190000,31
202006180000,8
202006170000,40
202006160000,16
202006150000,15
202006140000,16
202006130000,13
202006120000,14
202006110000,35
202006100000,38
202006090000,28
202006080000,9
202006070000,19
202006060000,18
202006050000,13
202006040000,11
202006030000,20
202006020000,52
202006010000,13
202005310000,10
202005300000,11
202005290000,14
202005280000,38
202005270000,37
202005260000,30
202005250000,19
202005240000,11
202005230000,26
202005220000,18
202005210000,21
202005200000,12
202005190000,32
202005180000,36
202005170000,16
202005160000,14
202005150000,27
202005140000,9
202005130000,27
202005120000,51
202005110000,161
202005100000,18
202005090000,10
202005080000,18
202005070000,27
202005060000,24
202005050000,7
202005040000,12
202005030000,8
202005020000,33
202005010000,19
202004300000,10
202004290000,15
202004280000,13
202004270000,17
202004260000,12
202004250000,15
202004240000,14
202004230000,13
202004220000,17
202004210000,26
202004200000,17
202004190000,15
202004180000,22
202004170000,21
202004160000,20
202004150000,15
202004140000,29
202004130000,33
202004120000,24
202004110000,12
202004100000,25
202004090000,40
202004080000,15
202004070000,22
202004060000,27
202004050000,20
202004040000,18
202004030000,15
202004020000,8
202004010000,8
202003310000,9
202003300000,21
202003290000,5
202003280000,16
202003270000,16
202003260000,15
202003250000,11
202003240000,15
202003230000,10
202003220000,21
202003210000,9
202003200000,17
202003190000,29
202003180000,10
202003170000,9
202003160000,8
202003150000,11
202003140000,17
202003130000,14
202003120000,36
202003110000,18
202003100000,20
202003090000,15
202003080000,12
202003070000,18
202003060000,24
202003050000,22
202003040000,39
202003030000,20
202003020000,14
202003010000,22
202002290000,18
202002280000,20
202002270000,29
202002260000,37
202002250000,31
202002240000,24
202002230000,15
202002220000,14
202002210000,19
202002200000,31
202002190000,19
202002180000,20
202002170000,30
202002160000,24
202002150000,24
202002140000,42
202002130000,22
202002120000,35
202002110000,29
202002100000,26
202002090000,15
202002080000,18
202002070000,22
202002060000,31
202002050000,16
202002040000,24
202002030000,25
202002020000,20
202002010000,16
202001310000,9
202001300000,20
202001290000,38
202001280000,15
202001270000,16
202001260000,14
202001250000,17
202001240000,20
202001230000,19
202001220000,154
202001210000,48
202001200000,47
202001190000,76
202001180000,21
202001170000,18
202001160000,19
202001150000,11
202001140000,37
202001130000,31
202001120000,20
202001110000,17
202001100000,21
202001090000,18
202001080000,31
202001070000,6
202001060000,15
202001050000,13
202001040000,16
202001030000,23
202001020000,14
202001010000,13
201912310000,13
201912300000,19
201912290000,18
201912280000,11
201912270000,9
201912260000,9
201912250000,7
201912240000,11
201912230000,11
201912220000,19
201912210000,18
201912200000,15
201912190000,21
201912180000,12
201912170000,12
201912160000,21
201912150000,20
201912140000,8
201912130000,14
201912120000,20
201912110000,9
201912100000,23
201912090000,16
201912080000,10
201912070000,15
201912060000,14
201912050000,9
201912040000,13
201912030000,15
201912020000,16
201912010000,16
201911300000,8
201911290000,29
201911280000,18
201911270000,19
201911260000,12
201911250000,14
201911240000,19
201911230000,17
201911220000,28
201911210000,16
201911200000,31
201911190000,75
201911180000,34
201911170000,48
201911160000,21
201911150000,24
201911140000,23
201911130000,21
201911120000,13
201911110000,43
201911100000,36
201911090000,34
201911080000,18
201911070000,27
201911060000,21
201911050000,26
201911040000,15
201911030000,13
201911020000,17
201911010000,17
201910310000,29
201910300000,31
201910290000,29
201910280000,26
201910270000,27
201910260000,12
201910250000,21
201910240000,65
201910230000,12
201910220000,18
201910210000,19
201910200000,17
201910190000,18
201910180000,35
201910170000,16
201910160000,14
201910150000,22
201910140000,18
201910130000,15
201910120000,11
201910110000,21
201910100000,16
201910090000,19
201910080000,17
201910070000,22
201910060000,15
201910050000,16
201910040000,28
201910030000,42
201910020000,4
201910010000,21
201909300000,23
201909290000,14
201909280000,13
201909270000,18
201909260000,27
201909250000,42
201909240000,124
201909230000,93
201909220000,14
201909210000,17
201909200000,15
201909190000,11
201909180000,21
201909170000,20
201909160000,15
201909150000,23
201909140000,16
201909130000,19
201909120000,20
201909110000,8
201909100000,15
201909090000,15
201909080000,12
201909070000,9
201909060000,21
201909050000,12
201909040000,14
201909030000,21
201909020000,17
201909010000,14
201908310000,26
201908300000,24
201908290000,12
201908280000,16
201908270000,35
201908260000,30
201908250000,12
201908240000,17
201908230000,19
201908220000,23
201908210000,27
201908200000,18
201908190000,15
201908180000,23
201908170000,40
201908160000,30
201908150000,62
201908140000,16
201908130000,25
201908120000,30
201908110000,27
201908100000,26
201908090000,19
201908080000,21
201908070000,19
201908060000,7
201908050000,11
201908040000,13
201908030000,15
201908020000,32
201908010000,46
201907310000,26
201907300000,23
201907290000,27
201907280000,13
201907270000,23
201907260000,15
201907250000,22
201907240000,13
201907230000,19
201907220000,15
201907210000,10
201907200000,24
201907190000,15
201907180000,17
201907170000,22
201907160000,17
201907150000,11
201907140000,33
201907130000,16
201907120000,31
201907110000,22
201907100000,19
201907090000,21
201907080000,8
201907070000,11
201907060000,17
201907050000,20
201907040000,31
201907030000,30
201907020000,20
201907010000,16
201906300000,19
201906290000,31
201906280000,24
201906270000,25
201906260000,30
201906250000,16
201906240000,11
201906230000,14
201906220000,73
201906210000,22
201906200000,19
201906190000,18
201906180000,22
201906170000,9
201906160000,17
201906150000,38
201906140000,83
201906130000,76
201906120000,18
201906110000,28
201906100000,39
201906090000,25
201906080000,38
201906070000,113
201906060000,34
201906050000,60
201906040000,18
201906030000,21
201906020000,35
201906010000,71
201905310000,24
201905300000,32
201905290000,27
201905280000,34
201905270000,69
201905260000,39
201905250000,49
201905240000,39
201905230000,29
201905220000,50
201905210000,45
201905200000,46
201905190000,134
201905180000,431
201905170000,712
201905160000,208
201905150000,95
201905140000,31
201905130000,73
201905120000,101
201905110000,173
201905100000,342
201905090000,246
201905080000,43
201905070000,31
201905060000,11
201905050000,15
201905040000,18
201905030000,27
201905020000,40
201905010000,16
201904300000,35
201904290000,18
201904280000,19
201904270000,60
201904260000,84
201904250000,182
201904240000,19
201904230000,19
201904220000,21
201904210000,31
201904200000,32
201904190000,21
201904180000,12
201904170000,27
201904160000,14
201904150000,16
201904140000,16
201904130000,20
201904120000,19
201904110000,26
201904100000,14
201904090000,29
201904080000,23
201904070000,17
201904060000,24
201904050000,43
201904040000,96
201904030000,41
201904020000,29
201904010000,18
201903310000,27
201903300000,26
201903290000,26
201903280000,20
201903270000,32
201903260000,31
201903250000,32
201903240000,37
201903230000,13
201903220000,32
201903210000,36
201903200000,33
201903190000,23
201903180000,33
201903170000,21
201903160000,34
201903150000,31
201903140000,27
201903130000,30
201903120000,28
201903110000,25
201903100000,35
201903090000,84
201903080000,20
201903070000,20
201903060000,30
201903050000,20
201903040000,22
201903030000,20
201903020000,20
201903010000,18
201902280000,21
201902270000,20
201902260000,27
201902250000,183
201902240000,166
201902230000,73
201902220000,63
201902210000,34
201902200000,23
201902190000,18
201902180000,17
201902170000,21
201902160000,15
201902150000,44
201902140000,31
201902130000,25
201902120000,33
201902110000,13
201902100000,14
201902090000,20
201902080000,17
201902070000,19
201902060000,22
201902050000,17
201902040000,22
201902030000,34
201902020000,18
201902010000,22
201901310000,17
201901300000,20
201901290000,33
201901280000,14
201901270000,13
201901260000,29
201901250000,33
201901240000,30
201901230000,23
201901220000,22
201901210000,10
201901200000,28
201901190000,28
201901180000,44
201901170000,36
201901160000,42
201901150000,28
201901140000,29
201901130000,15
201901120000,19
201901110000,27
201901100000,23
201901090000,27
201901080000,16
201901070000,13
201901060000,26
201901050000,19
201901040000,14
201901030000,11
201901020000,15
201901010000,18
201812310000,11
201812300000,12
201812290000,15
201812280000,13
201812270000,5
201812260000,9
201812250000,0
201812240000,18
201812230000,24
201812220000,23
201812210000,56
201812200000,33
201812190000,22
201812180000,14
201812170000,15
201812160000,8
201812150000,23
201812140000,27
201812130000,16
201812120000,20
201812110000,16
201812100000,14
201812090000,9
201812080000,7
201812070000,30
201812060000,13
201812050000,18
201812040000,18
201812030000,20
201812020000,13
201812010000,19
201811300000,43
201811290000,44
201811280000,17
201811270000,38
201811260000,51
201811250000,112
201811240000,64
201811230000,43
201811220000,8
201811210000,25
201811200000,21
201811190000,19
201811180000,22
201811170000,13
201811160000,16
201811150000,20
201811140000,84
201811130000,42
201811120000,16
201811110000,15
201811100000,21
201811090000,19
201811080000,15
201811070000,30
201811060000,13
201811050000,11
201811040000,66
201811030000,37
201811020000,13
201811010000,5
201810310000,9
201810300000,16
201810290000,14
201810280000,16
201810270000,9
201810260000,13
201810250000,9
201810240000,17
201810230000,19
201810220000,25
201810210000,27
201810200000,25
201810190000,22
201810180000,10
201810170000,30
201810160000,28
201810150000,32
201810140000,25
201810130000,32
201810120000,30
201810110000,11
201810100000,11
201810090000,17
201810080000,23
201810070000,27
201810060000,11
201810050000,27
201810040000,18
201810030000,12
201810020000,22
201810010000,15
201809300000,13
201809290000,24
201809280000,14
201809270000,18
201809260000,15
201809250000,22
201809240000,8
201809230000,17
201809220000,12
201809210000,6
201809200000,20
201809190000,17
201809180000,19
201809170000,19
201809160000,19
201809150000,11
201809140000,19
201809130000,22
201809120000,16
201809110000,9
201809100000,28
201809090000,24
201809080000,61
201809070000,53
201809060000,59
201809050000,37
201809040000,28
201809030000,24
201809020000,20
201809010000,22
201808310000,23
201808300000,16
201808290000,19
201808280000,28
201808270000,90
201808260000,263
201808250000,31
201808240000,15
201808230000,19
201808220000,13
201808210000,18
201808200000,15
201808190000,10
201808180000,16
201808170000,25
201808160000,29
201808150000,19
201808140000,15
201808130000,19
201808120000,32
201808110000,15
201808100000,14
201808090000,24
201808080000,22
201808070000,11
201808060000,16
201808050000,22
201808040000,18
201808030000,23
201808020000,15
201808010000,45
201807310000,16
201807300000,16
201807290000,22
201807280000,16
201807270000,34
201807260000,45
201807250000,148
201807240000,167
201807230000,23
201807220000,18
201807210000,24
201807200000,22
201807190000,23
201807180000,21
201807170000,27
201807160000,22
201807150000,13
201807140000,42
201807130000,86
201807120000,26
201807110000,34
201807100000,31
201807090000,31
201807080000,13
201807070000,20
201807060000,22
201807050000,17
201807040000,15
201807030000,29
201807020000,17
201807010000,11
