timePeriod,count
202010310000,13
202010300000,9
202010290000,14
202010280000,10
202010270000,20
202010260000,12
202010250000,14
202010240000,50
202010230000,18
202010220000,21
202010210000,26
202010200000,19
202010190000,19
202010180000,15
202010170000,17
202010160000,16
202010150000,28
202010140000,41
202010130000,31
202010120000,24
202010110000,23
202010100000,22
202010090000,15
202010080000,31
202010070000,24
202010060000,11
202010050000,12
202010040000,8
202010030000,20
202010020000,18
202009300000,28
202009290000,20
202009280000,24
202009270000,14
202009260000,15
202009250000,29
202009240000,15
202009230000,64
202009220000,24
202009210000,15
202009200000,20
202009190000,10
202009180000,19
202009170000,24
202009160000,20
202009150000,37
202009140000,35
202009130000,28
202009120000,33
202009110000,33
202009100000,21
202009090000,30
202009080000,24
202009070000,14
202009060000,23
202009050000,32
202009040000,63
202009030000,349
202009020000,30
202009010000,19
